year,pouvait_VERB appeler_VERB,pouvait_VERB rappeler_VERB
1800,1.2891074163690064e-07,9.432493897065797e-09
1801,2.0001934331048687e-07,5.9529565277216534e-08
1802,7.832440473976021e-08,6.713520406265161e-09
1803,1.3457341196954076e-07,6.826187615160961e-08
1804,3.4111542390746763e-07,7.168367943677367e-08
1805,2.103729457303416e-07,3.695740957709859e-08
1806,1.0950342499427279e-07,7.492339904047185e-08
1807,2.2206249639111775e-07,1.1387820464392462e-08
1808,9.744118045773575e-08,4.305540457494317e-08
1809,9.487928309681593e-08,6.09938268780752e-08
1810,1.1466621430145096e-07,4.680253340438867e-08
1811,1.1031137603367824e-07,5.0141535368197765e-09
1812,2.90725694185312e-07,5.3344166417446104e-08
1813,1.8979895344273245e-07,2.8757416004054903e-08
1814,1.5733385794192145e-07,1.7621391634747852e-07
1815,1.8071398244501324e-07,1.2137506644194218e-07
1816,1.6454987417091615e-07,7.648093003354006e-08
1817,2.3664475179430156e-07,4.203558034987509e-08
1818,1.9908365800347383e-07,1.0490636270787945e-07
1819,2.3082841948962596e-07,6.003609342997152e-08
1820,2.1359666391163046e-07,7.001224133773576e-08
1821,2.889416066409467e-07,6.409967312492881e-08
1822,2.2156611123591574e-07,6.817418807258946e-08
1823,2.3224313849823375e-07,8.20263039713609e-08
1824,1.9958037000833428e-07,1.044218009838005e-07
1825,2.729687480496068e-07,8.189061873054015e-08
1826,3.1532584898741334e-07,1.4268934478423034e-07
1827,2.1568419583672949e-07,9.8624823863247e-08
1828,2.357281374543163e-07,8.530240336313e-08
1829,3.917941455711116e-07,1.1916714726112332e-07
1830,2.9640614229720086e-07,1.4611569554290327e-07
1831,2.307498476739056e-07,1.091384405071949e-07
1832,2.624813930651726e-07,6.3590853471851e-08
1833,2.919074404417188e-07,1.5174553880115127e-07
1834,2.6510068096285977e-07,7.467625096069241e-08
1835,3.002545838626247e-07,8.848812882433776e-08
1836,2.876481062230596e-07,1.2298973217639286e-07
1837,3.1519246590505645e-07,1.2872098409388855e-07
1838,3.0424621400015894e-07,9.846972659488529e-08
1839,2.803581651278364e-07,7.061390050466798e-08
1840,3.1721049253974343e-07,1.1146955358753985e-07
1841,3.383628950359707e-07,1.207063178298995e-07
1842,2.643056404849631e-07,1.1269885646925104e-07
