year,dut_VERB établir_VERB,dut_VERB rétablir_VERB
1800,6.288328968651058e-09,0.0
1801,2.3811825844433088e-09,0.0
1802,4.475680270843441e-09,0.0
1803,1.3652374342143503e-08,0.0
1804,2.4718509461507665e-09,0.0
1805,8.528632911009026e-09,0.0
1806,2.881669125542885e-09,0.0
1807,4.555128185756985e-08,0.0
1808,0.0,0.0
1809,1.129515236897305e-08,0.0
1810,2.106114038724627e-08,0.0
1811,1.504245972228091e-08,0.0
1812,0.0,0.0
1813,1.4378708002027452e-08,0.0
1814,0.0,0.0
1815,2.6972236000233352e-08,0.0
1816,0.0,0.0
1817,1.556873407970727e-09,0.0
1818,1.1921177378582115e-09,0.0
1819,4.140420006848444e-09,0.0
1820,4.746592452420373e-09,0.0
1821,2.3667571014129862e-08,0.0
1822,2.90742860897808e-08,0.0
1823,3.9530747564242574e-09,0.0
1824,0.0,0.0
1825,3.610231757988913e-08,0.0
1826,9.688783109140786e-09,0.0
1827,5.530363722527909e-09,0.0
1828,6.420610709767516e-09,1.8344602503717056e-09
1829,5.143905745796928e-09,0.0
1830,6.262101504006523e-09,7.305785310052215e-09
1831,4.053713453799901e-08,0.0
1832,4.464889968858188e-08,0.0
1833,5.791814139399776e-09,0.0
1834,1.8669061851994684e-09,1.5868701908061666e-08
1835,3.025235173481633e-08,7.563087933704082e-10
1836,9.409050427677812e-09,6.720750067579218e-10
1837,1.461157062010443e-08,0.0
1838,6.943378316748294e-09,0.0
1839,4.194885327990505e-09,0.0
1840,2.356784811752277e-08,6.369688665408546e-10
1841,8.988767952189392e-09,6.420548537278137e-10
1842,1.341653010911159e-08,0.0
1843,1.7130041385371442e-08,1.1813822142769936e-09
1844,6.586273748609983e-09,2.195424508855126e-09
1845,8.928364714222425e-09,1.785672942844485e-08
1846,1.2294452567118697e-08,6.439951683034906e-09
1847,2.6966118227278457e-09,2.1572894581822766e-09
1848,2.011305433313737e-08,8.045221711050488e-10
1849,5.865590324560799e-08,0.0
1850,3.2587180953669304e-08,2.7155984128057753e-09
1851,9.029214709244116e-09,6.449438760824933e-09
1852,1.9531636752390114e-08,6.510545436100301e-10
1853,1.851298847554972e-08,0.0
1854,1.2989160858012383e-08,3.117398783558656e-09
1855,8.491099379170919e-09,3.1841622671890946e-09
1856,2.1226476576430287e-08,2.0708756931497874e-09
1857,1.3668225662399891e-08,9.763018171682347e-10
1858,1.3702292633865909e-08,4.893676019968041e-10
1859,2.2914779407301467e-08,0.0
1860,7.781213007262977e-09,9.154367819341758e-10
1861,6.6023493339173456e-09,4.715963730639317e-10
1862,2.2589931703009825e-08,1.3553959066214816e-09
1863,1.6981710260211003e-08,3.995696662428827e-09
1864,1.0548401263577034e-08,5.274200631788517e-09
1865,2.165148416111151e-08,9.41368871743009e-10
1866,3.2113046444237625e-08,1.0704348518686402e-08
1867,1.8925964795357686e-08,4.85281148598915e-09
1868,2.4699371437009177e-09,4.93987406535723e-10
1869,1.5138908793232986e-08,5.371870948067681e-09
1870,2.121598008386627e-08,1.3188312664169644e-08
1871,2.7615060460561835e-08,2.1242354542039266e-09
1872,2.7213026498884574e-08,1.3304146229131675e-08
1873,2.2746817762708815e-08,1.3767810003173508e-08
1874,2.3898437007119355e-08,7.169530746864439e-09
1875,2.8607635371713513e-08,1.2015206607429718e-08
1876,1.5115036333668286e-08,4.232210137899983e-09
1877,2.72131899237138e-08,6.80329748092845e-09
1878,3.200716847118201e-08,1.8117265465633636e-09
1879,2.016077260691418e-08,1.1607718342077078e-08
1880,2.1820676820993867e-08,3.8507077526617195e-09
1881,1.9523021421719022e-08,1.3945015142624584e-09
1882,2.1962771157291172e-08,1.8635077481121698e-08
1883,3.4124429504345244e-08,2.5277355764075082e-09
1884,2.2445769687351458e-08,7.922036360241691e-09
1885,3.0294486919046903e-08,1.0313017106966527e-08
1886,3.355801325710672e-08,1.097088819790315e-08
1887,3.133883907935342e-08,1.1099172247952538e-08
1888,2.0924028731883482e-08,8.876860135842435e-09
1889,2.7566601445982997e-08,5.6386229019267375e-09
1890,2.94947390955258e-08,7.865263995654459e-09
1891,2.7409146952095398e-08,5.736798147637501e-09
1892,3.6984221907232495e-08,1.6298132621272998e-08
1893,2.2170299374124625e-08,8.005941687372342e-09
1894,2.7096618282484997e-08,1.1342770278588432e-08
1895,2.2870734639468537e-08,1.5648398132839247e-08
1896,4.1279204054944785e-08,2.7716035688740703e-08
1897,1.806281169081103e-08,1.7480140668268973e-09
1898,3.055511754723739e-08,9.619203211741478e-09
1899,3.703477347016815e-08,1.6582735185011188e-09
1900,1.661137005726232e-08,8.824790675987515e-09
1901,1.900171220370339e-08,9.500856101851696e-09
1902,3.1425816615637814e-08,7.365425602756659e-09
1903,2.4841012802312434e-08,8.100330184390714e-09
1904,3.0097901060344157e-08,1.666133897515465e-08
1905,2.6835946798087207e-08,7.741138396966107e-09
1906,3.035068729673185e-08,1.2346042410626978e-08
1907,2.108565766434367e-08,7.199980611716228e-09
1908,2.504808449543816e-08,1.0313916831705683e-08
1909,1.870334465081669e-08,8.801573692096554e-09
