year,doivent_VERB appeler_VERB,doivent_VERB rappeler_VERB
1800,4.087413785214267e-08,3.144164395507687e-08
1801,4.7623650800687756e-08,3.095537337571841e-08
1802,4.2518962573012686e-08,1.3427040812530322e-08
1803,1.755305234496518e-08,5.851017448321727e-09
1804,6.426812149129546e-08,3.707776485839531e-08
1805,5.401467717547348e-08,3.980028751016107e-08
1806,8.645007376628655e-09,5.187004603612877e-08
1807,3.9857372513552036e-08,8.256169792275614e-08
1808,7.251436784372345e-08,2.7192887941396293e-08
1809,2.25903047379461e-08,5.873479480555943e-08
1810,1.6380887757350138e-08,2.8081521108447305e-08
1811,6.518399686683551e-08,3.259199843341776e-08
1812,2.1337665856435706e-08,5.067695596494559e-08
1813,1.4378708002027452e-08,2.0130190847567064e-08
1814,1.5733386149463513e-08,1.8880061958270744e-08
1815,0.0,5.394447111228828e-09
1816,3.476405652236281e-08,6.257530316133852e-08
1817,2.1796227045456362e-08,3.42512151974006e-08
1818,2.8610825708597076e-08,2.384235386898581e-08
1819,6.003609342997152e-08,1.3456364911235141e-08
1820,4.2719332071783356e-08,3.441279616822612e-08
1821,3.747365440176509e-08,3.0570614484304315e-08
1822,5.012807946513931e-08,3.60922172149003e-08
1823,8.696764552951208e-08,2.569498569471307e-08
1824,5.4737231636181605e-08,2.863178316658832e-08
1825,2.8177417732422327e-08,1.7610886970942374e-08
1826,2.9947145208097936e-08,3.787433300317389e-08
1827,4.7008093417844066e-08,2.1199728195142598e-08
1828,5.228211819030548e-08,5.044765671868845e-08
1829,1.577464416868679e-07,2.2290258527846163e-08
1830,5.635891398014792e-08,2.922314124020886e-08
1831,9.978371906527173e-08,1.870944643656003e-08
1832,6.900284432731496e-08,3.2471927369215337e-08
1833,6.950177322551099e-08,7.761030929032131e-08
1834,9.241185949804276e-08,5.600718466780563e-08
1835,4.310960122211327e-08,4.386591001548368e-08
1836,6.72075017860152e-08,3.49478987970997e-08
1837,9.323574090558395e-08,2.0177884252348122e-08
1838,1.1677499855977658e-07,1.5780404538645598e-08
1839,8.529599426765344e-08,2.0974425751774106e-08
1840,4.58617570586739e-08,2.4204817705708592e-08
1841,6.420548714913821e-08,2.760835826620678e-08
1842,7.177843741601464e-08,1.6770663080478698e-08
1843,4.902736350231862e-08,3.5441466650354414e-08
1844,7.244901212288823e-08,3.732221642849254e-08
1845,7.086889297625021e-08,1.9530798311961917e-08
