year,puissent_VERB apporter_VERB,puissent_VERB rapporter_VERB
1800,3.144164484325529e-09,3.144164395507687e-08
1801,7.143547975374531e-09,3.5717739876872656e-08
1802,1.7902721083373763e-08,3.3567602031325805e-08
1803,3.900678446910888e-09,1.1702034896643454e-08
1804,3.707776485839531e-08,0.0
1805,2.842877711017877e-09,8.528632911009026e-09
1806,1.4408345627714425e-08,8.645007376628655e-09
1807,4.839823830593559e-08,8.540865792383556e-09
1808,1.5862518409903714e-08,0.0
1809,4.518061036407062e-09,1.8072244145628247e-08
1810,0.0,0.0
1811,5.0141535368197765e-09,2.5070767684098882e-09
1812,2.6672082320544632e-09,2.6672082320544632e-09
1813,8.627225156487839e-09,0.0
1814,2.5173417128598885e-08,3.1466771410748606e-09
1815,6.47333635583891e-08,0.0
1816,5.5622493277951435e-08,9.270415546325239e-09
1817,4.3592454090912724e-08,1.2454987263765815e-08
1818,3.2187177367859476e-08,1.4305412854298538e-08
1819,9.315945348475907e-09,1.2421260464634543e-08
1820,2.4919611263385377e-08,2.1359666035891678e-08
1821,6.903041693817613e-09,1.1833785507064931e-08
1822,3.208197085768916e-08,1.303330066093622e-08
1823,3.4589405117912975e-08,4.941343334508019e-09
1824,7.915846111927749e-08,5.052667617633233e-09
1825,3.874394849390228e-08,1.8491430608946757e-08
1826,1.0569580766173203e-08,1.76159691278599e-08
1827,4.516463647519231e-08,4.7008093417844066e-08
1828,1.6510142586412258e-08,3.668920500743411e-09
1829,3.772197487705853e-08,1.628903412154159e-08
1830,2.1917355041978226e-08,3.1310507520032616e-09
1831,1.870944643656003e-08,3.1182412207897414e-09
1832,1.488296597074168e-08,2.705993873419743e-09
1833,2.6642345218874652e-08,8.108539617524002e-09
1834,1.7735608537350345e-08,1.8669062740173104e-08
1835,3.857174846189082e-08,1.739510224751939e-08
1836,3.293167694096155e-08,8.736974699274924e-09
1837,2.99189295560609e-08,1.0436836284100082e-08
1838,7.700837301172214e-08,6.943378316748294e-09
1839,3.2859933440931854e-08,2.0974426639952526e-09
1840,3.121147429396842e-08,3.567025785855549e-08
1841,1.733548060656176e-08,7.704658244733764e-09
1842,4.695785449371215e-08,1.0733224087289273e-08
1843,4.4892523476391943e-08,1.1223130869097986e-08
1844,3.567564732520623e-08,1.5916826967554698e-08
1845,4.631589334280761e-08,1.0044410636567136e-08
1846,6.615586300995346e-08,2.2247105491146613e-08
1847,4.638172157456211e-08,1.294373674909366e-08
1848,3.942158599556933e-08,4.02261068899179e-09
1849,4.9438547478075634e-08,3.603148357456121e-08
1850,3.8018377779280854e-08,4.073397619208663e-09
1851,4.063146263888484e-08,3.8696632564949596e-09
1852,2.7344290387532055e-08,3.1250618093281446e-08
1853,2.5679307569248522e-08,2.030456869306363e-08
1854,4.1565314745639625e-08,2.338049043260071e-08
1855,3.3964397516683675e-08,1.4328730202350926e-08
1856,3.209857268871019e-08,2.6403665032148638e-08
1857,4.051652524594829e-08,5.857811125054013e-09
1858,1.468102794888182e-08,6.8511463169329545e-09
1859,1.884104072757964e-08,1.171199848215565e-08
1860,2.0139609091529564e-08,9.15436793036406e-09
1861,2.9238975685075275e-08,1.3676294763342867e-08
1862,3.298130124562704e-08,8.132375661773494e-09
1863,2.1976331865403154e-08,9.989241434027463e-09
1864,2.3973639073915365e-08,7.1920918109924514e-09
1865,1.835669216632141e-08,6.118897832863013e-09
1866,3.454585240092456e-08,1.9462451650298362e-09
1867,2.4749338578544666e-08,7.279217228983725e-09
1868,2.865126980111654e-08,1.0867722721741302e-08
1869,5.860222884734867e-08,8.790334682373668e-09
1870,4.529898589566983e-08,1.204150201772336e-08
1871,1.3807530230280918e-08,6.37270636261178e-09
1872,3.3260366905096816e-08,7.861540751719076e-09
1873,4.070482972906575e-08,3.591602570907071e-09
1874,3.584765551067903e-08,1.1351757756017378e-08
1875,1.5448122780981066e-08,1.0298748520654044e-08
1876,3.748529309177684e-08,1.6324239737741664e-08
1877,3.154256233983688e-08,4.329371083855449e-09
1878,2.0532901601200138e-08,1.8117265465633636e-09
1879,3.237942536316041e-08,6.109325489944695e-09
1880,2.888030792291829e-08,1.2193908105473383e-08
1881,3.69542902944886e-08,2.3009274485730202e-08
1882,2.1297232422057277e-08,3.3276925659464496e-09
1883,3.222862687835004e-08,6.951272890631799e-09
1884,3.4328824227713994e-08,1.9805090900604227e-09
1885,3.609556031847205e-08,9.023890079618013e-09
1886,2.774989482645651e-08,6.4534639854230136e-09
1887,4.113222473733913e-08,5.876032105334161e-09
1888,3.550744054336974e-08,2.53624587998047e-09
1889,3.57112810434046e-08,1.0024218788373673e-08
1890,3.998175657216052e-08,3.2771931834929546e-09
1891,3.314594465564369e-08,1.9122659011827636e-09
1892,3.57305189879753e-08,6.268512375839919e-09
1893,3.7566341148931315e-08,9.853466487186324e-09
1894,1.5753848003896564e-08,6.301539290376468e-09
1895,3.4306101071024386e-08,4.213029924926559e-09
1896,3.3613066108273415e-08,6.486732040400511e-09
1897,1.981082675683865e-08,5.2440420894583895e-09
1898,3.734514208986184e-08,1.1882545614128048e-08
1899,3.0954439012020885e-08,2.2110313580014918e-09
1900,2.4397950326715545e-08,7.26747462209687e-09
1901,2.4031576728589243e-08,1.397184767881754e-08
1902,2.7497589982772297e-08,5.4013122863239005e-09
1903,3.456140973412403e-08,1.2420506401156217e-08
1904,2.956043942958786e-08,6.987012746151322e-09
1905,3.4061010012464976e-08,7.741138396966107e-09
1906,3.652370850204534e-08,2.572092316910357e-09
1907,3.857132568896304e-08,9.257117739025489e-09
1908,4.6167055955947944e-08,9.331639461152008e-09
1909,3.795678793494517e-08,1.1552065082298668e-08
1910,2.8323999146095957e-08,3.206490406526541e-09
1911,2.6601870928288918e-08,5.852411444351446e-09
1912,3.9070659596518453e-08,7.293189607793238e-09
1913,2.598464909908671e-08,5.302989602995467e-09
