year,put_VERB acheter_VERB,put_VERB racheter_VERB
1800,9.432493897065797e-09,9.432493897065797e-09
1801,2.8574191901498125e-08,0.0
1802,3.8043282302169246e-08,2.2378401354217203e-09
1803,1.950339267864365e-08,1.950339223455444e-09
1804,9.887403784603066e-09,4.943701892301533e-09
1805,0.0,2.55858996212055e-08
1806,0.0,0.0
1807,2.562259560079383e-08,0.0
1808,2.2660739951163578e-09,0.0
1809,9.036122072814123e-09,3.162642769893864e-08
1810,4.680253518074551e-09,0.0
1811,0.0,1.0028307073639553e-08
1812,1.3336041604361526e-08,0.0
1813,2.8757416448144113e-09,8.627225156487839e-09
1814,1.8880061958270744e-08,3.1466772298927026e-08
1815,1.0788894222457657e-08,0.0
1816,2.3176038865813098e-09,4.6352077731626196e-09
1817,1.8682481339737933e-08,0.0
1818,1.1921177378582115e-09,2.026600220972341e-08
1819,1.0351049795076506e-08,8.280840013696888e-09
1820,2.254631326081835e-08,1.4239777357261119e-08
1821,4.930744257336528e-09,1.2819934447350079e-08
1822,9.023054303725075e-09,2.0051231786055723e-09
1823,1.581229902569703e-08,1.1859224713361982e-08
1824,2.2737005167527968e-08,8.421112696055388e-09
1825,1.937197424695114e-08,5.283265824829186e-09
1826,2.642395191543301e-09,7.927186018719112e-09
1827,1.8434546333878643e-08,2.7651818612639545e-09
1828,7.337841001486822e-09,8.255071293206129e-09
1829,1.3717081692732336e-08,3.429270423183084e-09
1830,1.461157062010443e-08,2.0873670791843324e-08
1831,3.274153215215847e-08,0.0
1832,1.488296597074168e-08,4.058990921151917e-09
1833,3.938433579264711e-08,5.791814139399776e-09
1834,4.2005389389032644e-08,1.3068342852307069e-08
1835,3.1764969321557146e-08,9.075705520444899e-09
1836,1.2769425516978572e-08,1.008112526790228e-08
1837,1.0436836284100082e-08,4.87052354003481e-09
1838,2.3354999711955315e-08,1.64116205070286e-08
1839,2.1673573158409454e-08,1.677954131196202e-08
1840,1.9109066329292546e-08,1.9109066329292546e-08
1841,2.5040138851295524e-08,1.2841097074556274e-09
1842,4.561620414733625e-08,1.2074877098200432e-08
1843,5.493427224223524e-08,1.1223130869097986e-08
1844,4.226192018563779e-08,1.6465683927435748e-08
1845,1.8414752389617206e-08,1.0602432709561072e-08
1846,2.0490753982471688e-08,4.0981511517657054e-09
1847,3.235934187273415e-08,1.294373674909366e-08
1848,1.287235473768078e-08,5.63165514222419e-09
1849,1.9272654583346593e-08,4.1897072478036534e-09
1850,1.0183494048021657e-08,1.5614691761811628e-08
1851,2.3217978650791338e-08,1.2898877521649865e-08
1852,4.231854688896419e-08,7.161600201754936e-09
1853,2.149895550473957e-08,2.269334054005867e-08
1854,2.4939190268469247e-08,1.454786069388092e-08
1855,4.351688431825096e-08,3.343370380548549e-08
1856,1.9155599773057475e-08,1.1389816201301528e-08
1857,3.368241152656992e-08,1.3180074809326925e-08
1858,2.5447114637699997e-08,1.663849857891364e-08
1859,5.092173438470127e-08,2.036869339860914e-08
1860,3.249800428761773e-08,1.5562426014525954e-08
1861,2.9238975685075275e-08,1.8863854478468056e-08
1862,3.6143891435358455e-08,2.3493528900075944e-08
1863,2.7470415275843152e-08,5.9935452156878455e-09
1864,1.7740493518658695e-08,1.4384183621984903e-08
1865,3.3418594114209554e-08,1.9298061815220535e-08
1866,2.1408697037372804e-08,8.271541673821048e-09
1867,3.4454963326879806e-08,5.338092634588065e-09
1868,3.359114231216154e-08,7.903798504571569e-09
1869,2.5882650689368347e-08,4.395167341186834e-09
1870,3.669791226457164e-08,9.747882501187632e-09
1871,2.2304472935275044e-08,1.0621177271019633e-09
1872,1.4513614310374123e-08,3.0236697590169115e-09
1873,4.2500630570430076e-08,1.855661402316855e-08
1874,2.0911132381229436e-08,7.169530746864439e-09
1875,3.2612703648737806e-08,3.776207790906483e-08
1876,3.3253080289341597e-08,1.813804439976252e-09
1877,5.44263798474276e-08,1.855444864418132e-08
1878,3.01954443671093e-08,1.3889904337816006e-08
1879,3.4823152361695975e-08,1.710611030603104e-08
1880,4.4924924225142604e-08,5.776061406947974e-09
1881,2.719277958362909e-08,1.1853263259808955e-08
1882,4.2594464844114555e-08,1.2645231528551903e-08
1883,5.624211496524367e-08,8.21514056781325e-09
1884,2.970763546272792e-08,1.3203393933736152e-08
1885,3.609556031847205e-08,9.66845359329227e-09
1886,3.87207848007165e-08,8.38950331427668e-09
1887,4.8966935395355904e-08,6.528924512139156e-09
1888,3.4239320712003973e-08,6.974675947901687e-09
1889,2.1301465480405568e-08,8.771191772893872e-09
1890,2.94947390955258e-08,8.520702365899524e-09
1891,3.314594465564369e-08,1.5935549768641977e-08
1892,5.2655504845233736e-08,3.1342561879199593e-09
1893,2.2170299374124625e-08,6.15841644346915e-09
1894,3.465846631911518e-08,4.411077725308132e-09
1895,2.2268872967856623e-08,1.023164486468886e-08
1896,2.1229304536518612e-08,5.897029087265082e-09
1897,4.3700350005337896e-08,1.4566784223291052e-08
1898,5.318853624203257e-08,6.224190496340043e-09
1899,2.1004797901014172e-08,1.1055156790007459e-08
1900,5.2429637520390315e-08,1.0901211489056095e-08
1901,4.415103660448949e-08,5.58873880507349e-09
1902,2.0132164380015638e-08,8.347482705062248e-09
1903,3.0781254878320397e-08,7.560307935250421e-09
1904,2.741058935384899e-08,1.1286712897629059e-08
1905,2.6835946798087207e-08,5.160758931310738e-09
1906,2.7264178470431943e-08,7.201858220895474e-09
1907,1.8514235478050978e-08,1.0799970695529737e-08
1908,2.701263923654551e-08,5.893666887857307e-09
1909,3.5756393401698006e-08,7.151278680339601e-09
1910,3.046165986120286e-08,6.412980813053082e-09
1911,3.8838731342139e-08,7.448523575703803e-09
1912,3.021464323182954e-08,1.5628263128064646e-08
