year,doit_VERB emporter_VERB,doit_VERB remporter_VERB
1800,5.65949598296811e-08,2.5153315874604232e-08
1801,1.571580554582397e-07,5.714838380299625e-08
1802,5.147032311469957e-08,1.3427040812530322e-08
1803,5.851017803593095e-08,7.801356893821776e-09
1804,4.69651695311768e-08,5.9324420931261557e-08
1805,6.254330742194725e-08,8.528632911009026e-09
1806,1.2679343797117326e-07,2.0171682990621775e-08
1807,1.2526602688467392e-07,1.1387820464392462e-08
1808,1.0877155176558517e-07,5.211970233176544e-08
1809,1.3780086760561971e-07,2.4849335034105025e-08
1810,9.360506680877734e-08,4.44624070894406e-08
1811,1.1031137603367824e-07,5.264861258069686e-08
1812,1.1735716043403954e-07,3.7340914360584065e-08
1813,1.0640243885973177e-07,1.4378708002027452e-08
1814,3.776012391654149e-08,1.2586708564299443e-08
1815,7.821948599939788e-08,8.091670444798638e-09
1816,6.489290882427667e-08,3.244645441213834e-08
1817,8.095742032310227e-08,1.401186100480345e-08
1818,4.768470773797162e-08,2.1458118837358597e-08
1819,4.864993385922389e-08,3.2088255608186955e-08
1820,8.306536614099969e-08,2.254631326081835e-08
1821,5.1279737789400315e-08,4.339054981983281e-08
1822,8.120748873352568e-08,3.408709403629473e-08
1823,8.499110748516614e-08,2.4706716672540097e-08
1824,9.094802067011187e-08,2.105278085196005e-08
1825,9.774041842547376e-08,2.1133063299316746e-08
1826,5.725189922145546e-08,1.8496766784892316e-08
1827,1.0968555130830282e-07,8.295545583791863e-09
1828,6.695779575238703e-08,2.5682442839070063e-08
1829,9.687688873327716e-08,2.4004892296147773e-08
1830,6.888311787633938e-08,2.2961039292113128e-08
1831,1.5279381671007286e-07,3.1182413096075834e-08
1832,7.576782934393123e-08,1.488296597074168e-08
1833,1.030942939905799e-07,3.1275796175123105e-08
1834,7.654315226091057e-08,9.334531370086552e-09
1835,1.0588323107185715e-07,2.4201881387853064e-08
1836,1.1895727425326186e-07,1.0753200108126748e-08
1837,6.609996461293122e-08,1.6698937344017395e-08
1838,7.511472688292997e-08,3.976661844262708e-08
1839,4.055055669027752e-08,5.5931801412612e-09
1840,8.344292012907317e-08,2.229391071750797e-08
1841,9.695028069245382e-08,1.6051371787284552e-08
1842,8.385331540239349e-08,2.750388716776797e-08
1843,7.50177733266355e-08,3.5441466650354414e-08
1844,1.0483152124152184e-07,2.305195678786731e-08
1845,8.258737693722651e-08,3.5155437672074186e-08
1846,6.732676638421253e-08,2.1661655580373917e-08
1847,7.388716483092139e-08,7.011190739092399e-09
1848,1.0539240236084879e-07,1.287235473768078e-08
1849,8.547003460535052e-08,7.54147322368226e-09
1850,9.844044512874461e-08,1.1541293254424545e-08
1851,9.867641637129054e-08,1.3543821175687754e-08
1852,9.114763344086896e-08,1.4323200403509873e-08
1853,8.241266158393046e-08,1.6124216628554677e-08
1854,7.845453353638732e-08,2.3900057044556888e-08
1855,5.200798369742188e-08,3.290301009428731e-08
1856,1.1234500618684251e-07,2.847454005916461e-08
1857,5.8089959509288747e-08,9.763017949637742e-09
1858,9.983099147348184e-08,1.1255455234504552e-08
1859,8.300242626546606e-08,1.2730433596175317e-08
1860,7.918528410755243e-08,1.785101666484934e-08
1861,1.0516598791809884e-07,8.960331143725853e-09
1862,1.0120289317683273e-07,9.035972858839614e-09
1863,8.041339327746755e-08,2.447364266799923e-08
