year,voudraient_VERB aller_VERB
1800,6.288328968651058e-09
1801,1.1905912700171939e-08
1802,1.1189200677108602e-08
1803,3.900678446910888e-09
1804,2.4718509461507665e-09
1805,4.8328921309348516e-08
1806,0.0
1807,0.0
1808,2.2660739951163578e-09
1809,2.0331274441787173e-08
1810,2.3401266702194334e-08
1811,5.264861258069686e-08
1812,5.3344164641089264e-09
1813,0.0
1814,2.2026739543434815e-08
1815,1.8880564667256294e-08
1816,2.3176038865813098e-08
1817,1.5568733857662664e-08
1818,3.5763532135746345e-09
1819,2.173720581311045e-08
1820,3.441279616822612e-08
1821,4.832129363308013e-08
1822,2.8071724500478012e-08
1823,3.261286707356703e-08
1824,2.4421225930382207e-08
1825,3.9624492131906663e-08
1826,4.932471142637951e-08
1827,6.359918103271411e-08
1828,4.1275356466030644e-08
1829,5.401101077495696e-08
1830,3.444155893816969e-08
1831,1.870944643656003e-08
1832,7.170883975504694e-08
1833,3.243415847009601e-08
1834,7.000897994657862e-08
1835,7.714349692378164e-08
1836,4.435695188931277e-08
1837,3.6181031504156635e-08
1838,5.996553653631054e-08
1839,4.754203075663099e-08
1840,6.305991462340899e-08
1841,7.57624718517036e-08
1842,3.4212153110502186e-08
1843,4.134837894298471e-08
1844,3.677336124496833e-08
1845,3.348136701220028e-08
1846,6.14722637237719e-08
1847,7.011190916728083e-08
1848,6.114368744647436e-08
1849,3.351765798242923e-08
1850,2.7834882843080777e-08
1851,4.063146263888484e-08
1852,2.9948509450150596e-08
1853,5.1358615138497044e-08
1854,5.6632742939655145e-08
1855,3.3964397516683675e-08
1856,6.989205303398194e-08
1857,5.760180599168052e-08
1858,5.138359782108637e-08
1859,3.819129901216911e-08
1860,4.439868561689764e-08
1861,3.961409689168249e-08
1862,2.936691068100572e-08
1863,3.346395871517416e-08
1864,3.3563097190381086e-08
1865,3.6242703060906933e-08
1866,5.5954547661940524e-08
1867,3.736664666575962e-08
1868,2.2723421366777075e-08
1869,4.199826619810665e-08
1870,2.981705193860762e-08
1871,4.5671061599250606e-08
1872,3.265563108811875e-08
1873,2.8732820567256567e-08
1874,3.4055272379873713e-08
1875,3.2612703648737806e-08
1876,3.506688628363008e-08
1877,6.741449709579683e-08
1878,2.717589886458427e-08
1879,2.993569481191116e-08
1880,3.0805662021293756e-08
1881,5.299105865219644e-08
1882,4.9249848643739824e-08
1883,3.349249766415596e-08
1884,5.0833065756705764e-08
1885,6.703461252755005e-08
1886,5.420909587883216e-08
1887,5.157850324621904e-08
1888,3.804368731152863e-08
1889,5.325366103647866e-08
1890,4.522526708683472e-08
1891,4.6531805963923034e-08
1892,3.63573704476039e-08
1893,3.3255449949365357e-08
1894,3.276800342177921e-08
1895,3.91209944439197e-08
1896,4.422771837653272e-08
1897,3.8456310136325556e-08
1898,3.451596342074481e-08
1899,3.758753308602536e-08
1900,3.0627212765921286e-08
1901,4.247441509619421e-08
1902,2.0132164380015638e-08
1903,5.238213773850475e-08
1904,4.245953988402107e-08
1905,4.025391930895239e-08
1906,5.2985100751357095e-08
1907,2.1599941391059474e-08
1908,3.437972395659017e-08
1909,3.190570296851547e-08
1910,4.11499598840237e-08
1911,3.351835786702395e-08
1912,3.438217888174222e-08
1913,2.4924052155483878e-08
1914,2.74566485103378e-08
1915,4.123266705846618e-08
1916,4.2851102222130066e-08
1917,3.838248474608008e-08
1918,2.756730310693456e-08
1919,3.038589824200244e-08
1920,3.028892692213958e-08
1921,1.6660044011018726e-08
1922,2.0658220023506146e-08
1923,2.5478275489376756e-08
1924,3.867487308184536e-08
1925,2.1996356736053713e-08
1926,2.3406890647947876e-08
1927,2.8987985345452216e-08
1928,3.427812345080383e-08
1929,2.6736975300423182e-08
1930,2.2057568216382606e-08
1931,1.3686427990933225e-08
1932,2.1919072779041926e-08
1933,1.0323596200123575e-08
1934,4.073737258636356e-08
1935,2.393656828303392e-08
1936,3.394919900756577e-08
1937,2.5182236740306507e-08
1938,3.1116513810047763e-08
1939,9.176430282309411e-09
1940,2.5357829613881222e-08
1941,2.066051862925633e-08
1942,3.944475324146879e-08
1943,4.3548528338988035e-08
1944,2.8918675454292497e-08
1945,2.3963544037997053e-08
1946,4.1763314584386535e-08
1947,2.5033829231801974e-08
1948,1.848220954059343e-08
1949,2.3560819073509265e-08
1950,1.4889506516624351e-08
1951,3.4116485636559446e-08
1952,3.1634410646574906e-08
1953,4.417269394707546e-08
1954,3.420387528763058e-08
1955,2.815682265122632e-08
1956,1.5698054411927842e-08
1957,1.236905244894615e-08
1958,1.2408365002158916e-08
1959,2.40273188012452e-08
1960,2.0070416439921246e-08
1961,2.292892631317045e-08
1962,2.1562652108286784e-08
1963,2.7157422977097667e-08
1964,2.007709554163739e-08
1965,3.173785145804686e-08
1966,2.1602390987141007e-08
1967,1.3804939413830652e-08
1968,4.087188543167031e-08
1969,2.4525492747784483e-08
1970,4.2768142805016396e-08
1971,2.003974941544584e-08
1972,1.898154344814884e-08
1973,2.4258095976392724e-08
1974,2.1377172032543967e-08
1975,1.028066431985053e-08
1976,3.085304456362792e-08
1977,1.5279633558407113e-08
1978,2.198018833610149e-08
1979,3.101546042216796e-08
1980,3.013130012163856e-08
1981,2.1506869174459098e-08
1982,2.4209258597807093e-08
1983,2.0209011353244932e-08
1984,1.739702604197646e-08
1985,2.707001200974446e-08
1986,2.2179596825822046e-08
1987,2.3832186002437084e-08
1988,2.0987938498251424e-08
1989,2.469655058234821e-08
1990,2.45189291092629e-08
1991,2.3445860364290638e-08
1992,2.314176583695371e-08
1993,2.1602909683338112e-08
1994,2.8484603120659813e-08
1995,2.6570008415660595e-08
1996,3.3629980578098184e-08
1997,2.4453962410575514e-08
1998,2.2410207023426665e-08
1999,2.422206613061917e-08
2000,2.9159007652879154e-08
2001,2.4096664219541708e-08
2002,1.752488643091965e-08
2003,2.25013838672794e-08
2004,2.2464435645019876e-08
2005,1.8465373230469595e-08
2006,2.0177660431386357e-08
2007,2.3167981311189578e-08
2008,1.7455501932772677e-08
2009,1.9549588614609092e-08
2010,2.739800031292816e-08
2011,1.911985947344874e-08
2012,2.1787217363566924e-08
2013,2.091843853690989e-08
2014,2.3603352161671864e-08
2015,2.21657536769726e-08
2016,1.9470595802317803e-08
2017,2.037645252528364e-08
2018,2.0135439982027492e-08
2019,1.632632162795744e-08
