year,tout_DET habit_NOUN
1800,2.2009151834367913e-08
1801,9.524730337773235e-09
1802,0.0
1803,1.3652374342143503e-08
1804,9.640218934237055e-08
1805,2.842877711017877e-09
1806,2.305335300434308e-08
1807,1.1387820908481672e-08
1808,2.039466551195801e-08
1809,3.388545621874073e-08
1810,3.510190182964834e-08
1811,3.760615285841595e-08
1812,5.067695596494559e-08
1813,1.1502966579257645e-08
1814,6.293354282149721e-09
1815,4.045835311217161e-08
1816,2.0858434979231788e-08
1817,3.113746815941454e-09
1818,4.053200441944682e-08
1819,2.4842520929269085e-08
1820,1.779972080839798e-08
1821,1.2819934891439289e-08
1822,2.0051231786055723e-08
1823,1.2847492847356534e-08
1824,2.0210670470532932e-08
1825,4.4027217427355936e-09
1826,4.315912249808207e-08
1827,1.4747636667422626e-08
1828,1.559291185060374e-08
1829,2.0575622095009294e-08
1830,1.3567886592014133e-08
1831,1.5591206548037917e-08
1832,3.2471927369215337e-08
1833,2.89590715851773e-08
1834,1.4935249259551142e-08
1835,2.949604294144592e-08
1836,2.8899226123257904e-08
1837,1.3915782304252389e-08
1838,1.4517972601879592e-08
1839,2.3771015378315496e-08
1840,2.93005673057678e-08
1841,2.247191943638427e-08
1842,1.2745703603656011e-08
1843,2.835317236549173e-08
1844,1.8661108325268572e-08
1845,1.4508592549589139e-08
1846,2.4588905134237393e-08
1847,4.0988499705463255e-08
1848,1.6090442978011765e-08
1849,2.4300303991253713e-08
1850,2.308258562067067e-08
1851,1.6768540334055615e-08
1852,1.3021090872200602e-08
1853,1.5527023000672102e-08
1854,3.221311928314208e-08
1855,2.653468555990912e-08
1856,1.346069211649592e-08
1857,1.513267733344037e-08
1858,3.229826006645453e-08
1859,2.34239969643113e-08
1860,1.1442959635399319e-08
1861,1.3204698667834691e-08
1862,1.2650361869148696e-08
1863,2.197633214295891e-08
1864,9.109983323263293e-09
1865,1.3179164426446732e-08
1866,1.216403244796993e-08
1867,1.5043715606566366e-08
1868,8.397785689062687e-09
1869,1.6115612844203042e-08
1870,1.3188312664169644e-08
1871,0.0
1872,5.019291648977742e-08
1873,2.3944017879529156e-09
1874,8.961913322558246e-09
1875,2.2886109007913547e-08
1876,4.836811839936672e-09
1877,2.288381928394756e-08
1878,2.717589886458427e-08
1879,1.8327975581655664e-08
1880,1.3477477134316018e-08
1881,1.8825771164188154e-08
1882,2.9283694136239546e-08
1883,1.2638677659992936e-08
1884,2.178559999066465e-08
1885,1.353583467533781e-08
1886,1.7424351739236954e-08
1887,1.9586773092328258e-08
1888,1.5851536971922542e-08
1889,1.3156786771162388e-08
1890,7.865263995654459e-09
1891,6.3742202627281586e-09
1892,3.761107425503951e-09
1893,1.539604177480669e-08
1894,4.411077725308132e-09
1895,1.5046536461227333e-08
1896,1.3563166811891847e-08
1897,1.3401440845939305e-08
1898,1.4145887461403106e-08
1899,1.0502398950507086e-08
1900,1.0901211489056095e-08
1901,2.459045056468767e-08
1902,1.3257766440233354e-08
1903,1.4040572704487886e-08
1904,1.1824175416563776e-08
1905,8.773290538499623e-09
1906,9.773950260250075e-09
1907,9.257117961070094e-09
1908,5.893666887857307e-09
1909,1.0451868481808901e-08
1910,1.4429207162436342e-08
1911,2.500575924102577e-08
1912,1.1981668990301841e-08
1913,7.954484182448596e-09
1914,3.348371857558874e-09
1915,1.5314990164938536e-08
1916,2.307367097387214e-08
1917,1.5352993543160665e-08
1918,1.033773866510046e-08
1919,1.3811772670013767e-08
1920,1.514446301698058e-08
1921,1.3630945261411398e-08
1922,1.3280283539529592e-08
1923,8.492758496458919e-09
1924,7.734974438733389e-09
1925,4.399271169575059e-09
1926,8.916910765321973e-09
1927,1.2264147031260109e-08
1928,2.2852082448565625e-09
1929,4.4561625500705304e-09
1930,1.3654684494213143e-08
1931,9.124285327288817e-09
1932,8.767629289252454e-09
1933,6.882397318719313e-09
1934,3.5944740517379614e-09
1935,2.393656828303392e-09
1936,8.487299751891442e-09
1937,1.1332006444320086e-08
1938,5.186085783037697e-09
1939,1.2235240376412548e-08
1940,1.5214697723919812e-08
1941,5.9030051957620344e-09
1942,1.2136847082899749e-08
1943,2.9032352077962287e-09
1944,3.2131861615880553e-09
1945,1.3071024262956144e-08
1946,1.1136883415474585e-08
1947,8.344609447874518e-09
1948,1.195907639583993e-08
1949,5.890204768377316e-09
1950,3.190608444114673e-09
1951,8.529121409139861e-09
1952,6.326882129314981e-09
1953,1.0773827385790469e-09
1954,7.818028890937967e-09
1955,4.6928039232341234e-09
1956,4.360570571293465e-09
1957,8.835037590415595e-09
1958,4.9633461784992505e-09
1959,3.100299128533379e-09
1960,7.612916519406099e-09
1961,3.47407969059077e-09
1962,6.976152211457531e-09
1963,9.052474325699222e-09
1964,7.909158661334459e-09
1965,1.0396882133001384e-08
1966,4.985167390003653e-09
1967,1.0846738618397467e-08
1968,1.2575964047911725e-08
1969,7.720988265402795e-09
1970,5.978342709767048e-09
1971,7.193756701440179e-09
1972,8.208234980600082e-09
1973,1.0475087464101307e-08
1974,6.750686232237513e-09
1975,7.4249242310031605e-09
1976,6.2848797277581525e-09
1977,7.052138428775834e-09
1978,4.75247319275951e-09
1979,1.1703946700691858e-09
1980,6.253665585376211e-09
1981,4.427884781055269e-09
1982,2.483000915987077e-09
1983,1.136756910824488e-08
1984,8.69851302098823e-09
1985,9.02333674446254e-09
1986,6.593933843390687e-09
1987,6.721898593298192e-09
1988,8.994830602571113e-09
1989,5.4881220679092735e-09
1990,4.90378582185258e-09
1991,1.4653663449326615e-08
1992,7.162927584403178e-09
1993,7.200969598386564e-09
1994,7.384897138251745e-09
1995,1.0844901865425527e-08
1996,5.871901187504136e-09
1997,1.2946214766884623e-08
1998,9.059445638115449e-09
1999,5.484241505371301e-09
2000,1.0603275590881367e-08
2001,6.133696661692056e-09
2002,7.886198361006791e-09
2003,1.3750845795357236e-08
2004,9.690540814233373e-09
2005,1.4411998705554652e-08
2006,7.823991232669414e-09
2007,1.1983438241713884e-08
2008,5.960415716543821e-09
2009,5.721830786953319e-09
2010,8.0304479732618e-09
2011,1.2619107508937688e-08
2012,7.82978132329859e-09
2013,9.483025142920098e-09
2014,9.527958866328845e-09
2015,8.866301304255586e-09
2016,1.0770968561502059e-08
2017,8.301517695485927e-09
2018,6.7118134383648e-09
2019,6.887666881283394e-09
