year,faut_VERB entrer_VERB,faut_VERB rentrer_VERB
1800,2.703981465401739e-07,8.489244152087849e-08
1801,3.309843918941624e-07,3.809892135109294e-08
1802,2.842056971985585e-07,3.8043282302169246e-08
1803,2.476930944794731e-07,6.826187615160961e-08
1804,2.8920655381625693e-07,6.921182915675672e-08
1805,2.4164461365216994e-07,5.1171799242411e-08
1806,2.996935961618874e-07,1.729001475325731e-08
1807,2.875424627291068e-07,2.2775640928784924e-08
1808,1.450287356874469e-07,1.1330369531492579e-08
1809,2.597885213617701e-07,1.581321340538011e-08
1810,3.8612091657341807e-07,5.3822915901946544e-08
1811,2.8831382792304794e-07,9.777599530025327e-08
1812,1.600324992523383e-07,7.468182872116813e-08
1813,2.530652523091703e-07,6.039057609541487e-08
1814,8.496028414128887e-08,4.72001566720337e-08
1815,2.6163067445850174e-07,8.091670444798638e-09
1816,3.6386381907504983e-07,6.952811304472561e-08
1817,2.8179408673167927e-07,9.963989811012652e-08
1818,2.3007872584912548e-07,5.126106117359086e-08
1819,4.0162075265470776e-07,1.2628281353954662e-07
1820,2.3376968272259546e-07,8.781196214613374e-08
1821,2.968307910578005e-07,4.930744168518686e-08
1822,3.1380176324091735e-07,1.664252238242625e-07
1823,2.974688868562225e-07,4.743689885344793e-08
1824,2.256858238069981e-07,4.294767386170406e-08
1825,2.0076410578440118e-07,1.1182912507123888e-07
1826,2.3517317515597824e-07,7.751026487312629e-08
1827,1.649891885335819e-07,7.834682236307344e-08
1828,2.531555196583213e-07,8.530240336313e-08
1829,3.154928833737358e-07,6.77280880267972e-08
1830,2.536150986998109e-07,5.4271545479878114e-08
1831,2.5881402621052985e-07,7.951515268445064e-08
1832,2.408334580650262e-07,7.306183391619925e-08
1833,3.1507468634117686e-07,9.03523016404506e-08
1834,2.5203232212334115e-07,1.0454674281845655e-07
1835,3.047924508337019e-07,7.33619529569296e-08
1836,3.7972236555106065e-07,6.38471249203576e-08
1837,3.3258717735407117e-07,9.671468326200028e-08
1838,2.6889810555985605e-07,7.258986545188861e-08
1839,2.391084592545667e-07,5.033862060521699e-08
1840,2.0255609456398815e-07,6.497082266632148e-08
1841,2.6260042318426713e-07,8.924562422407689e-08
1842,2.790638404803758e-07,9.525736288651387e-08
1843,3.1956389534570917e-07,7.560846171372759e-08
1844,3.3096023344114656e-07,7.025358428336403e-08
1845,3.2197914379139547e-07,8.537748641401777e-08
1846,2.86870573518172e-07,1.1533367683114193e-07
1847,2.2597606630370137e-07,5.824681537092147e-08
1848,2.5744708409547457e-07,9.091100849900613e-08
1849,3.041727723029908e-07,8.211826951765033e-08
1850,2.2403686728011962e-07,8.689914920978481e-08
1851,2.6894159077528457e-07,5.482023013314574e-08
1852,2.1680116901734436e-07,1.0221556423495315e-07
1853,2.7829202053908375e-07,1.0689758012105699e-07
1854,3.049854910841532e-07,8.053279998421203e-08
1855,2.6853101076085295e-07,8.013475039092555e-08
1856,3.567083410871419e-07,8.95653755605963e-08
1857,3.5683831356436713e-07,9.714202869881561e-08
