year,dut_VERB accompagner_VERB
1800,0.0
1801,2.3811825844433088e-09
1802,1.1189200677108602e-08
1803,0.0
1804,7.4155526164076946e-09
1805,5.685755422035754e-09
1806,2.305335300434308e-08
1807,1.1387820464392462e-08
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,1.2586708564299443e-08
1815,0.0
1816,1.622322720606917e-08
1817,2.6466848268569265e-08
1818,2.384235475716423e-09
1819,1.035105001712111e-09
1820,1.6613073583471305e-08
1821,9.86148829262845e-10
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,2.7651818612639545e-09
1828,1.8344602503717056e-09
1829,8.57317605795771e-10
1830,2.0873671680021744e-09
1831,0.0
1832,0.0
1833,0.0
1834,1.4935249481595747e-08
1835,4.5378527602224494e-09
1836,1.747394939854985e-08
1837,4.174734336004349e-09
1838,6.312161904276081e-09
1839,5.5931801412612e-09
1840,1.46502836528839e-08
1841,1.2841097074556274e-08
1842,8.720745015011744e-09
1843,1.7130041385371442e-08
1844,1.975882035765153e-08
1845,7.812318791877715e-09
1846,1.4636253098387897e-08
1847,1.0247124926365814e-08
1848,2.011305433313737e-08
1849,1.6758828991214614e-08
1850,7.467895635215882e-09
1851,6.449438760824933e-10
1852,1.3021090872200602e-08
1853,1.4929829816878737e-08
1854,7.27393034694046e-09
1855,6.368324534378189e-09
1856,1.65670055451983e-08
1857,1.4644527368545823e-08
1858,8.808616946964776e-09
1859,7.129042689513199e-09
1860,9.15436793036406e-09
1861,2.357981809808507e-09
1862,1.355395884417021e-08
1863,1.2986014041871385e-08
1864,1.9178912680217763e-08
1865,1.2708479601997169e-08
1866,7.784980660119345e-09
1867,1.0190904120577216e-08
1868,1.8277534152844055e-08
1869,2.783605879130846e-08
1870,2.408300403544672e-08
1871,5.3105884134652115e-09
1872,5.442605477412599e-09
1873,2.9930022904522957e-09
1874,2.3300975371398636e-08
1875,1.1443054503956773e-08
1876,1.3905833817773328e-08
1877,5.566334504436554e-09
1878,9.058632954861423e-09
1879,5.498392852132383e-09
1880,5.134277003548959e-09
1881,5.5780060570498335e-09
1882,1.5307385581309063e-08
1883,1.2006744043446815e-08
1884,2.5746619058963915e-08
1885,1.353583467533781e-08
1886,1.4197620856748472e-08
1887,1.3710741875172516e-08
1888,7.60873763994141e-09
1889,1.2530273707511697e-08
1890,1.4419650362640368e-08
1891,5.736798147637501e-09
1892,1.9432388143059143e-08
1893,1.9091091374434654e-08
1894,1.7014155417882648e-08
1895,1.2037228991346183e-08
1896,1.1204354777305525e-08
1897,1.631479840114025e-08
1898,1.9238406423482957e-08
1899,9.39688327150634e-09
1900,2.0245106924221545e-08
1901,1.2854099118442264e-08
1902,4.910283735171106e-09
1903,9.1803746826713e-09
1904,1.1824175416563776e-08
1905,8.257214467732865e-09
1906,1.2346042410626978e-08
1907,1.6457098794830927e-08
1908,8.840499887696751e-09
1909,1.2102163715610459e-08
1910,4.809735720812114e-09
1911,4.788336838146279e-09
1912,9.376957876838787e-09
1913,1.590896969716482e-09
1914,1.0045115850232378e-08
1915,1.0602685840410686e-08
1916,9.888715624128963e-09
1917,1.973956464951243e-08
1918,1.378365155346728e-08
1919,1.9336480860943084e-08
1920,8.329454459499175e-09
1921,1.060184651180407e-08
1922,1.623145884366295e-08
1923,9.554353752605493e-09
1924,1.2891624656674594e-08
1925,9.898360353588487e-09
1926,6.687683296036084e-09
1927,1.4493992672726108e-08
1928,6.8556245125250825e-09
1929,7.798284684668033e-09
1930,1.470504518152893e-08
1931,9.124285327288817e-09
1932,1.2055489939655217e-08
1933,1.0323596200123575e-08
1934,8.38710612072191e-09
1935,8.377798899061872e-09
1936,7.274828739411987e-09
1937,1.888667711114067e-08
1938,1.1668692678767911e-08
1939,1.988226472349197e-08
1940,1.5214697057785997e-08
1941,3.836953510472085e-08
1942,6.068423541449874e-09
1943,1.4516175816936538e-08
1944,2.8918675454292497e-08
1945,2.178504132643866e-08
1946,1.1136883415474585e-08
1947,9.536696765621855e-09
1948,7.610321262063735e-09
1949,2.945102384188658e-09
1950,3.190608444114673e-09
1951,7.462981344019681e-09
1952,1.1599284199803606e-08
1953,5.386913581872932e-09
