year,voulait_VERB ajouter_VERB,voulait_VERB rajouter_VERB
1800,4.4018303668735825e-08,0.0
1801,5.714838380299625e-08,0.0
1802,2.4616241489638924e-08,0.0
1803,5.851017803593095e-08,0.0
1804,3.707776485839531e-08,0.0
1805,7.107194477384837e-08,0.0
1806,4.034336598124355e-08,0.0
1807,5.97860605466849e-08,0.0
1808,1.8128591960930862e-08,0.0
1809,1.8072244145628247e-08,0.0
1810,3.978215445954447e-08,0.0
1811,2.2563691359778204e-08,0.0
1812,6.668020802180763e-08,0.0
1813,1.322841143291953e-07,0.0
1814,3.4613449884091096e-08,0.0
1815,1.8880564667256294e-08,0.0
1816,6.025770460382773e-08,0.0
1817,8.56280379935015e-08,0.0
1818,6.318224166079744e-08,0.0
1819,3.726378139390363e-08,0.0
1820,4.390598107306687e-08,0.0
1821,6.804427243878308e-08,0.0
1822,3.0076847679083585e-08,0.0
1823,3.656594316225892e-08,0.0
1824,7.410579172528742e-08,0.0
1825,7.748789698780456e-08,0.0
1826,7.310627125889368e-08,0.0
1827,8.479891278057039e-08,0.0
1828,4.494427585655103e-08,0.0
1829,7.801590129474789e-08,0.0
1830,5.740259823028282e-08,0.0
1831,3.585977381703742e-08,0.0
1832,6.629684889958298e-08,0.0
1833,2.20088942626262e-08,0.0
1834,3.9205030333278046e-08,0.0
1835,6.504255622985511e-08,0.0
1836,5.511014933290426e-08,0.0
1837,5.218418053232199e-08,0.0
1838,6.817134590164642e-08,0.0
1839,5.733009800223954e-08,0.0
1840,6.879263736436769e-08,0.0
1841,6.420548714913821e-08,0.0
1842,6.03743828264669e-08,0.0
1843,6.615740488769006e-08,0.0
1844,9.111011678442082e-08,0.0
1845,8.314539456932835e-08,0.0
1846,8.430481557297753e-08,0.0
1847,5.3932236454556914e-08,0.0
1848,4.98803736093123e-08,0.0
1849,8.714591359648693e-08,0.0
1850,6.721106160512136e-08,0.0
1851,6.900899762740664e-08,0.0
1852,5.6641745516117226e-08,0.0
1853,3.2845626662947325e-08,0.0
1854,4.8319680701069956e-08,0.0
1855,4.4578271740647324e-08,0.0
1856,5.332504926514048e-08,0.0
1857,6.59003731584562e-08,0.0
1858,8.270312434888183e-08,0.0
1859,6.212451353349024e-08,0.0
1860,6.545373310018476e-08,0.0
1861,4.5744847909645614e-08,0.0
1862,4.789065499721801e-08,0.0
1863,7.392038980924553e-08,0.0
1864,5.7057263802562375e-08,0.0
1865,7.90749865586804e-08,0.0
1866,3.795178216137174e-08,0.0
1867,5.241036404868282e-08,0.0
1868,5.236266531483125e-08,0.0
1869,6.348574999037737e-08,0.0
1870,4.243196016773254e-08,0.0
1871,3.9298356568906456e-08,0.0
1872,7.438227100919903e-08,0.0
1873,4.3697831131339626e-08,0.0
1874,4.421210775262807e-08,0.0
1875,4.748867610260277e-08,0.0
1876,4.111290152764013e-08,6.04601479992084e-10
1877,5.566334237983028e-08,0.0
1878,4.7104890654736664e-08,0.0
1879,4.3987142817059066e-08,0.0
1880,5.262634061864446e-08,0.0
