year,avaient_VERB apporté_VERB,avaient_VERB rapporté_VERB
1800,2.200915076855381e-07,7.545995117652637e-08
1801,2.2621235018505104e-07,7.143547975374531e-08
1802,1.656001700212073e-07,1.1189200677108602e-08
1803,1.794312112224361e-07,7.411289004721766e-08
1804,3.336998872782715e-07,3.9549615138412264e-08
1805,2.444874951379461e-07,1.1371511021707192e-07
1806,2.5935023018064385e-07,1.729001475325731e-08
1807,3.046241943138739e-07,4.839823830593559e-08
1808,1.8808414381510374e-07,3.172503681980743e-08
1809,2.981920204092603e-07,1.0617443280125372e-07
1810,1.825298880930859e-07,5.3822915901946544e-08
1811,3.2341290534532163e-07,1.278609147448151e-07
1812,3.414026537029713e-07,9.335229123053068e-08
1813,2.8182267897136626e-07,1.5241430162404868e-07
1814,1.7621391634747852e-07,1.2272040805783035e-07
1815,3.614279648900265e-07,8.631115377966125e-08
1816,2.64206846622983e-07,7.416332437060191e-08
1817,3.0981780696492933e-07,6.538868291272593e-08
1818,2.5034472628249205e-07,3.337929754820834e-08
1819,3.9851542510405125e-07,1.552657522552181e-07
1820,5.50604738691618e-07,1.4714436247231788e-07
1821,3.924872373772814e-07,1.1537941446704281e-07
1822,3.1680946221968043e-07,1.73443154949382e-07
1823,4.5559187356047914e-07,1.8678278479455912e-07
1824,4.4968740553485986e-07,1.4484314192486636e-07
1825,6.084561050556658e-07,1.1270967092968931e-07
1826,4.553727990241896e-07,1.64709305749966e-07
1827,4.710026644261234e-07,1.0415518403306123e-07
1828,4.586150623708818e-07,1.3666728193584277e-07
1829,4.92957610731537e-07,1.4917326041086199e-07
1830,5.44802844615333e-07,9.914994336668315e-08
1831,4.5526320491262595e-07,1.4343909526814969e-07
1832,5.249627861303452e-07,1.5559464827674674e-07
1833,5.861315912625287e-07,1.8765477705073863e-07
1834,4.7512762080259563e-07,1.5588666713028942e-07
1835,5.808451533084735e-07,1.8605196316912043e-07
1836,5.396762503551145e-07,1.9893420244443405e-07
1837,5.851586024618882e-07,2.0317041560247162e-07
1838,6.368971412484825e-07,1.5338552827870444e-07
1839,5.942753773524601e-07,1.6849455164447136e-07
1840,7.363360055023804e-07,1.044628916702095e-07
1841,6.31781972515455e-07,1.9582672905471554e-07
1842,5.514193617273122e-07,1.9722298816304829e-07
1843,5.434358172351494e-07,1.4649138790900906e-07
1844,6.443571010095184e-07,2.1130961158633e-07
1845,5.96526376739348e-07,1.7633520599247277e-07
1846,5.064143806521315e-07,1.2118817949158256e-07
1847,5.468728545565682e-07,1.6449331496914965e-07
1848,5.020218623030814e-07,1.407913856610321e-07
1849,5.027649194744299e-07,1.240153437720437e-07
1850,5.974316650281253e-07,1.7515610295504302e-07
1851,5.256292752164882e-07,1.0512584935895575e-07
1852,4.6680611376359593e-07,1.4127883218861825e-07
1853,6.306360091912211e-07,1.4392355751624564e-07
1854,5.024207325732277e-07,1.3820466904235218e-07
1855,5.598818688667961e-07,1.6080019804576295e-07
1856,4.897621010968578e-07,2.0708756665044348e-07
1857,6.145820066194574e-07,1.3082444638712332e-07
1858,6.038796414031822e-07,1.8155537873099092e-07
1859,5.799985274279607e-07,1.6193111207485344e-07
1860,5.661976274495828e-07,1.6386317724936816e-07
1861,4.800851343134127e-07,1.5939957620503264e-07
1862,5.54356915927201e-07,1.626475096827562e-07
1863,5.314276450008038e-07,1.7930689466538752e-07
1864,5.250226990938245e-07,1.778844023192505e-07
1865,6.001226324769959e-07,1.7603598223558947e-07
1866,5.352173957362538e-07,1.9365138825833128e-07
1867,5.275006174088048e-07,1.2423197404132225e-07
1868,5.196747565605619e-07,1.5511204765061848e-07
1869,4.839567395720223e-07,1.5822601540094183e-07
1870,5.103303237774526e-07,1.2729587695048394e-07
1871,5.820405135636975e-07,1.401995461947081e-07
1872,5.484936878019653e-07,1.348556679658941e-07
1873,5.094090056445566e-07,1.460585110635293e-07
1874,4.809560323337791e-07,1.2845409003148234e-07
1875,5.258083319858997e-07,1.3674450372036517e-07
1876,4.945640057485434e-07,1.2031568985548802e-07
1877,4.861265097133582e-07,1.6946395930972358e-07
1878,4.4810036570197553e-07,1.3769121665063722e-07
