year,fallait_VERB appeler_VERB,fallait_VERB rappeler_VERB
1800,2.2009151834367913e-08,3.144164484325529e-09
1801,1.1905912700171939e-08,2.3811825400343878e-08
1802,1.3427040812530322e-08,1.3427040812530322e-08
1803,2.5354410126965377e-08,1.1702034896643454e-08
1804,4.2021465418429216e-08,1.9774807569206132e-08
1805,2.2743021688143017e-08,2.2743021688143017e-08
1806,2.0171682990621775e-08,1.729001475325731e-08
1807,3.9857372513552036e-08,2.562259560079383e-08
1808,1.3596443970698147e-08,5.211970233176544e-08
1809,2.710836710662079e-08,0.0
1810,1.8721014072298203e-08,0.0
1811,3.008491944456182e-08,1.2535384286138651e-08
1812,6.13457871168066e-08,1.0668832928217853e-08
1813,8.052076339026826e-08,2.300593315851529e-08
1814,9.440030979135372e-09,5.349351184236184e-08
1815,2.966945977789237e-08,1.8880564667256294e-08
1816,1.622322720606917e-08,1.1588019432906549e-08
1817,9.341240669868967e-09,1.5568733857662664e-08
1818,4.053200441944682e-08,1.5497530370112145e-08
1819,4.968504185853817e-08,2.6912729822470283e-08
1820,4.50926265216367e-08,4.034603762193001e-08
1821,7.59334568556369e-08,4.536284592404627e-08
1822,6.717162648328667e-08,1.1028177482330648e-08
1823,6.522573414713406e-08,4.15072847204101e-08
1824,9.684279689281539e-08,3.115811608722652e-08
1825,3.258013947515792e-08,2.201360693732113e-08
1826,5.108631029315802e-08,2.6423952803611428e-08
1827,7.005127855563842e-08,4.2399456390285195e-08
1828,4.4027046897099353e-08,3.210305266065916e-08
1829,8.916103411138465e-08,2.1432940755516938e-08
1830,9.080046936560393e-08,2.817945699007396e-08
1831,2.3386808933878456e-08,1.870944643656003e-08
1832,5.276687886635045e-08,1.2176972319366541e-08
1833,5.444305273272221e-08,2.0850531967653296e-08
1834,9.427876079826092e-08,2.8003592333902816e-08
1835,5.142899794918776e-08,3.7059130875150004e-08
1836,3.2259599436201825e-08,1.2769425516978572e-08
1837,4.731365876864402e-08,3.75726116885744e-08
1838,7.890202624594167e-08,2.0830134062066463e-08
1839,6.082583325905944e-08,5.942753844578874e-08
1840,4.522479102320176e-08,4.0766007458614695e-08
1841,4.1091510638580075e-08,4.8154113585496816e-08
1842,9.794067068469303e-08,5.9032732480091e-08
1843,7.029224491361674e-08,3.485077471054865e-08
1844,7.738871232731981e-08,4.39084892889241e-08
1845,6.807878349945895e-08,5.747634901354104e-08
1846,5.327596142024049e-08,2.6345256642912318e-08
1847,5.770749211819748e-08,4.6921044827286096e-08
1848,6.597081636527946e-08,2.252662056889676e-08
1849,9.46873868201692e-08,5.1952373070207614e-08
1850,8.825694663983086e-08,2.3761487000228954e-08
1851,7.029888138276874e-08,5.288539739467524e-08
1852,7.422021752745422e-08,3.7761164861649377e-08
1853,4.777545470346922e-08,1.851298847554972e-08
1854,6.442623856628416e-08,4.000661490977109e-08
1855,5.253867740862006e-08,1.8043586180738203e-08
1856,6.62680221807932e-08,1.2425253714809514e-08
