year,voulut_VERB aller_VERB
1800,2.483890000348765e-07
1801,3.405091035801888e-07
1802,4.5875722776145267e-07
1803,3.1400460898112215e-07
1804,3.5594652558756934e-07
1805,4.747605828470114e-07
1806,3.9478865687669895e-07
1807,4.7259453594961087e-07
1808,2.7646103717415826e-07
1809,3.230413767596474e-07
1810,4.1420244656364957e-07
1811,4.1868182165671897e-07
1812,4.1341726841892523e-07
1813,3.0482860324809735e-07
1814,4.6570821155000885e-07
1815,3.9649185623602534e-07
1816,4.890144396085816e-07
1817,3.8921834288885293e-07
1818,4.4704415813612286e-07
1819,6.728182597726118e-07
1820,6.668962555522739e-07
1821,4.6644839812870487e-07
1822,6.37629170796572e-07
1823,7.421897976200853e-07
1824,7.957951311254874e-07
1825,7.616708330715483e-07
1826,5.760421686318296e-07
1827,3.96342727526644e-07
1828,4.5402890691548237e-07
1829,5.804039915346948e-07
1830,3.1101771469366213e-07
1831,2.697278773666767e-07
1832,3.842511375751201e-07
1833,3.394003158518899e-07
1834,3.8458267681562575e-07
1835,4.689114518896531e-07
1836,6.445199574045546e-07
1837,4.689618435804732e-07
1838,8.117440302157775e-07
1839,4.097004477898736e-07
1840,4.5989150976311066e-07
1841,4.0192634287450346e-07
1842,4.33353932294267e-07
1843,4.128930868319003e-07
1844,4.242657780650916e-07
1845,3.2811740879878926e-07
1846,3.143867104427045e-07
1847,3.6619988463826303e-07
1848,3.121546114925877e-07
1849,2.5724804686433345e-07
1850,3.408075883726269e-07
1851,4.334022776220081e-07
1852,3.1901672059575503e-07
1853,3.851895939988026e-07
1854,4.6553154220418946e-07
1855,4.972600322616927e-07
1856,3.9709041743662965e-07
1857,5.272029852676496e-07
1858,4.707716243501636e-07
1859,3.8751440456508135e-07
1860,3.739559133464354e-07
1861,3.178559495609079e-07
1862,3.858360173580877e-07
1863,3.1566003144689603e-07
1864,3.759066657949006e-07
1865,3.544253672771447e-07
1866,3.7465218838406145e-07
1867,3.401820833914826e-07
1868,3.615987793637032e-07
1869,3.765193241633824e-07
1870,3.5895146766051766e-07
1871,1.8268424639700243e-07
1872,3.011574847278098e-07
1873,3.1306802839026204e-07
1874,3.3816289146670897e-07
1875,2.8836495857831324e-07
1876,2.5090960775742133e-07
1877,2.863569932287646e-07
1878,3.5449451729618886e-07
1879,3.8672030200359586e-07
1880,3.0035519671400834e-07
1881,2.9354256980695936e-07
1882,2.8485047209869663e-07
1883,2.8752992875524797e-07
1884,2.8321281320131675e-07
1885,2.784514663289883e-07
1886,2.6588270429783734e-07
1887,2.402644270205201e-07
1888,2.2065339067012246e-07
1889,2.5499107891846506e-07
1890,2.1498387070550962e-07
1891,2.3010935024103674e-07
1892,2.313081068905376e-07
1893,2.3586734698710643e-07
1894,2.0164925729204697e-07
1895,2.2268874033670727e-07
1896,2.464958015480079e-07
1897,1.80628120460824e-07
1898,1.8615988039982767e-07
1899,2.0783694765214022e-07
1900,2.169860238154797e-07
1901,1.833106324511391e-07
1902,1.3994308289966284e-07
1903,1.7712721955831512e-07
1904,1.7360039805680572e-07
1905,1.60499610046827e-07
1906,1.8004645596647606e-07
1907,2.0879943463114614e-07
1908,1.6944292724474508e-07
1909,1.7108058614212496e-07
1910,2.0200889139232459e-07
1911,2.4367312789763673e-07
1912,1.6826430737637565e-07
1913,1.5219580973280245e-07
1914,1.7545468722346413e-07
1915,1.4961567273985565e-07
1916,1.1426960355720439e-07
1917,1.4914337498339592e-07
1918,1.1141784739265859e-07
1919,1.3075144522645132e-07
1920,1.6053131446369662e-07
1921,1.5145495524393482e-07
1922,1.8813734925515746e-07
1923,1.8471749285708938e-07
1924,1.2633792323413218e-07
1925,2.3536101423360378e-07
1926,1.7610898339626146e-07
1927,2.5643217327342427e-07
1928,1.8967227788380114e-07
1929,1.793605406419374e-07
1930,1.628058612368477e-07
1931,1.4712910001435375e-07
1932,1.6877686448424356e-07
1933,1.5255980656547763e-07
1934,1.0783422510485252e-07
1935,1.531940370114171e-07
1936,1.2245961045209697e-07
1937,1.4227963163193635e-07
1938,1.0890779833516717e-07
1939,1.0552894735837981e-07
1940,1.4200384157447843e-07
1941,1.2396310467011062e-07
1942,1.3047110769548453e-07
1943,1.82903818313207e-07
1944,1.5423293575622665e-07
1945,1.5467378489120165e-07
1946,1.0997672461598995e-07
1947,1.4781879542624665e-07
1948,1.3372421392432443e-07
1949,1.2074920618942997e-07
1950,1.499585948749882e-07
1951,1.3539980159293918e-07
1952,1.370824520563474e-07
1953,1.1204780747675613e-07
1954,1.192249357018227e-07
1955,1.2107433633445908e-07
1956,1.0814215301024888e-07
1957,9.01173820011536e-08
1958,1.0753916512840078e-07
1959,1.0541017303467015e-07
1960,1.259591613234079e-07
1961,1.2020315409699833e-07
1962,1.236681441696419e-07
1963,1.2802784965515457e-07
1964,1.2715493369341857e-07
1965,1.2366818680220604e-07
1966,1.5897144578502775e-07
1967,1.3804940124373388e-07
1968,1.4237788548143726e-07
1969,1.430653639999946e-07
1970,1.1726748994078662e-07
1971,1.212661828731143e-07
1972,1.441571271243447e-07
1973,8.490334124644505e-08
1974,6.919453454656832e-08
1975,9.138368284311582e-08
1976,9.313048821013581e-08
1977,6.758298809472763e-08
1978,1.1702964997084564e-07
1979,8.95351917051812e-08
1980,8.982537735846563e-08
1981,8.159958753140018e-08
1982,8.81465354041211e-08
1983,5.810090897284681e-08
1984,7.480721109232036e-08
1985,8.181159216746892e-08
1986,6.593933932208529e-08
1987,7.638521282160582e-08
1988,7.735554419241453e-08
1989,7.408964819433095e-08
1990,6.048002632041971e-08
1991,6.564840759892832e-08
1992,7.934319512514776e-08
1993,8.031850740053414e-08
1994,7.437646587504787e-08
1995,8.947043994567139e-08
1996,5.071187558769452e-08
1997,6.856699030777236e-08
1998,6.103205407725909e-08
1999,8.683382191065903e-08
2000,7.245571964631381e-08
2001,7.667120627274926e-08
2002,6.747080760760582e-08
2003,7.958822578757463e-08
2004,8.325055489422084e-08
2005,8.557124431263219e-08
2006,7.247486166761519e-08
2007,7.030283910580692e-08
2008,8.855474220581527e-08
2009,8.010563590232778e-08
2010,9.069682960216596e-08
2011,1.0133526018307748e-07
2012,1.2153182638030557e-07
2013,1.617692504396473e-07
2014,1.7843268551587244e-07
2015,2.1412118655916856e-07
2016,2.118980830800865e-07
2017,1.0993221621902194e-07
2018,1.5308097545130295e-07
2019,2.0025254343636334e-07
