year,peut_VERB acheter_VERB,peut_VERB racheter_VERB
1800,6.288328791015374e-07,1.1004575384276905e-07
1801,4.1194459754478885e-07,8.334139067756041e-08
1802,7.899575393821578e-07,8.056224487518193e-08
1803,3.9786920069673215e-07,7.996391104825307e-08
1804,7.291960173461121e-07,6.426812149129546e-08
1805,3.9231713344634045e-07,5.1171799242411e-08
1806,4.236053712247667e-07,5.187004603612877e-08
1807,4.412780469920108e-07,2.1067468480850948e-07
1808,3.5124148212162254e-07,1.450287356874469e-07
1809,3.5014971899727243e-07,9.03612189517844e-08
1810,2.92515835553786e-07,1.2168659679900884e-07
1811,2.8831382792304794e-07,1.0279014617253779e-07
1812,2.507175622668001e-07,8.001624962616916e-08
1813,2.904499183387088e-07,4.601186631703058e-08
1814,2.643208745212178e-07,6.922689976818219e-08
1815,3.2366682489737286e-07,2.1577788444915313e-08
1816,3.082413115862437e-07,3.9399267848239106e-08
1817,3.42512151974006e-07,6.07180652423267e-08
1818,2.741870730460505e-07,2.98029441125891e-08
1819,4.792536287823168e-07,6.83169290027763e-08
1820,4.070203090122959e-07,8.781196214613374e-08
1821,3.806534607520007e-07,7.297501269931672e-08
1822,4.972705482941819e-07,8.521773509073682e-08
1823,3.9728402612126956e-07,4.842516432290722e-08
1824,1.810539203006556e-07,7.663212642228245e-08
1825,2.6064111580126337e-07,8.365170600654892e-08
1826,3.2413382200502383e-07,6.077509340229881e-08
1827,4.6547228294002707e-07,8.479891278057039e-08
1828,4.1550524088052043e-07,5.1364885678140126e-08
1829,3.6950387993783806e-07,4.4580517055692326e-08
1830,2.5674614789750194e-07,8.453837097022188e-08
1831,3.695115822210937e-07,7.327867024287116e-08
1832,4.51900973530428e-07,6.629684889958298e-08
1833,5.432721650322492e-07,8.340212787061319e-08
1834,3.7991540580151195e-07,3.9205030333278046e-08
1835,3.3958264111788594e-07,5.8235777089521434e-08
1836,3.0848244136905123e-07,9.274634749090183e-08
1837,3.527650562773488e-07,7.166627824517491e-08
1838,2.1461350740992202e-07,7.006499913586595e-08
1839,3.299976185644482e-07,7.900366938429215e-08
1840,4.051121891279763e-07,7.96211097053856e-08
1841,3.833067410141666e-07,7.897274656443187e-08
1842,3.052260524327721e-07,5.2995293486901573e-08
1843,5.203988848734298e-07,6.852016554148577e-08
1844,3.013220180037024e-07,1.0153838303494922e-07
1845,3.286754122200364e-07,9.932805511425613e-08
1846,7.405944302263379e-07,6.030136034951283e-08
1847,6.299285360000795e-07,7.981971350545791e-08
1848,6.251137278923125e-07,7.482056219032529e-08
1849,4.3991929032927146e-07,9.049767868418712e-08
1850,2.579818385584076e-07,1.0862393651223101e-07
1851,2.844202526830486e-07,5.997978291816253e-08
1852,4.407639266901242e-07,8.919447225252952e-08
1853,2.645565757575241e-07,6.151089593231518e-08
1854,2.9719200256295153e-07,7.58567040293201e-08
1855,2.58978531064713e-07,1.0454665755332826e-07
1856,3.2202117949964304e-07,6.833889898416601e-08
1857,3.036298608094512e-07,7.029372994793448e-08
1858,2.980248723361001e-07,1.0815023898658183e-07
1859,3.376110839781177e-07,6.823512421760825e-08
1860,2.6501894012653793e-07,7.918528410755243e-08
1861,3.1266839073396113e-07,9.950683477200073e-08
1862,2.182187301968952e-07,5.3312238179614724e-08
1863,2.7470414920571784e-07,7.491931341974123e-08
1864,2.1288592222390434e-07,7.671565072087105e-08
1865,2.8335202273410687e-07,7.76629320853317e-08
1866,2.6371623107479536e-07,4.9142691693759843e-08
1867,2.887422851927113e-07,7.76449837758264e-08
1868,2.618133123633015e-07,5.8290513749170714e-08
1869,1.997359362349016e-07,8.301982745706482e-08
1870,2.2649493303106283e-07,1.0091925872757201e-07
1871,3.9723204281472135e-07,7.647247457498452e-08
1872,3.4530307857494336e-07,6.71254696271717e-08
1873,2.7595481810749334e-07,8.55998649740286e-08
1874,2.7961169735135627e-07,6.333085877940903e-08
1875,2.9809157808813325e-07,6.808617314391086e-08
1876,2.2672556099223584e-07,4.776351758550845e-08
1877,2.6780253392644227e-07,5.6281827198745304e-08
1878,3.073896266414522e-07,9.36058768274961e-08
