year,sont_VERB à_ADP,sont_VERB a_ADP,sont_VERB ras_ADJ
1800,3.650689541245811e-05,1.7921737427428752e-07,2.2009151834367913e-08
1801,3.497481156955473e-05,2.952666449118624e-07,2.8574191901498125e-08
1802,3.557046875357628e-05,1.991677720525331e-07,2.2378401354217203e-08
1803,3.8844907976454124e-05,2.6914681683365416e-07,6.046051481689574e-08
1804,3.48036628565751e-05,2.2493843143678305e-07,2.7190360185613827e-08
1805,3.604768789955415e-05,2.587018670396901e-07,5.1171799242411e-08
1806,3.3101732697105035e-05,2.161251897447869e-07,2.881669125542885e-09
1807,3.061330789932981e-05,2.3345032218458073e-07,3.131650672116848e-08
1808,3.500631282804534e-05,2.402038470350476e-07,1.1330369531492579e-08
1809,3.301121250842698e-05,2.8915590122302604e-07,3.840352036377226e-08
1810,2.8884183848276734e-05,1.9657064953548797e-07,1.4040760554223652e-08
1811,2.7224346922594123e-05,2.4820059252306237e-07,1.504245972228091e-08
1812,2.8104373996029608e-05,1.920389944842782e-07,2.400487453257938e-08
1813,2.8018350349157117e-05,1.7254449602432942e-07,1.7254450312975678e-08
1814,2.690409019123763e-05,2.2341407479586906e-07,2.2026739543434815e-08
1815,2.690750261535868e-05,1.6453063977905913e-07,8.091670444798638e-09
1816,2.9848421036149375e-05,2.3639560708943463e-07,6.952811659743929e-09
1817,3.0710885766893625e-05,2.5065662401235755e-07,8.095742032310227e-08
1818,2.8492806450231e-05,2.145811848208723e-07,2.8610825708597076e-08
1819,2.7401300030760467e-05,3.5504102813277427e-07,1.0351049795076506e-08
1820,2.6777901439345442e-05,1.946102861083432e-07,9.493184904840746e-09
1821,2.9078570150886662e-05,2.54426405277286e-07,1.3806083387635226e-08
1822,2.880960892071016e-05,1.9750463309264887e-07,7.017931125119503e-09
1823,2.4758106519584544e-05,2.8165656296152974e-07,4.941343334508019e-09
1824,2.5100811399170198e-05,1.7347492065056258e-07,4.210556348027694e-09
1825,2.7944954126724042e-05,2.1133062944045378e-07,7.924898959288385e-09
1826,2.748267252172809e-05,1.6206691766385006e-07,2.4662355713189754e-08
1827,2.876342296076473e-05,1.5300673500417972e-07,1.5669364195058932e-08
1828,2.8940445190528408e-05,1.8436325355253302e-07,1.6510141975789594e-08
1829,2.8345491955406033e-05,1.7146351760644052e-07,5.143905579263475e-09
1830,2.824416515068151e-05,2.0351830176679186e-07,2.713577385016208e-08
1831,3.052290412597358e-05,2.790825877063696e-07,1.2472964883158966e-08
1832,2.7469895940157585e-05,2.0159654767759605e-07,6.764984683549358e-09
1833,2.9421258659567684e-05,1.7722952172505302e-07,3.127579728534613e-08
1834,2.9274955522851087e-05,2.632337752217495e-07,1.7735608537350345e-08
1835,2.922150270023849e-05,2.5563236505377063e-07,1.5882484660778573e-08
1836,2.804300129355397e-05,2.4261907416445183e-07,1.9490175862113546e-08
1837,2.8267822926864028e-05,2.4352618810397075e-07,2.0873672568200163e-08
1838,2.70267828454962e-05,2.505928269336266e-07,1.3886756633496589e-08
1839,2.786102777463384e-05,2.111425452255844e-07,6.9914751765765e-10
1840,2.746163954725489e-05,2.802662894541008e-07,2.1019973317493168e-08
1841,2.7813173801405355e-05,2.696630416743062e-07,8.988767952189392e-09
1842,2.677335578482598e-05,2.5223076782765474e-07,1.408735705865638e-08
1843,2.713812136789784e-05,2.563599474925127e-07,8.860366662588604e-09
1844,2.6120063921553083e-05,2.590600929330833e-07,6.037417232818143e-09
1845,2.545309325796552e-05,2.801274421315725e-07,1.6740683839167048e-09
1846,2.751966894720681e-05,2.7164885807451356e-07,7.025401593807601e-09
1847,2.66241877397988e-05,3.9801989704102425e-07,8.089835468183537e-09
1848,2.768199919955805e-05,3.3709477875731864e-07,9.654266219794039e-09
1849,2.676804069778882e-05,3.93832497280755e-07,7.54147322368226e-09
1850,2.594414763734676e-05,3.0618371127388855e-07,8.146795238417326e-09
1851,2.4925146135501564e-05,3.10218000620921e-07,6.449438760824933e-09
1852,2.5815614208113402e-05,3.391994087831307e-07,1.0416872919805087e-08
1853,2.6564945073914714e-05,3.284562475336372e-07,8.360704129017904e-09
