year,faut_VERB emporter_VERB,faut_VERB remporter_VERB
1800,2.5153315874604232e-08,3.144164484325529e-09
1801,4.286128785224719e-08,2.6193008650921e-08
1802,3.3567602031325805e-08,1.1189200677108602e-08
1803,3.90067853572873e-08,2.9255089017965474e-08
1804,1.9774807569206132e-08,9.887403784603066e-09
1805,2.842877755426798e-08,0.0
1806,1.4408345627714425e-08,0.0
1807,3.701041606518629e-08,8.540865792383556e-09
1808,1.3596443970698147e-08,0.0
1809,6.09938268780752e-08,0.0
1810,3.510190182964834e-08,0.0
1811,2.5070767684098882e-09,2.5070767684098882e-09
1812,6.934741492159446e-08,5.3344164641089264e-09
1813,7.476928232108548e-08,8.627225156487839e-09
1814,1.6992056828257773e-07,0.0
1815,3.236668177919455e-08,0.0
1816,5.3304887615013286e-08,2.0858434979231788e-08
1817,4.0478710161551135e-08,3.113746815941454e-09
1818,8.583247534943439e-08,8.344824387052086e-09
1819,4.6579724966022695e-08,2.070210003424222e-09
1820,5.458581142647745e-08,0.0
1821,5.226588939422072e-08,1.1833785507064931e-08
1822,3.107940926838637e-08,8.02049271442229e-09
1823,4.0519015698237126e-08,1.9765373782121287e-09
1824,5.894779064874456e-08,3.3684450784221553e-09
1825,3.0819052199149155e-08,5.283265824829186e-09
1826,4.051672775062798e-08,7.927186018719112e-09
1827,2.8573547083965423e-08,1.474763688946723e-08
1828,5.961995697134626e-08,2.7516904310687096e-09
1829,4.2865881511033876e-08,8.573175946935407e-09
1830,2.0873670791843324e-08,5.218417697960831e-09
1831,3.4300654760954785e-08,9.354723218280014e-09
1832,2.976593194148336e-08,6.764984572527055e-09
1833,4.054269808762001e-08,3.4750886612755494e-09
1834,4.0138484536100805e-08,4.667265685043276e-09
1835,4.4622218808854086e-08,9.832014313815307e-09
1836,3.629205025390547e-08,8.736974699274924e-09
1837,5.148839221646995e-08,5.5663127440652715e-09
1838,5.491580878924651e-08,8.2058102535143e-09
1839,3.425822825420255e-08,1.11863602825224e-08
1840,2.993753511759678e-08,5.732719632334238e-09
1841,3.0818632978935057e-08,9.630822361827995e-09
1842,3.4212153110502186e-08,3.3541325272778977e-09
1843,2.5990408047960045e-08,6.497602011990011e-09
1844,3.3480223038395707e-08,9.879410178825765e-09
1845,1.3950569588416784e-08,6.138250796539069e-09
1846,4.2152407786488766e-08,6.439951683034906e-09
1847,2.3190860787281053e-08,7.011190739092399e-09
1848,2.011305433313737e-08,3.378993085334514e-08
1849,3.9383248662261394e-08,6.703531951757213e-09
1850,3.1229383523623255e-08,9.504594444820214e-09
1851,2.644269869733762e-08,1.2898877521649865e-09
1852,2.539112742283578e-08,3.906327261660181e-09
1853,1.4332636411040767e-08,1.1943863675867306e-09
1854,3.688921879074769e-08,5.7152309551611324e-09
1855,4.0332722051061864e-08,3.1841622671890946e-09
1856,2.5885945831305435e-08,3.6240324075009767e-09
1857,3.221796163188628e-08,2.4407544874094356e-09
1858,1.6149130033227266e-08,5.3830437884982985e-09
1859,2.5460867192350634e-08,1.018434669930457e-09
1860,3.295572525985335e-08,7.323494255473406e-09
1861,5.234719679947375e-08,5.187560159214399e-09
1862,4.608346060308577e-08,7.228778020618165e-09
1863,3.296449690992631e-08,1.1987090431375691e-08
1864,2.4932585773740357e-08,6.712618905169165e-09
1865,3.247722446531043e-08,4.23615986733239e-09
1866,3.2113046444237625e-08,2.919367858567057e-09
1867,5.338092634588065e-08,2.426405742994575e-09
1868,3.112120694481746e-08,9.385760613156435e-09
1869,3.076617005604021e-08,3.906815315701806e-09
1870,3.956493799250893e-08,1.204150201772336e-08
1871,4.6733180880664804e-08,3.18635318130589e-09
1872,4.354084381930079e-08,1.0885210954825197e-08
1873,2.7535620006347017e-08,2.3944017879529156e-09
1874,3.525019565131515e-08,5.974609140757536e-10
1875,2.8607635371713513e-08,1.3731664694205392e-08
1876,3.264847947548333e-08,1.813804439976252e-09
1877,3.401648740464225e-08,3.0924081073635534e-09
1878,2.4760263173106978e-08,6.6429977074733415e-09
1879,3.604501941367744e-08,3.0546627449723474e-09
1880,1.6686399817444908e-08,2.5671385017744797e-09
1881,4.671580100534811e-08,4.8807553554297556e-09
1882,3.1945848633085916e-08,1.3310770263785798e-09
1883,3.4756364897248204e-08,1.8958017378167824e-09
1884,4.5551708183211304e-08,1.9805090900604227e-09
1885,4.3185760745245716e-08,7.7347630522695e-09
1886,1.8069698626277386e-08,3.2267319927115068e-09
1887,3.590908548289917e-08,9.140494583448344e-09
1888,3.4239320712003973e-08,8.242799331981132e-09
1889,3.633779144252003e-08,5.6386229019267375e-09
1890,3.080561583601593e-08,5.243509182406569e-09
1891,3.4420789774003424e-08,3.824531802365527e-09
1892,4.0745330665004076e-08,6.268512375839919e-10
1893,3.1407925149551374e-08,1.847525021858587e-09
1894,3.465846631911518e-08,2.520615716150587e-09
1895,4.032471778714353e-08,2.4074457982692365e-09
1896,4.2458609073037223e-08,1.7691086373616827e-09
1897,2.855089675790623e-08,5.826713556089658e-10
1898,2.772593887812036e-08,5.6583546736987955e-09
1899,3.0954439012020885e-08,2.2110313580014918e-09
1900,4.2047531678690575e-08,5.710158568206225e-09
1901,2.8502569193733507e-08,4.470991132876634e-09
1902,3.633610035080892e-08,1.4730852093691738e-09
1903,3.9961630449170116e-08,1.6200660812870638e-09
1904,4.407192477628996e-08,4.837162670412454e-09
1905,3.251278357652154e-08,3.6125313851442797e-09
1906,3.600929332492342e-08,7.716276506641861e-09
1907,3.3428481316377656e-08,1.028568674676933e-09
1908,4.322022562064376e-08,2.4556945366072114e-09
1909,2.2003934674330594e-08,2.7504918342913243e-09
1910,3.099607326362275e-08,2.67207544979442e-09
1911,1.9153347352585115e-08,1.0640748282497725e-09
1912,2.8651816919023076e-08,5.209421227725386e-10
1913,2.969674284258872e-08,5.833288518886093e-09
1914,5.089525245693949e-08,7.366418142140674e-09
1915,3.7698438148936475e-08,2.3561523843085297e-09
1916,3.076489463182952e-08,2.197492321442951e-08
1917,1.5352993543160665e-08,1.6449636319748606e-08
1918,2.2972752589112133e-08,1.1486376294556067e-08
1919,2.301962176431971e-08,1.3811772170413406e-08
1920,4.164727585020955e-08,6.057785384427916e-09
1921,1.1359120755116692e-08,7.572747429129834e-10
1922,3.024953443286904e-08,7.377935484775833e-10
1923,2.0170300985000722e-08,1.0615948120573648e-09
1924,3.351822286390416e-08,6.445812328337297e-09
1925,1.6497267552040284e-08,5.499089184013428e-09
1926,2.5636119005412183e-08,3.343841648018042e-09
1927,3.1217830098739796e-08,3.3447675740205796e-09
1928,3.085031252680892e-08,6.8556245125250825e-09
1929,3.8991423423340166e-08,4.4561625500705304e-09
1930,1.995684684175103e-08,6.302162347537887e-09
1931,2.0529641986399838e-08,2.2810713318222042e-09
1932,3.06867029564728e-08,0.0
1933,2.2941325283909464e-08,5.735331320977366e-09
1934,1.9170528275935794e-08,2.3963160344919743e-09
1935,2.2739740757060645e-08,0.0
1936,2.3036957230715416e-08,4.849885826274658e-09
