year,pourrait_VERB approcher_VERB,pourrait_VERB rapprocher_VERB
1800,0.0,2.829747991484055e-08
1801,5.714838380299625e-08,0.0
1802,1.1189200677108602e-08,8.951360541686881e-09
1803,3.510610468993036e-08,1.950339267864365e-08
1804,0.0,1.4831105232815389e-08
1805,2.55858996212055e-08,1.7057265822018053e-08
1806,4.034336598124355e-08,2.881669125542885e-08
1807,1.4234775136401367e-08,2.8469551160981155e-09
1808,2.2660739062985158e-08,9.064295980465431e-09
1809,0.0,6.7770917766551975e-09
1810,0.0,4.680253518074551e-09
1811,1.7549536934780008e-08,1.504245972228091e-08
1812,5.3344164641089264e-09,4.5342538612658245e-08
1813,2.5881675469463516e-08,4.888760685162197e-08
1814,3.1466771410748606e-09,1.5733386149463513e-08
1815,1.6183340889597275e-08,1.8880564667256294e-08
1816,9.270415546325239e-09,2.5493642752394408e-08
1817,1.71256075987003e-08,1.0898113522728181e-08
1818,7.152706427149269e-09,2.5034472272977837e-08
1819,2.070209959015301e-08,1.0351049795076506e-08
1820,1.0679833017945839e-08,7.119888678630559e-09
1821,1.2819934447350079e-08,1.4792232327920374e-08
1822,3.60922172149003e-08,2.8071724500478012e-08
1823,1.7788837070042973e-08,1.087095569118901e-08
1824,1.2631669044083083e-08,1.431589158329416e-08
1825,2.6416328680056722e-08,3.522177394188475e-08
1826,3.082794464148719e-08,2.9947145208097936e-08
1827,2.1199728195142598e-08,1.6591091167583727e-08
1828,5.503380862137419e-09,2.109629271274116e-08
1829,1.457439946506156e-08,2.6576845613135447e-08
1830,1.0436835395921662e-08,2.400472176589119e-08
1831,1.7150327380477393e-08,2.182768810143898e-08
1832,0.0,2.1647950987357945e-08
1833,4.6334514003376626e-09,2.6642345218874652e-08
1834,2.8003592777992026e-09,3.080395316601425e-08
1835,1.9664028627630614e-08,3.554651328840919e-08
1836,3.8308275662757296e-08,4.435695188931277e-08
1837,1.7394727436226276e-08,3.826840000442644e-08
1838,1.4517972601879592e-08,2.651107955387033e-08
1839,1.4682098203877558e-08,2.4470162784950844e-08
1840,6.3696887764308485e-09,2.8026629905752998e-08
1841,1.219904177673925e-08,3.9165346521485844e-08
1842,2.3478927246856074e-08,8.720745015011744e-09
1843,4.784597962270709e-08,4.134837894298471e-08
1844,2.6345094994439933e-08,3.1284798751585186e-08
1845,1.897277535078956e-08,5.6918324276011845e-08
1846,1.5221703009160592e-08,1.9319854160926297e-08
1847,7.011190739092399e-09,2.3190860787281053e-08
1848,1.206783295515379e-08,4.98803736093123e-08
1849,1.508294644736452e-08,6.703531596485846e-08
1850,2.647708541303473e-08,2.0366988096043315e-08
1851,8.384270167027807e-09,2.644269869733762e-08
1852,9.765818376195057e-09,3.2552726736412296e-08
1853,5.971931837933653e-09,1.3735443005202796e-08
1854,7.27393034694046e-09,2.182179059673217e-08
1855,1.1144567935161831e-08,4.0332722051061864e-08
1856,1.5531567143511893e-08,2.5368226630462232e-08
1857,6.345961978126979e-09,6.248331629876702e-08
1858,1.3702292633865909e-08,4.893675864536817e-08
1859,1.476730293603623e-08,2.9025388315062628e-08
1860,2.1055045706930287e-08,4.531412045594152e-08
1861,8.488735048217677e-09,2.0750240636857598e-08
1862,5.421583626485926e-09,4.743885639868495e-08
1863,2.2475793670651e-08,3.346395871517416e-08
1864,6.233146443435089e-09,4.746780746245349e-08
1865,6.118897832863013e-09,5.45993934508715e-08
1866,1.4110277390955162e-08,6.082016312802807e-08
1867,3.88224918879132e-09,8.152723296461772e-08
1868,1.7289560005906424e-08,6.273639741039005e-08
1869,8.30198221279943e-09,4.248661511496721e-08
1870,4.587239033071455e-09,6.938198993111655e-08
1871,2.7615060460561835e-08,7.753459385639871e-08
1872,1.8142017887967654e-09,6.833493415570047e-08
1873,7.781805422268917e-09,6.524744833313889e-08
1874,6.572069999322139e-09,5.675878611555163e-08
1875,1.3731664694205392e-08,7.78127713374488e-08
1876,2.539326260375674e-08,1.2454790976335062e-07
1877,7.421779191219002e-09,6.741449709579683e-08
1878,4.22736201599605e-09,4.3481438893877566e-08
1879,2.6270098985037293e-08,7.758843167948726e-08
1880,3.2089231272180996e-09,6.610381575455904e-08
1881,9.761510710859511e-09,6.902782700990429e-08
1882,1.4641846846075168e-08,7.254369904785563e-08
1883,2.5277355764075082e-09,8.02556030521373e-08
1884,5.941527270181268e-09,9.440426396167823e-08
1885,1.0957580620640783e-08,5.220964993668531e-08
1886,7.744156427236248e-09,5.743582676132064e-08
1887,2.6115698492645834e-09,5.810742820244741e-08
1888,6.340614699951175e-09,1.014498351992188e-07
1889,3.759081934617825e-09,1.014952175637518e-07
1890,3.2771931834929546e-09,9.110597432027134e-08
1891,8.92390783491237e-09,6.437961985739094e-08
1892,7.522214851007902e-09,7.396844381446499e-08
1893,6.774258043407144e-09,1.1023565349432829e-07
1894,1.827446460822557e-08,6.679631781025819e-08
1895,9.629783193076946e-09,9.328852712542357e-08
1896,8.845543852942228e-09,8.845543675306544e-08
1897,8.157399200570126e-09,8.623536018603772e-08
1898,6.224190496340043e-09,9.506036491302439e-08
1899,1.0502398950507086e-08,1.2050121256379498e-07
1900,4.15284251431558e-09,7.994221817853031e-08
1901,6.706486921359556e-09,9.10964459421848e-08
1902,5.892340837476695e-09,7.512734612191707e-08
1903,7.020286574288548e-09,7.992326089834023e-08
1904,9.13686282189019e-09,1.1232966556917745e-07
1905,3.096455536422127e-09,8.153999431215198e-08
1906,4.629765903985117e-09,9.773950893077199e-08
1907,8.742834012309686e-09,9.977116377513084e-08
1908,6.875944702500192e-09,9.036956072350222e-08
1909,5.5009836685826485e-09,1.3147351296538545e-07
1910,1.1222716089775986e-08,8.176550636562752e-08
1911,1.1704822888702893e-08,9.097839637206562e-08
1912,5.730363294986773e-09,8.856016364688912e-08
1913,6.893886794756554e-09,9.492351438211699e-08
1914,8.036092680185902e-09,1.151839938984267e-07
1915,1.0602685840410686e-08,1.0720493293092659e-07
1916,5.493730803607377e-09,1.032821401736328e-07
1917,5.483212106582869e-09,1.0747096013119517e-07
1918,2.067547733020092e-08,9.189101035644853e-08
1919,7.366278698128781e-09,8.379142002468143e-08
1920,1.0601124422748853e-08,1.2948515859534382e-07
1921,1.438822039290244e-08,7.875657104250422e-08
1922,1.1066902949607993e-08,8.92730227519678e-08
1923,1.1677542488541803e-08,9.978991499792755e-08
1924,9.02413699321869e-09,1.1344629768927916e-07
1925,5.499089184013428e-09,8.35861513337477e-08
1926,2.229227691330493e-09,1.2929520210036571e-07
1927,6.689535148041159e-09,8.361918446553318e-08
1928,1.2568645679778001e-08,9.02657291135256e-08
1929,4.4561625500705304e-09,1.0583386256257654e-07
1930,4.201441416995522e-09,1.3129503884101723e-07
1931,3.4216069977333063e-09,1.0150767337790967e-07
1932,2.1919073223131136e-09,1.249387224788734e-07
1933,5.735331320977366e-09,1.1241248643045765e-07
1934,8.38710612072191e-09,8.626737724171107e-08
1935,7.180970484910176e-09,1.3284795841173036e-07
1936,7.274828739411987e-09,1.4064669073832192e-07
1937,5.0364472592434595e-09,1.2842940577684203e-07
1938,1.0372171566075394e-08,1.0890779833516717e-07
1939,1.5294050470515685e-09,8.258787431714154e-08
1940,5.0715658339584024e-09,1.141102288215734e-07
1941,0.0,9.149658097840074e-08
1942,0.0,1.061974117533282e-07
1943,2.9032352077962287e-09,8.709705667797607e-08
1944,0.0,9.960876923287287e-08
1945,1.089252066321933e-08,9.585417615198821e-08
1946,1.3921104269343232e-08,1.0301616981678308e-07
1947,7.152522574216391e-09,1.0728783905733508e-07
1948,3.2615663503321457e-09,1.30462652236929e-07
1949,2.0615717133409817e-08,1.1780409892026e-07
1950,4.2541445921528975e-09,1.1592543813776501e-07
