year,eût_VERB accompagné_VERB
1800,0.0
1801,4.7623651688866175e-09
1802,3.8043282302169246e-08
1803,5.851017448321727e-09
1804,3.213406074564773e-08
1805,0.0
1806,1.4408345627714425e-08
1807,1.1387820464392462e-08
1808,1.5862518409903714e-08
1809,9.036122072814123e-09
1810,7.020380277111826e-09
1811,0.0
1812,0.0
1813,2.5881675469463516e-08
1814,2.2026739543434815e-08
1815,0.0
1816,4.6352077731626196e-09
1817,2.0239355080775567e-08
1818,1.1921176934492905e-08
1819,2.3807414706311647e-08
1820,3.5599443393152796e-09
1821,3.94459531705138e-09
1822,1.303330066093622e-08
1823,1.581229902569703e-08
1824,1.6842225392110777e-08
1825,3.874394849390228e-08
1826,1.76159691278599e-08
1827,2.2121454890111636e-08
1828,1.559291185060374e-08
1829,6.858540846366168e-09
1830,1.878630406793036e-08
1831,1.4032085715598441e-08
1832,1.7588959622116818e-08
1833,2.4325620628928846e-08
1834,9.334531370086552e-09
1835,2.4958190181223472e-08
1836,1.68018754465038e-08
1837,1.461157062010443e-08
1838,1.8936486156917454e-08
1839,6.9914749545318955e-09
1840,2.5478755105723394e-08
1841,1.6051371787284552e-08
1842,2.0124794275488966e-08
1843,1.0041748765843295e-08
1844,3.0187088384536764e-08
1845,2.4553003186156275e-08
1846,3.0443406018321184e-08
1847,1.0786447290911383e-08
1848,1.769948809737798e-08
1849,5.865590679832167e-09
1850,1.425689166723032e-08
1851,1.483370937194195e-08
1852,1.6276363368206148e-08
1853,1.1943863675867306e-08
1854,1.7145692865483397e-08
1855,1.1675261646360013e-08
1856,1.4496129630003907e-08
1857,7.810414537345878e-09
1858,1.468102794888182e-08
1859,3.4626779665813956e-08
1860,1.6935580049448618e-08
1861,1.0846716413936974e-08
1862,1.445755604123633e-08
1863,9.489779628779615e-09
1864,1.1507347075223606e-08
1865,1.9298061815220535e-08
1866,1.6543083347642096e-08
1867,1.358787216076962e-08
1868,5.9278488784286765e-09
1869,1.953407746668745e-08
1870,9.747882501187632e-09
1871,7.434824311758348e-09
1872,2.9027228620748247e-08
1873,1.2570609442263958e-08
1874,2.6885741633009275e-08
1875,9.7265964171811e-09
1876,6.650616057868319e-09
1877,1.7317484335421796e-08
1878,1.0870359723469392e-08
1879,1.8938909107646396e-08
1880,1.1552122813895949e-08
1881,1.4642266066289267e-08
1882,9.317538740560849e-09
1883,5.0554711528150165e-09
1884,9.902545450302114e-09
1885,8.379326565943757e-09
1886,1.8069698626277386e-08
1887,1.697520346510828e-08
1888,8.242799331981132e-09
1889,1.0650732740202784e-08
1890,1.0487018364813139e-08
1891,8.92390783491237e-09
1892,8.149066310636499e-09
1893,1.23168328869383e-08
1894,1.1972924873759894e-08
1895,1.625025980445116e-08
1896,8.255840455717589e-09
1897,6.992056267307589e-09
1898,9.05336783318944e-09
1899,1.4371703827009696e-08
1900,1.245852754294674e-08
1901,7.824234593556412e-09
1902,4.910283735171106e-09
1903,1.0800440541913758e-08
1904,8.599400302955473e-09
1905,5.676835002077496e-09
1906,5.144184633820714e-09
1907,3.599990305858114e-09
1908,8.840499887696751e-09
1909,8.251475058784763e-09
1910,1.068830179917768e-08
1911,6.384448969498635e-09
1912,6.772247651554153e-09
1913,9.545381374209683e-09
1914,1.9420557606508737e-08
1915,8.246533234057551e-09
1916,1.3184954461564757e-08
1917,2.1932848870420685e-09
1918,8.040463406189247e-09
1919,3.6831393490643904e-09
1920,5.300562211374427e-09
1921,3.0290989716519334e-09
1922,3.6889677978990676e-09
1923,5.307974060286824e-09
1924,1.4180787211159895e-08
1925,1.2097995494286806e-08
1926,6.687683296036084e-09
1927,4.4596899506643695e-09
1928,2.2852082448565625e-09
1929,8.912325100141061e-09
1930,5.2518016602221e-09
1931,5.7026783295555106e-09
1932,6.575722188983946e-09
1933,8.02946331646126e-09
1934,4.7926320689839486e-09
1935,7.180970484910176e-09
1936,4.849885826274658e-09
1937,1.888667711114067e-08
1938,2.5930428915188486e-09
1939,1.070583532936098e-08
1940,1.0143131667916805e-08
1941,2.066051862925633e-08
1942,2.4273694165799498e-08
1943,2.9032351633873077e-08
1944,9.639558484764166e-09
1945,1.5249527862692958e-08
1946,2.7842208538686464e-09
1947,5.960435700558264e-09
1948,9.784699273041042e-09
1949,1.1780409536754632e-08
1950,5.317680518146517e-09
1951,3.1984206394497505e-09
1952,8.435843135146115e-09
1953,3.232148326759443e-09
1954,4.886268278880834e-09
1955,1.5016972554349195e-08
1956,4.360570571293465e-09
1957,3.534015080575159e-09
1958,5.790570245522986e-09
1959,5.425523585955716e-09
1960,3.460416619915918e-09
1961,5.55852741612739e-09
1962,1.2683912808952869e-09
1963,9.69907976156037e-09
1964,6.6923653285755336e-09
1965,8.20806533852192e-09
1966,5.539074976468328e-09
1967,6.409436092980059e-09
1968,5.838840522187638e-09
1969,2.2708788183223305e-09
1970,5.058597540852361e-09
1971,4.1107179882260425e-09
1972,4.104117490300041e-09
1973,5.513203671370093e-09
1974,2.812785782069227e-09
1975,2.2845920710778955e-09
1976,3.9994687561772935e-09
1977,2.938390863960194e-09
1978,3.5643548113029055e-09
1979,5.851973128301324e-09
1980,8.527726080842513e-09
1981,6.325549417596221e-09
1982,1.8622506869903077e-09
1983,3.78918940668882e-09
