year,pourront_VERB avoir_VERB,pourront_VERB ravoir_VERB
1800,8.300594345200807e-07,0.0
1801,7.28641850855638e-07,0.0
1802,1.2129094102419913e-06,0.0
1803,9.303117849412956e-07,0.0
1804,8.849226560414536e-07,0.0
1805,9.893213928080513e-07,0.0
1806,1.423544517820119e-06,0.0
1807,1.4377122852238244e-06,0.0
1808,1.1760923825931968e-06,0.0
1809,9.962324156731484e-07,0.0
1810,1.0928391702691442e-06,0.0
1811,1.494217713116086e-06,0.0
1812,1.101557018046151e-06,0.0
1813,9.80627874014317e-07,0.0
1814,1.1422438319641515e-06,1.8880061958270744e-08
1815,9.817894124353188e-07,0.0
1816,1.20051879548555e-06,0.0
1817,1.0493326954019722e-06,0.0
1818,1.0192607078352012e-06,0.0
1819,1.024753942147072e-06,0.0
1820,1.0454369885337655e-06,0.0
1821,9.299383236793801e-07,0.0
1822,1.0617127372825053e-06,0.0
1823,8.15321641312039e-07,0.0
1824,8.084268188213173e-07,0.0
1825,9.853290521277813e-07,0.0
1826,9.468583357374882e-07,0.0
1827,1.8148811022911104e-06,0.0
1828,1.4061138244869653e-06,0.0
1829,1.1428044217609568e-06,0.0
1830,1.0760377335827798e-06,0.0
1831,8.450433597317897e-07,0.0
1832,8.997429858936812e-07,0.0
1833,1.1977472240687348e-06,0.0
1834,1.2480268196668476e-06,0.0
1835,9.56730673351558e-07,0.0
1836,1.315250756306341e-06,6.720750067579218e-10
1837,1.089605689230666e-06,6.957890930081589e-10
1838,1.177218223347154e-06,0.0
1839,1.2591647191584343e-06,6.9914749545318955e-09
1840,1.0070477856061189e-06,0.0
1841,1.2057789717800915e-06,0.0
1842,9.565985692461254e-07,0.0
1843,1.050248783940333e-06,0.0
1844,8.457872695544211e-07,0.0
1845,1.1327862239340902e-06,0.0
1846,1.0754719141914393e-06,0.0
1847,1.1789586551458342e-06,5.393223645455691e-10
1848,1.08932306375209e-06,0.0
1849,1.1203277381355292e-06,0.0
1850,1.0916705832642037e-06,1.3577992064028876e-09
1851,9.82894448497973e-07,6.449438760824933e-10
1852,1.3053643215243937e-06,3.906327261660181e-09
1853,9.417736350769701e-07,5.971931837933653e-10
1854,9.398956990480656e-07,2.0782657816909023e-09
1855,7.636682539668982e-07,0.0
1856,7.796846830387949e-07,0.0
1857,7.297855972865364e-07,4.881509085841174e-10
1858,6.444971063501725e-07,9.787352039936081e-10
1859,7.908145107649034e-07,0.0
1860,8.902622425921436e-07,0.0
1861,8.67265725901234e-07,0.0
1862,8.620317544227873e-07,0.0
1863,8.560780315747252e-07,0.0
1864,8.290084565487632e-07,0.0
1865,8.302873197862937e-07,0.0
1866,8.339660553247086e-07,8.271541673821048e-09
1867,7.580091505587916e-07,4.85281148598915e-09
1868,9.469738415646134e-07,3.457911734727759e-09
1869,7.198307230282808e-07,0.0
1870,8.245561957664904e-07,0.0
1871,9.006758432406059e-07,6.37270636261178e-09
1872,8.423943427260383e-07,3.0236697590169115e-09
1873,8.033218250602658e-07,3.591602570907071e-09
1874,7.784915965203254e-07,0.0
1875,8.153176054292999e-07,5.721527140956084e-10
1876,8.41000655782409e-07,1.813804439976252e-09
1877,8.782438953858218e-07,1.2369631985365004e-09
1878,8.007831411305233e-07,1.2078177347163432e-09
1879,8.730225999897812e-07,0.0
1880,1.1924358886972186e-06,0.0
1881,9.008479651129164e-07,6.972507571312292e-10
1882,8.139535907503159e-07,0.0
1883,9.44109217471123e-07,0.0
1884,7.856019124119484e-07,0.0
1885,9.313943678534997e-07,0.0
1886,8.286247634714528e-07,2.5813855497602844e-09
