year,put_VERB aller_VERB
1800,9.746909768182377e-08
1801,1.9049460320275102e-07
1802,1.0070280609397742e-07
1803,1.1897068930011301e-07
1804,1.087614407424553e-07
1805,1.7341554325867037e-07
1806,7.492339904047185e-08
1807,1.0818429529990681e-07
1808,1.4276265858370607e-07
1809,6.551188391767937e-08
1810,9.594519667643908e-08
1811,1.855236746450828e-07
1812,2.507175622668001e-07
1813,1.4953856464217097e-07
1814,2.3285410577500443e-07
1815,1.348611817775236e-07
1816,1.4600904307826568e-07
1817,1.370048607896024e-07
1818,1.2398024296089716e-07
1819,2.1323162968656106e-07
1820,1.5070430947616842e-07
1821,1.9427132258442725e-07
1822,1.664252238242625e-07
1823,1.7294702558956487e-07
1824,3.056863988604164e-07
1825,2.668049319254351e-07
1826,1.470933455038903e-07
1827,1.778933693685758e-07
1828,2.595761259271967e-07
1829,2.863440897726832e-07
1830,1.3880992355552735e-07
1831,7.483778574624012e-08
1832,1.718306066322839e-07
1833,2.03871863391214e-07
1834,1.4001795989315724e-07
1835,1.2100940693926532e-07
1836,1.4584027496766794e-07
1837,2.0873672212928795e-07
1838,1.9504579995555105e-07
1839,2.3701100815287646e-07
1840,2.2739789073966676e-07
1841,1.9903700376744382e-07
1842,1.9856464916756522e-07
1843,1.4117517821432557e-07
1844,2.1021189411385421e-07
1845,1.7633520599247277e-07
1846,2.019802991526376e-07
1847,1.5208890147277998e-07
1848,1.4964112438065058e-07
1849,1.835091865132199e-07
1850,1.262753244191117e-07
1851,1.6123597390560462e-07
1852,2.4479649596287345e-07
1853,2.1200358446549217e-07
1854,2.3276577110209473e-07
1855,1.931725108761384e-07
1856,1.5997514424270776e-07
1857,2.694592922125594e-07
1858,1.7910853955527273e-07
1859,1.6702328764495178e-07
1860,1.8308735150185385e-07
1861,1.7826343423621438e-07
1862,2.0195398064970504e-07
1863,2.0577837744895078e-07
1864,1.7165126564577804e-07
1865,1.7838939925240993e-07
1866,1.9608420132044557e-07
1867,1.5917221674044413e-07
1868,1.33870585727891e-07
1869,1.6017942527923879e-07
1870,1.9610446599926945e-07
1871,1.0621177182201791e-07
1872,1.669065596843211e-07
1873,1.496501056408306e-07
1874,1.601195265266142e-07
1875,1.9109900506464328e-07
1876,1.934724735974669e-07
1877,1.768857345041397e-07
1878,1.8781565813696943e-07
1879,1.8877814511597535e-07
1880,2.194903458985209e-07
1881,1.7152368059214496e-07
1882,1.8235755305795465e-07
1883,1.383935170906625e-07
1884,1.5580005197080027e-07
1885,1.4953874938328227e-07
1886,1.3487739636275364e-07
1887,9.989254579068074e-08
1888,1.8831624970516714e-07
1889,1.3595347070349817e-07
1890,1.179789563821032e-07
1891,1.2875923971478187e-07
1892,1.5044429346744437e-07
1893,1.5396041419535322e-07
1894,1.4493539879367745e-07
1895,1.486597795974376e-07
1896,1.5450216039880615e-07
1897,1.235263340504389e-07
1898,1.3297133705236774e-07
1899,1.4979737272824423e-07
1900,1.2925721648571198e-07
1901,1.5257256791301188e-07
1902,1.1391858834031154e-07
1903,1.301453096402838e-07
1904,1.150169808283863e-07
1905,1.0166695574298501e-07
1906,1.1677298772383438e-07
1907,1.0079973122856245e-07
1908,1.1443536607202986e-07
1909,1.2322203701842227e-07
1910,1.2131222604239156e-07
1911,1.564190057479209e-07
1912,1.2085857292731816e-07
1913,1.749986608956533e-07
1914,1.3393487563462259e-07
1915,1.0484878032457345e-07
1916,1.1756584683553228e-07
1917,8.663475625780848e-08
1918,9.303964532136888e-08
1919,1.1509810349252803e-07
1920,9.389567168227586e-08
1921,1.0374664327628125e-07
1922,1.1362020302385645e-07
1923,9.023555946896522e-08
1924,1.1344629768927916e-07
1925,1.3087831973734865e-07
1926,7.913758537370086e-08
1927,7.135503921062991e-08
1928,1.1540301869672476e-07
1929,1.1363214724724457e-07
1930,9.5582791459492e-08
1931,1.1633463969928926e-07
1932,1.20554901172909e-07
1933,1.1355955820135932e-07
1934,1.2101395441277418e-07
1935,1.0053358323602879e-07
1936,8.608547119592913e-08
1937,1.120609525173677e-07
1938,6.482607517455108e-08
1939,1.0399953964679298e-07
1940,9.63597486247636e-08
1941,5.9030050181263505e-08
1942,8.192371581117186e-08
1943,1.451617634984359e-07
1944,1.124615138792251e-07
1945,1.1328221205531008e-07
1946,1.0440827935553898e-07
1947,1.1086410012239867e-07
1948,1.0763169200345146e-07
1949,7.264586088240321e-08
1950,8.614642865722999e-08
1951,9.275419188270462e-08
1952,1.0439355691005403e-07
1953,9.696444891460487e-08
1954,8.20893006903134e-08
1955,6.569925403709931e-08
1956,6.192010459926678e-08
1957,9.365140130057625e-08
1958,6.535072571978162e-08
1959,1.0153479479413363e-07
1960,8.37420870425376e-08
1961,8.129346440455265e-08
1962,8.688480335194981e-08
1963,8.729171696586491e-08
1964,8.091677727861679e-08
1965,8.043903676480113e-08
1966,7.754704967055659e-08
1967,7.592716855242543e-08
1968,7.410836388999087e-08
1969,7.630153220361535e-08
1970,7.265985857429769e-08
