year,durent_VERB envoyer_VERB,durent_VERB renvoyer_VERB
1800,0.0,0.0
1801,2.3811825844433088e-09,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,1.4408345627714425e-08,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,1.6380887757350138e-08,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,2.8757416448144113e-09,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,0.0
1818,1.1921177378582115e-09,2.384235475716423e-09
1819,1.035105001712111e-09,3.1053151161586356e-09
1820,0.0,0.0
1821,0.0,0.0
1822,0.0,0.0
1823,1.9765373782121287e-09,0.0
1824,0.0,0.0
1825,1.7610886082763955e-09,0.0
1826,0.0,0.0
1827,0.0,0.0
1828,9.172301251858528e-10,0.0
1829,1.714635211591542e-09,1.714635211591542e-09
1830,0.0,0.0
1831,0.0,0.0
1832,1.3529969367098715e-09,0.0
1833,0.0,0.0
1834,0.0,0.0
1835,4.5378527602224494e-09,0.0
1836,6.720750067579218e-10,6.720750067579218e-10
1837,6.957891152126194e-09,0.0
1838,1.199310784016916e-08,3.1560809521380406e-09
1839,8.38977065598101e-09,2.0974426639952526e-09
1840,4.458782232319436e-09,2.5478754661634184e-09
1841,1.0914932957462042e-08,8.346713542550788e-09
1842,5.366612043644636e-09,0.0
1843,4.7255288571079745e-09,0.0
1844,1.811225303072206e-08,2.195424508855126e-09
1845,6.696273757711424e-09,0.0
1846,6.439951683034906e-09,0.0
1847,5.3932236454556914e-09,0.0
1848,1.126331028444838e-08,0.0
1849,2.513824481908955e-09,0.0
1850,0.0,0.0
1851,7.094382858952031e-09,0.0
1852,6.510545436100301e-10,3.2552727180501506e-09
1853,1.1943863675867306e-09,0.0
1854,1.2469595134234623e-08,1.558699391779328e-09
1855,4.776243400783642e-09,0.0
1856,1.0872097000458325e-08,1.0354378465748937e-09
1857,6.345961978126979e-09,1.4644527812635033e-09
1858,1.3702292633865909e-08,9.787352039936081e-10
1859,7.638259802433822e-09,2.036869339860914e-09
1860,1.6477862629926676e-08,4.577183909670879e-10
1861,4.2443675241088386e-09,0.0
1862,1.8071945051545413e-09,1.8071945051545413e-09
1863,1.6482248454963155e-08,5.494082966350788e-09
1864,1.342523781033833e-08,3.3563094525845827e-09
1865,8.001635798393636e-09,0.0
1866,1.3623716377253459e-08,1.4596839292835284e-09
1867,1.0190904120577216e-08,0.0
1868,2.667531973088444e-08,4.93987406535723e-10
1869,9.767038733343725e-09,1.953407657850903e-09
1870,1.8922360567330543e-08,0.0
1871,5.098165090089424e-08,0.0
1872,1.7537283625301825e-08,6.652073114565837e-09
1873,7.781805422268917e-09,5.986004469882289e-10
1874,5.974609140757536e-10,5.974609140757536e-10
1875,4.577221712764867e-09,5.721527140956084e-10
1876,4.836811839936672e-09,1.209202959984168e-09
1877,6.80329748092845e-09,6.184815992682502e-10
1878,1.0266450800600069e-08,1.2078177347163432e-09
1879,2.1993571408529533e-08,3.0546627449723474e-09
1880,7.059631101924424e-09,6.417846254436199e-10
1881,1.045876096839038e-08,6.972507571312292e-10
1882,1.3976308999019693e-08,2.6621540527571597e-09
1883,1.64302811356265e-08,1.2638677882037541e-09
1884,1.3203393933736152e-08,6.601696966868076e-10
1885,1.9981470700258797e-08,5.156508553483263e-09
1886,1.097088819790315e-08,9.034849313138693e-09
1887,1.0446279397058333e-08,3.9173548849191775e-09
1888,1.6485598663962264e-08,3.1703073499755874e-09
1889,1.0024218788373673e-08,1.0024218788373673e-08
1890,1.9663159989136147e-08,9.176140736144589e-09
1891,7.649063604731055e-09,2.5496880162734215e-09
1892,9.402768341715273e-09,2.5074049503359674e-09
1893,2.0322774574310642e-08,1.2316833108982905e-09
1894,2.5836310868498913e-08,6.301539290376468e-10
1895,2.2268872967856623e-08,0.0
1896,2.181900704556483e-08,4.1279202278587945e-09
1897,1.6897470089816125e-08,4.661370844871726e-09
1898,1.584339415217073e-08,6.7900258748920805e-09
1899,8.291367592505594e-09,0.0
1900,7.26747462209687e-09,4.15284251431558e-09
1901,1.1736351446245408e-08,1.1177477832191585e-09
1902,9.820567470342212e-09,3.437198747846537e-09
1903,5.940242076007962e-09,1.0800440541913758e-09
1904,1.7736262236667244e-08,3.2247751136083025e-09
1905,1.5998352864698973e-08,5.160759042333041e-10
1906,2.0576738535282857e-08,5.144184522798412e-10
1907,1.131425531042396e-08,3.599990305858114e-09
1908,1.1296195090437777e-08,9.822778146428846e-10
1909,9.351672325408344e-09,3.300590023513905e-09
1910,9.619471441624228e-09,5.878565634276356e-09
1911,5.3203743632934675e-09,3.1922244847493175e-09
1912,1.7712032729377825e-08,2.6047106693738442e-09
1913,1.3257474229533273e-08,1.060597942803554e-09
1914,1.7411533548283842e-08,0.0
1915,4.712304768617059e-09,1.1780761921542648e-09
1916,1.648119329900055e-08,0.0
1917,1.2063066989753679e-08,1.0966424435210342e-09
1918,2.986458014220261e-08,0.0
1919,1.012863304339362e-08,0.0
1920,9.843901693784574e-09,3.786115865267448e-09
1921,2.120369302360814e-08,2.2718242842501013e-09
1922,1.0329110011753073e-08,3.6889677978990676e-09
1923,5.307974060286824e-09,0.0
1924,7.734974438733389e-09,7.734974438733389e-09
1925,1.0998178368026856e-08,0.0
1926,8.916910765321973e-09,4.458455382660986e-09
1927,7.804457524684949e-09,0.0
1928,7.998228745975666e-09,0.0
1929,1.1140405931087116e-08,0.0
1930,1.575540586884472e-08,0.0
1931,3.4216069977333063e-09,0.0
1932,8.767629289252454e-09,1.0959536611565568e-09
1933,8.02946331646126e-09,0.0
1934,7.188948103475923e-09,2.3963160344919743e-09
1935,8.377798899061872e-09,1.196828414151696e-09
1936,4.849885826274658e-09,6.0623572828433225e-09
1937,2.392312481447334e-08,2.5182236296217297e-09
1938,7.779128452511941e-09,0.0
1939,1.3764645423464117e-08,1.5294050470515685e-09
1940,1.2678914806940611e-08,0.0
1941,0.0,5.9030051957620344e-09
1942,9.102635090130207e-09,2.1239483061208375e-08
1943,1.4516175816936538e-08,0.0
1944,3.2131861615880553e-09,9.639558484764166e-09
1945,6.535512131478072e-09,2.178504043826024e-09
1946,4.1763312808029696e-09,0.0
1947,1.1920870957027319e-09,3.5762612871081956e-09
1948,6.523132700664291e-09,5.435944139264848e-09
1949,2.945102384188658e-09,9.817008317369869e-10
1950,1.1698897850465073e-08,5.317680518146517e-09
1951,5.330700769690111e-09,0.0
1952,4.2179215675730575e-09,0.0
1953,7.54167928107563e-09,3.232148326759443e-09
1954,9.772536557761669e-09,1.9545072227344917e-09
1955,1.8771215692936494e-09,1.8771215692936494e-09
1956,9.593255967388359e-09,0.0
1957,1.767007518083119e-08,8.835037701437898e-10
1958,1.6544486891589827e-09,0.0
1959,5.425523585955716e-09,2.325224457422337e-09
1960,6.920833239831836e-09,0.0
1961,1.042223907177231e-08,0.0
1962,2.5367825617905737e-09,0.0
1963,5.819448034571906e-09,1.2932106496776896e-09
1964,9.125952438182594e-09,1.2167936658258327e-09
1965,7.1136563306595235e-09,1.0944086747954884e-09
1966,3.8773522170743036e-09,2.215629901769489e-09
1967,6.902469706915326e-09,4.930335584241163e-10
1968,4.042274071025531e-09,1.7965663401398047e-09
1969,4.995933444718048e-09,4.5417578031781147e-10
1970,5.518470125309705e-09,1.3796175313274261e-09
1971,8.221435976452085e-09,5.138397485282553e-10
1972,5.643161493651405e-09,1.0260293725750103e-09
1973,3.3079223804577396e-09,0.0
1974,9.00091468025721e-09,1.6876715580593782e-09
1975,1.1994108817248161e-08,1.7134440533084216e-09
1976,6.2848797277581525e-09,5.713526873840635e-10
1977,7.639816779203557e-09,0.0
1978,1.7821774056514528e-09,0.0
1979,5.851973128301324e-09,0.0
1980,6.822181042309694e-09,1.7055452605774235e-09
1981,6.325549417596221e-09,3.795329828193417e-09
1982,6.2075020679230875e-09,3.7245013739806154e-09
