year,avait_VERB assuré_VERB,avait_VERB rassuré_VERB
1800,3.3956976608351397e-07,2.829747991484055e-08
1801,4.952859740114945e-07,0.0
1802,2.215461734067503e-07,0.0
1803,2.554944273924775e-07,1.950339267864365e-08
1804,5.265042659630126e-07,2.4718509461507665e-09
1805,3.752598445316835e-07,3.4114531644036106e-08
1806,3.2851028208824573e-07,0.0
1807,5.921666570429807e-07,2.8469551160981155e-09
1808,2.334056148356467e-07,4.5321479902327155e-09
1809,4.924686436424963e-07,6.7770917766551975e-09
1810,3.7208016578915704e-07,1.8721014072298203e-08
1811,4.487667411012808e-07,2.0056614147279106e-08
1812,4.4542377963807667e-07,2.400487453257938e-08
1813,5.233849833530257e-07,0.0
1814,4.185080513252615e-07,1.2586708564299443e-08
1815,5.36747506885149e-07,4.315557688983063e-08
1816,4.658383829792001e-07,6.952811659743929e-09
1817,5.651450578625372e-07,1.2454987263765815e-08
1818,5.614874680759385e-07,2.384235475716423e-09
1819,5.517109684660682e-07,6.210630232317271e-09
1820,8.46080126848392e-07,2.610625848831205e-08
1821,5.325203460415651e-07,8.875339574387908e-08
1822,6.997879609116353e-07,5.213320264374488e-08
1823,1.0248346598018543e-06,6.720227219148e-08
1824,8.875852586243127e-07,1.1789557774477544e-08
1825,5.512207508218125e-07,8.805443485471187e-09
1826,6.694068019896804e-07,8.80798456392995e-09
1827,8.774844104664226e-07,2.1199728195142598e-08
1828,7.209428645182925e-07,1.3758452155343548e-08
1829,8.221675784625404e-07,1.8860987438529264e-08
1830,7.138795581340673e-07,9.39315203396518e-09
1831,5.145097929926123e-07,4.677361786775691e-08
1832,6.656745199506986e-07,2.705993829010822e-08
1833,5.745479825236544e-07,5.791814139399776e-09
1834,7.448955443578598e-07,2.42697808516823e-08
1835,5.967276592855342e-07,2.3445572594482655e-08
1836,6.06883759246557e-07,2.4866775305554256e-08
1837,6.616954237870232e-07,4.87052354003481e-09
1838,6.621457941946574e-07,2.1461350030449466e-08
1839,6.509063155135664e-07,1.677954131196202e-08
1840,8.764691870055685e-07,3.184844388215424e-08
1841,6.016053930579801e-07,3.017657945747487e-08
1842,7.761462939015473e-07,4.561620414733625e-08
1843,5.522961714632402e-07,1.8311423488626133e-08
1844,7.541283366663265e-07,1.756339607084101e-08
1845,7.516567279708397e-07,1.2834524554250493e-08
1846,6.041845495019516e-07,2.1076203893244383e-08
1847,6.865573709546879e-07,5.662884916546318e-08
1848,5.712107622457552e-07,3.781254065415851e-08
1849,4.776266564476828e-07,3.016589289472904e-08
1850,5.845325858899741e-07,3.733947906425783e-08
1851,5.746450142396498e-07,4.385618268543112e-08
1852,5.188904879105394e-07,2.539112742283578e-08
1853,5.171692691874341e-07,4.359510086260343e-08
1854,5.491817205438565e-07,3.4291385730966795e-08
1855,5.598818688667961e-07,4.139410947345823e-08
1856,6.305816668827902e-07,3.675804194358534e-08
1857,4.842456746700918e-07,1.6597130780837688e-08
1858,5.896879429201363e-07,1.1744822003834088e-08
1859,7.439665523634176e-07,4.53203412575931e-08
1860,7.973454216880782e-07,2.9751696217772405e-08
1861,6.239220056158956e-07,3.584132457490341e-08
1862,6.614332050958183e-07,4.9246050792817186e-08
1863,5.004609988645825e-07,2.4973104473247076e-08
1864,5.202279567129153e-07,1.2466292886870178e-08
1865,5.784711447631707e-07,4.047886292823932e-08
1866,6.519921385006455e-07,3.0166798836717135e-08
1867,5.454560323414626e-07,2.4749338578544666e-08
1868,4.7669783498349716e-07,3.655506830568811e-08
1869,5.528143560695753e-07,3.125452252561445e-08
1870,5.109037601869204e-07,1.3188312664169644e-08
1871,5.554875883717614e-07,2.2304472935275044e-08
1872,5.986865971863153e-07,2.7213026498884574e-08
1873,5.578955892815429e-07,2.0352414864532875e-08
1874,4.917103524348931e-07,2.2106053876314036e-08
1875,4.685930719006137e-07,1.2015206607429718e-08
1876,5.13911231792008e-07,3.567148709748835e-08
1877,5.819911734761263e-07,2.3502300550148902e-08
