year,aurait_VERB usé_VERB,aurait_VERB rusé_VERB
1800,9.432493897065797e-09,0.0
1801,1.4287095950749062e-08,0.0
1802,2.6854081625060644e-08,0.0
1803,1.1702034896643454e-08,0.0
1804,4.943701892301533e-09,0.0
1805,1.9900143755080535e-08,0.0
1806,3.1698359492793315e-08,0.0
1807,5.124519120158766e-08,0.0
1808,3.172503681980743e-08,0.0
1809,7.90660692473466e-08,0.0
1810,4.680253340438867e-08,0.0
1811,5.264861258069686e-08,0.0
1812,5.067695596494559e-08,0.0
1813,4.601186631703058e-08,0.0
1814,6.608021863030444e-08,0.0
1815,4.045835311217161e-08,0.0
1816,2.0858434979231788e-08,0.0
1817,6.383181272440197e-08,0.0
1818,6.795070817133819e-08,0.0
1819,6.728182455617571e-08,0.0
1820,5.458581142647745e-08,0.0
1821,6.01550809165019e-08,0.0
1822,6.616906489398389e-08,0.0
1823,5.5343047478118024e-08,0.0
1824,6.82110155025839e-08,0.0
1825,8.629334047327575e-08,0.0
1826,3.787433300317389e-08,0.0
1827,7.281645508783186e-08,0.0
1828,6.237164740241496e-08,0.0
1829,1.1488055662312036e-07,0.0
1830,2.5048406016026092e-08,0.0
1831,9.978371906527173e-08,7.795603274018958e-09
1832,4.7354891563600177e-08,0.0
1833,8.68772147555319e-08,0.0
1834,6.627517024071494e-08,0.0
1835,1.0815215745196838e-07,0.0
1836,8.804182272115213e-08,0.0
1837,3.1310509740478665e-08,0.0
1838,6.059675428105038e-08,0.0
1839,4.264799713382672e-08,0.0
1840,6.942960339983983e-08,0.0
1841,7.833069304297169e-08,0.0
1842,5.702025163145663e-08,0.0
1843,5.5524964182041003e-08,0.0
1844,5.3787900355928286e-08,5.488561272137815e-10
1845,7.700714377278928e-08,0.0
1846,9.952652391120864e-08,0.0
1847,5.069630049092666e-08,1.0786447290911383e-09
1848,7.642960753173611e-08,0.0
1849,8.295620546050486e-08,0.0
1850,7.400005586077896e-08,0.0
1851,6.513933215046563e-08,0.0
1852,5.7943854159248076e-08,0.0
1853,6.569125332589465e-08,0.0
1854,7.897409659562982e-08,5.195664454227256e-10
1855,7.270503488143731e-08,0.0
1856,9.06008139622827e-08,0.0
1857,6.736482305313984e-08,0.0
1858,6.997957058274551e-08,0.0
1859,6.619825398956891e-08,0.0
1860,6.408057373619158e-08,0.0
1861,9.6677254646238e-08,0.0
1862,9.352231700177072e-08,0.0
1863,6.89257646513397e-08,0.0
1864,5.9454627887589595e-08,0.0
1865,5.130460323243824e-08,0.0
