year,faut_VERB appeler_VERB,faut_VERB rappeler_VERB
1800,2.04370692813427e-07,2.0751485863002017e-07
1801,2.1906879510424915e-07,2.2383116515811707e-07
1802,3.110597788236191e-07,2.886813774694019e-07
1803,1.4042441875972145e-07,2.0478562134940148e-07
1804,2.2493843232496147e-07,2.867347177470947e-07
1805,2.103729457303416e-07,1.9331568523739406e-07
1806,1.0950342499427279e-07,1.9595350408962986e-07
1807,1.9359295322374237e-07,1.9074599322266295e-07
1808,1.9035022091884457e-07,2.5606635745134554e-07
1809,1.400598961254218e-07,2.0331275152329908e-07
1810,1.8018975822542416e-07,1.8955026348521642e-07
1811,2.3315813280078146e-07,2.2563691004506836e-07
1812,1.973734100602087e-07,2.3471432086807908e-07
1813,1.2365688917270745e-07,3.36461766892171e-07
1814,2.863476140646526e-07,3.3354777428939997e-07
1815,1.8341120266995858e-07,1.9689731800554e-07
1816,2.3407798721564177e-07,4.171687066900631e-07
1817,3.238296812924091e-07,2.7089598120255687e-07
1818,1.8358613829150272e-07,2.491526061021432e-07
1819,3.6642717304857797e-07,2.7637304356176173e-07
1820,2.3970292772901303e-07,3.097151477504667e-07
1821,3.0669230000057723e-07,2.3864802756179415e-07
1822,1.7143803177077643e-07,2.7971469762633205e-07
1823,3.350230883825134e-07,1.956772024414022e-07
1824,2.2821215850399312e-07,1.549484807128465e-07
1825,2.5447729967709165e-07,3.0202670586731983e-07
1826,2.0346443818652915e-07,2.2724599091361597e-07
1827,2.175276421212402e-07,2.829702907547471e-07
1828,2.1188016319229064e-07,2.7058288765147154e-07
1829,2.726270054154156e-07,2.640538241394097e-07
1830,2.765761450973514e-07,2.8283824349273345e-07
1831,2.8375995952956146e-07,1.387617345471881e-07
1832,6.41320525573974e-07,2.3677446847614192e-07
1833,2.3051420328101813e-07,2.7337364372215234e-07
1834,2.9403773282865586e-07,2.60433409948746e-07
1835,3.221875317649392e-07,2.6924593043986533e-07
1836,2.7891113063560624e-07,2.3522625269833952e-07
1837,2.2891461526342027e-07,2.5535459258207993e-07
1838,2.4554310584790073e-07,2.2534418064878992e-07
1839,1.8807068613568845e-07,2.1603658240110235e-07
1840,2.45233024998015e-07,3.063820201987255e-07
1841,2.439808497456397e-07,3.248797497690248e-07
1842,2.8577210287039634e-07,2.7839300287269e-07
1843,3.166104249885393e-07,2.9829899972355634e-07
1844,2.4808298348943936e-07,3.161411257224245e-07
1845,2.3660166448280506e-07,2.9128790401955484e-07
1846,3.0033592679501453e-07,3.155576280278183e-07
1847,2.222008106400608e-07,2.906947429437423e-07
1848,2.3331142529059434e-07,3.330721654037916e-07
1849,3.5528719877220283e-07,2.974692279167357e-07
1850,2.6816533704732137e-07,3.0686263130519364e-07
1851,2.1928092053258297e-07,2.7087642706646875e-07
1852,2.578175894996093e-07,2.2005643529610097e-07
1853,2.5141832793451613e-07,3.051657131436514e-07
1854,2.0626788455047063e-07,2.577049542651366e-07
1855,3.014340279605676e-07,2.64816151229752e-07
1856,2.034635429026821e-07,3.1114907983464946e-07
1857,2.421228373350459e-07,2.9826020409018383e-07
1858,2.6376912387604534e-07,3.361955407399364e-07
1859,3.0654882721137255e-07,3.442309264301002e-07
1860,2.444216136154864e-07,3.2864181775948964e-07
1861,2.664519627160189e-07,3.56998441475298e-07
1862,2.7153097903465095e-07,3.5917992136091925e-07
