year,voudraient_VERB envoyer_VERB,voudraient_VERB renvoyer_VERB
1800,0.0,3.144164484325529e-09
1801,0.0,2.3811825844433088e-09
1802,0.0,0.0
1803,5.851017448321727e-09,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,4.51806094758922e-08,0.0
1810,0.0,0.0
1811,9.025476543911282e-08,0.0
1812,2.6672082320544632e-09,0.0
1813,2.8757416448144113e-09,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,0.0
1818,0.0,0.0
1819,7.24573512300708e-09,0.0
1820,2.254631326081835e-08,0.0
1821,7.88919063410276e-09,1.4792232327920374e-08
1822,0.0,0.0
1823,1.9765373782121287e-09,0.0
1824,3.3684450784221553e-09,8.421112696055388e-10
1825,0.0,0.0
1826,7.927186018719112e-09,0.0
1827,9.217273055917019e-10,5.530363722527909e-09
1828,1.0089530988466322e-08,2.7516904310687096e-09
1829,8.573175946935407e-09,8.573175946935407e-09
1830,3.1310507520032616e-09,0.0
1831,1.5591206103948707e-09,4.677361609140007e-09
1832,1.7588959622116818e-08,1.3529969367098715e-09
1833,2.4325620628928846e-08,0.0
1834,1.3068342852307069e-08,9.334530925997342e-10
1835,4.0084366048631637e-08,0.0
1836,4.704525213838906e-09,0.0
1837,6.262101948095733e-09,2.7831563720326358e-09
1838,1.1361890983607736e-08,2.5248647617104325e-09
1839,1.6080392128969834e-08,0.0
1840,6.369688665408546e-10,0.0
1841,4.494383976094696e-09,0.0
1842,2.6162233268678392e-08,6.708265054555795e-09
1843,8.269675610961258e-09,5.906911071384968e-10
1844,7.1351298203126134e-09,1.6465684371524958e-09
1845,3.9061593959388574e-09,2.7901139176833567e-09
1846,1.7563504428608212e-08,1.1709002656346001e-09
1847,1.0247124926365814e-08,0.0
1848,1.045878850192139e-08,0.0
1849,2.011059585527164e-08,8.379414939696517e-10
1850,4.073397619208663e-09,0.0
1851,3.2247193804124663e-09,0.0
