year,pourrait_VERB aller_VERB
1800,2.1065902444661333e-07
1801,1.142967676059925e-07
1802,1.857407312400028e-07
1803,1.0921899473714802e-07
1804,2.026917798048089e-07
1805,1.648869130121966e-07
1806,1.7866348400730203e-07
1807,1.4234775846944103e-07
1808,5.211970233176544e-08
1809,1.1521055398588942e-07
1810,1.193464669313471e-07
1811,1.780024518893697e-07
1812,1.8137015445063298e-07
1813,1.581657897986588e-07
1814,1.9194730782601255e-07
1815,8.091670622434322e-08
1816,1.715026911597306e-07
1817,3.1604528771822515e-07
1818,2.0266001854452043e-07
1819,2.2047736081276526e-07
1820,2.2427649071232736e-07
1821,2.997892352141207e-07
1822,2.6166856059717247e-07
1823,1.7690010167825676e-07
1824,2.8715993494188297e-07
1825,2.386275070875854e-07
1826,2.1315321419024258e-07
1827,3.594736597278825e-07
1828,2.4673491338944586e-07
1829,2.6748310233415395e-07
1830,2.4526565312044113e-07
1831,2.9935114298496046e-07
1832,4.5460697606358735e-07
1833,2.3630602186131e-07
1834,3.5377871654418414e-07
1835,2.843721063072735e-07
1836,2.997454657815979e-07
1837,2.98493517902898e-07
1838,2.9540916557380115e-07
1839,2.803581651278364e-07
1840,2.6370511818640807e-07
1841,2.5682194859655283e-07
1842,3.092510212354682e-07
1843,3.0243384685491037e-07
1844,2.7387920908950036e-07
1845,3.3704577617754694e-07
1846,2.9975046800245764e-07
1847,2.933913663127896e-07
1848,4.811042799701681e-07
1849,3.360145512942836e-07
1850,3.014314131633e-07
1851,2.8764497983502224e-07
1852,2.708386830363452e-07
1853,2.693341230042279e-07
1854,2.5198971798090497e-07
1855,2.934736187398812e-07
1856,2.5471771891716344e-07
1857,2.30895381037044e-07
1858,2.853013256753911e-07
1859,3.6663647051682347e-07
1860,2.7142701242155454e-07
1861,3.1596957228430256e-07
1862,2.941208947504492e-07
1863,3.026740102995973e-07
1864,3.0206786050257506e-07
1865,3.285377374595555e-07
1866,3.624881514951994e-07
1867,2.6205182734884147e-07
1868,2.682351691873919e-07
1869,3.1401029332300823e-07
1870,3.0791841254540486e-07
1871,2.782748538265878e-07
1872,3.1446163006876304e-07
1873,2.6996880819751823e-07
1874,2.8678124408543226e-07
1875,3.1010677048470825e-07
1876,2.4909581952670123e-07
