year,devant_VERB assurer_VERB,devant_VERB rassurer_VERB
1800,1.2576657937302116e-08,0.0
1801,3.095537337571841e-08,0.0
1802,2.2378401354217203e-09,0.0
1803,0.0,0.0
1804,7.4155526164076946e-09,4.943701892301533e-09
1805,8.528632911009026e-09,0.0
1806,0.0,0.0
1807,3.131650672116848e-08,0.0
1808,2.7192887941396293e-08,0.0
1809,2.4849335034105025e-08,0.0
1810,1.1700633351097167e-08,0.0
1811,2.757784400841956e-08,0.0
1812,1.0668832928217853e-08,0.0
1813,2.300593315851529e-08,0.0
1814,1.8880061958270744e-08,0.0
1815,0.0,0.0
1816,4.6352077731626196e-09,0.0
1817,1.401186100480345e-08,0.0
1818,4.768470951432846e-09,0.0
1819,2.3807414706311647e-08,0.0
1820,2.7292905713238724e-08,0.0
1821,2.9584464655840748e-08,0.0
1822,2.4061478143266868e-08,0.0
1823,3.162459805139406e-08,0.0
1824,3.3684450784221553e-09,0.0
1825,1.4088708866211164e-08,8.805443041381977e-10
1826,3.435113882233054e-08,0.0
1827,1.8434546333878643e-08,0.0
1828,5.503380862137419e-09,0.0
1829,1.2002446148073886e-08,0.0
1830,1.1480519646056564e-08,0.0
1831,3.1182413096075834e-08,0.0
1832,8.117981842303834e-09,1.3529969367098715e-09
1833,2.4325620628928846e-08,0.0
1834,1.9602515166639023e-08,0.0
1835,9.075705520444899e-09,0.0
1836,1.9490174807401672e-08,1.3441500135158435e-09
1837,6.262101948095733e-09,0.0
1838,1.009945904684173e-08,1.2624323808552163e-09
1839,1.11863602825224e-08,0.0
1840,1.9746034141121527e-08,0.0
1841,9.630822361827995e-09,0.0
1842,2.0124795163667386e-08,0.0
1843,4.725528912619126e-09,0.0
1844,1.920996517412732e-08,1.097712254427563e-09
1845,1.2276501593078137e-08,3.348136878855712e-09
1846,8.781752214304106e-09,5.854501328173001e-10
1847,1.0247124926365814e-08,0.0
1848,4.02261068899179e-09,0.0
1849,2.513824481908955e-09,0.0
1850,1.4935791270431764e-08,0.0
1851,1.096404567135778e-08,0.0
1852,1.9531636752390114e-08,0.0
1853,5.971931837933653e-09,0.0
1854,1.0391328686409906e-08,0.0
1855,2.1227748447927297e-09,0.0
1856,3.6240324075009767e-09,0.0
1857,1.2203773103180993e-08,0.0
1858,2.5936483183386372e-08,0.0
1859,8.147477359443656e-09,6.619825576592575e-09
1860,1.1442959468865865e-08,0.0
1861,2.1221836732365773e-08,9.431927461278633e-10
1862,1.626475132354699e-08,2.2589932147099034e-09
1863,2.0477944673302773e-08,0.0
1864,2.1096802527154068e-08,0.0
1865,5.177528628053096e-09,0.0
1866,2.092213513549268e-08,0.0
1867,2.426405742994575e-08,0.0
1868,2.6181332657415624e-08,0.0
1869,3.1742874995188686e-08,1.953407657850903e-09
1870,6.307453670473251e-09,0.0
1871,2.3366590440332402e-08,0.0
1872,2.7817760539505798e-08,4.23313739617015e-09
1873,4.0106229448610975e-08,0.0
1874,3.0470506118263074e-08,0.0
1875,1.2587359599081083e-08,0.0
1876,1.4510435519810017e-08,1.209202959984168e-09
1877,2.1646856751544874e-08,0.0
1878,2.3552445327368332e-08,4.22736201599605e-09
1879,1.2829582729523281e-08,4.27652757650776e-09
1880,1.9895322722618403e-08,0.0
1881,3.765154232837631e-08,0.0
1882,2.861815673327328e-08,0.0
1883,2.4013488364449387e-08,6.319338941018771e-10
1884,2.8387297845711146e-08,0.0
1885,3.158361394639542e-08,1.933690763067375e-09
1886,3.484870347847391e-08,0.0
1887,3.590908548289917e-08,0.0
1888,5.135897751529228e-08,0.0
1889,4.1976416120803606e-08,0.0
