year,peut_VERB envoyer_VERB,peut_VERB renvoyer_VERB
1800,2.200915076855381e-07,9.432493186523061e-08
1801,2.0478169915350009e-07,5.000483582762172e-08
1802,2.5735161557349784e-07,9.175144555229053e-08
1803,3.530113872329821e-07,9.166594594489652e-08
1804,1.507829097135982e-07,7.415552971679062e-08
1805,1.4782963830839435e-07,1.2224374756897305e-07
1806,1.8442682403474464e-07,9.509508203109363e-08
1807,1.708173016368164e-07,1.679703558465917e-07
1808,2.334056148356467e-07,1.3823051858707913e-07
1809,2.1234886560250743e-07,9.03612189517844e-08
1810,1.4508785284306214e-07,1.4040760731859336e-07
1811,1.6045291317823285e-07,1.4541045345595194e-07
1812,1.0668833283489221e-07,1.6269970615212515e-07
1813,1.3803560250380542e-07,7.764502640839055e-08
1814,1.9194730782601255e-07,1.6992056828257773e-07
1815,1.5104451733805035e-07,4.5852800667489646e-08
1816,2.201723674488676e-07,6.721051448721482e-08
1817,1.8371106591530406e-07,1.1676550570882682e-07
1818,1.287487094714379e-07,9.656153565629211e-08
1819,2.6809220798895694e-07,1.0765091928988113e-07
1820,1.3646453567162098e-07,8.306536614099969e-08
1821,2.2780038477776543e-07,1.1537941446704281e-07
1822,1.5539704634193185e-07,1.31335568198665e-07
1823,1.5021683452687284e-07,1.1661570198384652e-07
1824,1.7431703724923864e-07,9.852701765566962e-08
1825,1.9107811510821193e-07,8.981552213072064e-08
1826,1.5061652902659262e-07,1.1890779205714352e-07
1827,2.1107555880917062e-07,1.9909309401100472e-07
1828,1.3208114069129806e-07,1.0915038473058303e-07
1829,1.4660130887023115e-07,1.4145740578896948e-07
1830,1.6907674194044375e-07,1.7325147894098336e-07
1831,2.385454536124598e-07,1.933309619062129e-07
1832,1.9077256752098037e-07,2.9360032272052194e-07
1833,1.7954624809135566e-07,1.3437009727113036e-07
1834,1.6615464915048506e-07,1.9135788420499011e-07
1835,2.2916157149666105e-07,1.3311034763319185e-07
1836,1.4651234891971399e-07,1.1089237261785456e-07
1837,2.1291145912982756e-07,1.5168201628057432e-07
1838,1.5464796376818413e-07,1.1488134532555705e-07
1839,2.0135448153268953e-07,1.8317665251288417e-07
1840,1.6433796190540306e-07,1.3949617994057917e-07
1841,1.7399686669250514e-07,1.3804179843646125e-07
1842,1.925272101743758e-07,1.583150606165873e-07
1843,1.7484457259797637e-07,9.982679927134086e-08
1844,1.7014539821502694e-07,1.201994876964818e-07
1845,1.662907891386567e-07,1.8693764047839068e-07
1846,1.9202764178771758e-07,1.5690064003592852e-07
1847,1.5910009665276448e-07,1.6611129183274898e-07
1848,2.485973595867108e-07,3.234179075661814e-07
1849,1.3323270309228974e-07,3.8461513440779527e-07
1850,1.3374322804793337e-07,1.5954140053509036e-07
1851,1.4640225742823532e-07,1.3930787190474803e-07
1852,2.2200960358986777e-07,1.6211258468956657e-07
1853,1.6542250591555785e-07,1.2779933911133412e-07
1854,1.766525912216821e-07,3.2109207381836313e-07
1855,1.7619031211779657e-07,1.2312094099797832e-07
1856,2.3245578972819203e-07,9.836659842221707e-08
1857,1.7719878542266088e-07,2.650659496339358e-07
1858,1.8547032709648192e-07,1.536614320230001e-07
1859,1.8179058258738223e-07,9.573285808528453e-08
1860,2.3709812069228065e-07,1.0435979191925071e-07
1861,2.424005458578904e-07,6.649509032286005e-08
1862,2.227367161822258e-07,1.256000246030453e-07
1863,2.5222834665328264e-07,1.22867675145244e-07
1864,3.159725849855022e-07,1.0452507126501587e-07
1865,2.329887962559951e-07,9.97850975181791e-08
1866,1.610517870176409e-07,1.3137155008280388e-07
1867,2.1061201493921544e-07,1.3879041205200338e-07
1868,2.385959305684082e-07,8.397785933311752e-08
1869,2.1878165057387378e-07,1.4357546262999676e-07
1870,1.651406051905724e-07,1.0837351993586708e-07
1871,2.2729319937297987e-07,1.1577083114389097e-07
1872,2.1044741060904926e-07,1.2578465202750522e-07
1873,2.5979258566621866e-07,1.1433268554128517e-07
1874,2.1448846609928296e-07,8.603436896237326e-08
1875,1.4532679415424354e-07,1.1500269891939752e-07
1876,1.6384700529670226e-07,1.511503739948239e-07
1877,2.003880439360728e-07,1.1256365439749061e-07
1878,1.703023002619375e-07,9.36058768274961e-08
1879,2.3581995378663123e-07,1.0569132768978307e-07
1880,1.5081938897765212e-07,1.367001232210896e-07
1881,2.3985427333172993e-07,1.7989069078794273e-07
1882,2.2894525386618625e-07,1.2844893149122072e-07
1883,2.2876007221839245e-07,1.4155318694974994e-07
1884,1.9012887264580058e-07,1.425966615897778e-07
1885,1.8047779803964659e-07,1.23756208836312e-07
1886,3.078302199810423e-07,1.3810412724524213e-07
1887,2.3308260210797016e-07,1.5342972403686872e-07
1888,2.3016431782707514e-07,1.4837038975201722e-07
1889,2.1301464414591464e-07,1.566284169030041e-07
1890,2.8446038413676433e-07,1.4616281873713888e-07
1891,2.651675572451495e-07,1.5043158896332898e-07
1892,1.8053316352961701e-07,1.3978782931189926e-07
1893,2.3586734698710643e-07,1.459544733961593e-07
1894,2.621440273742337e-07,1.669907874202181e-07
1895,2.4255015773633204e-07,1.4444674434344051e-07
1896,2.1288273899244814e-07,1.462463217194454e-07
1897,2.4588732117081236e-07,1.689746937927339e-07
1898,1.9408157925226988e-07,1.0467956457205219e-07
1899,2.3105278046386957e-07,1.2879257837994373e-07
