year,eût_VERB assuré_VERB,eût_VERB rassuré_VERB
1800,1.4148740490327327e-07,0.0
1801,2.500241578218265e-07,0.0
1802,1.857407312400028e-07,0.0
1803,2.5354410126965377e-07,1.5602713787643552e-08
1804,2.595443504560535e-07,0.0
1805,2.50173229687789e-07,2.842877711017877e-09
1806,9.797675204481493e-08,2.305335300434308e-08
1807,1.5658253005312872e-07,2.8469551160981155e-09
1808,1.5862518409903714e-07,2.2660739951163578e-09
1809,2.2590305093217466e-07,2.259030518203531e-09
1810,2.1529166360778618e-07,2.574139479349924e-08
1811,2.1811567307850055e-07,0.0
1812,7.734903562095496e-08,2.6672082320544632e-09
1813,3.4508900625951355e-08,5.751483289628823e-09
1814,1.8565394555025705e-07,0.0
1815,1.7531952778426785e-07,8.091670444798638e-09
1816,2.3407798721564177e-07,6.952811659743929e-09
1817,1.0275364559220179e-07,7.784366928831332e-09
1818,2.3127084602947434e-07,4.768470951432846e-09
1819,1.8735400431069138e-07,7.24573512300708e-09
1820,2.491960913175717e-07,9.493184904840746e-09
1821,1.8440982785250526e-07,1.3806083387635226e-08
1822,1.5740216952053743e-07,7.017931125119503e-09
1823,2.81656582501455e-07,5.929612356680991e-09
1824,2.627387232223555e-07,1.6842225392110777e-09
1825,1.7346722813726956e-07,1.0566531649658373e-08
1826,1.470933455038903e-07,8.807984341885344e-10
1827,2.046234612862463e-07,3.6869092223668076e-09
1828,1.9628724601261638e-07,1.9261833017480967e-08
1829,1.6631960875201912e-07,1.2859763920403111e-08
1830,1.6385831713705556e-07,1.7742621594152297e-08
1831,1.1849316905454543e-07,3.1182412207897414e-09
1832,1.5965363786563103e-07,5.411987746839486e-09
1833,1.6912098033117218e-07,6.950177322551099e-09
1834,2.072265914421223e-07,1.0267983796552471e-08
1835,1.3689188449461653e-07,1.5882484660778573e-08
1836,1.5121688079489104e-07,1.4113575197427508e-08
1837,1.7533885454668052e-07,8.349468672008697e-09
1838,1.742156712225551e-07,4.418513555037862e-09
1839,1.2794399140148016e-07,2.0974426639952526e-09
1840,2.1211063483406178e-07,1.2102408852854296e-08
1841,1.6886042430996895e-07,8.988767952189392e-09
1842,1.7978150879116583e-07,8.049918065466954e-09
1843,1.6893766030534607e-07,1.594865928211675e-08
1844,1.5422857302382909e-07,4.390849017710252e-09
1845,1.1941688171646092e-07,9.48638767539478e-09
1846,1.5865698799188976e-07,1.1709002656346001e-09
1847,1.4292042749275424e-07,2.1572894581822766e-09
1848,1.456185145798372e-07,4.82713291560799e-09
1849,1.885368305920565e-07,6.703531951757213e-09
1850,1.4189001262820966e-07,1.2899092460827433e-08
1851,1.0899551483589676e-07,5.8044946626978344e-09
1852,1.1067927374597275e-07,6.510545436100301e-10
1853,1.4153478389289376e-07,3.5831591027601917e-09
1854,1.0131545735703185e-07,4.1565315633818045e-09
1855,8.915654348129465e-08,2.653468555990912e-09
1856,1.6204602104608057e-07,4.659470143053568e-09
1857,1.342415032468125e-07,1.2691923956253959e-08
1858,1.1451201942236366e-07,3.131952652779546e-08
1859,1.0337112144043203e-07,6.619825576592575e-09
1860,1.5058934366152243e-07,2.288591982591015e-09
1861,1.282742090324973e-07,8.017138064531082e-09
1862,1.3102160778544203e-07,3.6143890103090826e-09
1863,1.2986014041871385e-07,1.1987090431375691e-08
1864,1.299371206187061e-07,4.315255264231155e-09
1865,1.252020638276008e-07,3.294791106611683e-09
1866,1.2358657386357663e-07,7.298419202328432e-09
1867,8.104195359237565e-08,3.396968040192405e-09
1868,8.891773006780568e-08,6.421836395986702e-09
1869,1.1134423516523384e-07,6.8369265804335555e-09
1870,1.0837351993586708e-07,5.734048791339319e-09
1871,7.753459385639871e-08,2.6552942955504477e-08
1872,1.5178821399786102e-07,4.23313739617015e-09
1873,9.637467002221456e-08,5.986004469882289e-10
1874,1.4518300872623513e-07,1.3144139998644278e-08
1875,1.2701789842139988e-07,1.0298748520654044e-08
1876,1.0701446484517874e-07,1.813804439976252e-09
1877,1.2864417442415288e-07,3.0924081073635534e-09
1878,1.5218503790492832e-07,3.6234530931267273e-09
1879,1.0263666183618625e-07,4.887460214320072e-09
1880,1.0525268123728893e-07,1.0910338410496934e-08
1881,7.600033313792665e-08,6.2752567586699115e-09
1882,1.4375632417795714e-07,4.6587693702804245e-09
1883,9.099848341520556e-08,8.21514056781325e-09
1884,6.601696611596708e-08,5.941527270181268e-09
1885,1.2246707115082245e-07,6.445635580831777e-09
1886,7.679621916167889e-08,8.38950331427668e-09
1887,1.0642147429962279e-07,1.4363633837888301e-08
1888,1.1666730870274478e-07,8.876860135842435e-09
1889,9.084448038265691e-08,3.132568426877924e-09
1890,1.0421474172517264e-07,2.6217545912032847e-09
1891,9.05139216911266e-08,5.736798147637501e-09
1892,1.1596748095143994e-07,8.775916882086676e-09
1893,1.3302179979746143e-07,7.390100087434348e-09
1894,7.876924001948282e-08,3.780923574225881e-09
1895,1.2157600792761514e-07,6.018614495673091e-09
1896,8.196870027177283e-08,1.1794058174530164e-08
1897,1.0313282672314017e-07,2.9133566670225264e-09
1898,8.883617397259513e-08,1.0185038590293516e-08
1899,1.0944604866836016e-07,2.2110313580014918e-09
1900,8.253774552713367e-08,6.748368974740515e-09
1901,1.173635197915246e-07,2.235495566438317e-09
1902,1.016428754496701e-07,3.928227076954727e-09
1903,1.0422424878697711e-07,0.0
1904,1.1232966556917745e-07,1.0749250378694342e-09
1905,1.0837594288659602e-07,5.676835002077496e-09
1906,9.825392766060759e-08,2.0576738091193647e-09
1907,9.719973803612447e-08,6.1714118260169926e-09
1908,1.0363030611415525e-07,4.911389073214423e-10
1909,1.1992143811312417e-07,3.300590023513905e-09
1910,9.352263674600181e-08,8.550641084070776e-09
1911,9.84269235004831e-08,0.0
1912,9.42905273859651e-08,1.5628263128064646e-09
1913,7.636305099367746e-08,1.060597942803554e-09
1914,1.0781757708855366e-07,5.357394972094198e-09
1915,1.7082105330246122e-07,1.1780762143587253e-08
1916,1.274545553542339e-07,6.592477230782379e-09
1917,1.2282394834528532e-07,1.315970976634162e-08
1918,1.527688056057741e-07,4.594550517822427e-09
1919,1.3075144522645132e-07,2.762354567309444e-09
1920,1.3554294753248541e-07,7.572231730534895e-10
1921,1.0829028695980014e-07,0.0
1922,8.558404829273059e-08,3.6889677978990676e-09
1923,9.129715294875496e-08,0.0
1924,7.219309594574952e-08,5.156649773851996e-09
1925,6.378942885021388e-08,3.299453377181294e-09
1926,6.464760105018286e-08,4.458455382660986e-09
1927,9.922810306761676e-08,2.2298449753321847e-09
1928,6.741364444451392e-08,6.8556245125250825e-09
1929,8.132496986945625e-08,6.684243825105796e-09
1930,1.0503603675715567e-07,6.302162347537887e-09
1931,7.86969636124013e-08,1.1405356659111021e-09
1932,8.438843224212178e-08,1.0959536611565568e-09
1933,8.947116469926186e-08,1.1470662197865522e-09
1934,9.225816910429785e-08,4.7926320689839486e-09
1935,6.343190506186147e-08,3.590485242455088e-09
1936,6.547345776652946e-08,7.274828739411987e-09
1937,9.94698368117497e-08,2.5182236296217297e-09
1938,5.963998717106733e-08,0.0
1939,8.411727492330101e-08,1.070583532936098e-08
1940,5.325144059042941e-08,5.0715658339584024e-09
1941,6.198155233505531e-08,0.0
