year,voulant_VERB aller_VERB
1800,5.0306630416940834e-08
1801,1.2858385867176025e-07
1802,1.432217686669901e-07
1803,7.021221537506506e-08
1804,8.651478244914301e-08
1805,2.0753007756724173e-07
1806,1.4120178093435243e-07
1807,5.4092147649953404e-08
1808,1.5409303788516127e-07
1809,6.09938268780752e-08
1810,1.0998595456612748e-07
1811,1.6797414126301646e-07
1812,1.120227479667335e-07
1813,1.2078114508540239e-07
1814,1.321604372606089e-07
1815,1.6453063178545335e-07
1816,1.3442102897442965e-07
1817,1.0275364559220179e-07
1818,1.3828565670337412e-07
1819,1.2835302420910466e-07
1820,1.9461029410194897e-07
1821,1.4890847399584572e-07
1822,1.7845596289589594e-07
1823,2.6584427548215217e-07
1824,2.669492857876321e-07
1825,1.0918749193677968e-07
1826,2.4045796642724326e-07
1827,9.309445658800541e-08
1828,1.5042573880963417e-07
1829,1.0887933488135104e-07
1830,1.2211098265879627e-07
1831,8.886987501455224e-08
1832,8.523880545840967e-08
1833,1.0772774372558303e-07
1834,1.4468522424593289e-07
1835,1.5731222191561756e-07
1836,1.6667459901142934e-07
1837,1.9621252178581017e-07
1838,2.0262039868157444e-07
1839,1.2864314080651695e-07
1840,1.700706810936481e-07
1841,1.6051371964920236e-07
1842,1.5630257266252556e-07
1843,8.624090175324284e-08
1844,9.111012055917911e-08
1845,9.374783038751389e-08
1846,1.5046068035928784e-07
1847,1.0948244177910738e-07
1848,9.010648316376546e-08
1849,9.552533164480792e-08
1850,1.3374322715975495e-07
1851,9.738652728685793e-08
1852,1.5429992572535411e-07
1853,1.1048073744746034e-07
1854,1.4547860127667178e-07
1855,1.7300615340332115e-07
1856,1.5272708031588422e-07
1857,1.5669644182203513e-07
1858,1.340867175070315e-07
1859,1.0235268455005553e-07
1860,1.4646988044653142e-07
1861,1.2497304258118902e-07
1862,1.2514821978726332e-07
1863,1.34854762023906e-07
1864,1.0020981155989261e-07
1865,1.1720042447649348e-07
1866,1.0412411821647538e-07
1867,8.832117082135937e-08
1868,1.150990672771357e-07
1869,1.015771958767786e-07
1870,1.20988428164992e-07
1871,8.178306232231591e-08
1872,9.615269691565231e-08
1873,1.3049489666627778e-07
1874,1.0276327877534186e-07
1875,7.09469343274094e-08
1876,1.2212949629386571e-07
1877,8.535046192026385e-08
1878,1.0568405339750342e-07
1879,1.038585284440785e-07
1880,8.214843205678335e-08
1881,1.2201888166529784e-07
1882,9.450646754061154e-08
1883,1.0237329428619546e-07
1884,8.318138267071618e-08
1885,9.797366340436042e-08
1886,9.744730355976117e-08
1887,9.336362349898764e-08
1888,1.0588826881985369e-07
1889,1.0462778465836209e-07
1890,7.79972006981211e-08
1891,6.374220040683554e-08
1892,1.0531100613775379e-07
1893,7.574852411984523e-08
1894,9.26326286787571e-08
1895,9.027922054372084e-08
1896,7.135404822555813e-08
1897,7.22512454309765e-08
1898,7.186110861923112e-08
1899,6.964748422433331e-08
1900,8.046132293770825e-08
1901,8.997869516136348e-08
1902,9.575053816490708e-08
1903,1.0098411884484904e-07
1904,6.019580389704515e-08
1905,6.967024823723023e-08
1906,6.533114316198407e-08
1907,9.462831584983178e-08
1908,8.25113364300023e-08
1909,8.416504559960458e-08
1910,8.229992376485029e-08
1911,9.31065475828774e-08
1912,5.730363272782313e-08
1913,5.6211689525298425e-08
1914,6.42887405533088e-08
1915,8.12872540389975e-08
1916,6.92210118113934e-08
1917,8.773139725803958e-08
1918,6.662098606113886e-08
1919,4.603924130819337e-08
1920,5.5277291188815525e-08
1921,8.178567079131227e-08
1922,6.640142247160696e-08
1923,3.71558197542754e-08
1924,8.508471782686655e-08
1925,6.048997880370166e-08
1926,4.6813780629761936e-08
1927,6.689534892689863e-08
1928,6.170062238908258e-08
1929,4.456162616683912e-08
1930,5.7769819150621515e-08
1931,4.904303274599897e-08
1932,5.4797683723961654e-08
1933,6.997104229355955e-08
1934,9.225816732794101e-08
1935,5.385727686046948e-08
1936,6.06235719402548e-08
1937,5.0364472592434595e-08
1938,2.9819993141444456e-08
1939,3.5176317858542916e-08
1940,7.100192167541763e-08
1941,3.8369532440185594e-08
1942,6.978687139280737e-08
1943,3.193558839598154e-08
1944,6.747690939334916e-08
1945,6.099811500348551e-08
1946,4.31554223467856e-08
1947,5.1259744893172865e-08
1948,5.435943961629164e-08
1949,4.0249732879971134e-08
1950,4.998619917984115e-08
1951,5.224086807587014e-08
1952,5.37785007637126e-08
1953,4.4172692392763224e-08
1954,6.058972523703687e-08
1955,4.223523442092869e-08
1956,4.883839466174322e-08
1957,4.329168579175757e-08
1958,3.7225095728121715e-08
1959,5.425523585955716e-08
1960,6.782416450690221e-08
1961,4.655266749864495e-08
1962,6.405376051787925e-08
1963,6.466053203979527e-08
1964,3.589541441861854e-08
1965,5.7456456037385806e-08
1966,6.591499035479842e-08
1967,6.951773418029106e-08
1968,5.838840766436704e-08
1969,5.949702863716766e-08
1970,5.564457339346518e-08
1971,5.087013565940879e-08
1972,7.900425913476283e-08
1973,4.134902997776635e-08
1974,4.612968673711748e-08
1975,3.826691719055475e-08
1976,6.284879416895706e-08
1977,6.405692420941023e-08
1978,5.8217795029236186e-08
1979,5.793453716762542e-08
1980,3.5247933904969386e-08
1981,3.795329606148812e-08
1982,4.7797769076041163e-08
1983,5.62063142695024e-08
1984,4.1752862500743504e-08
1985,5.2936911743017845e-08
1986,3.656636105020539e-08
1987,4.766437289305259e-08
1988,5.4568640273089386e-08
1989,3.4575170948514256e-08
1990,4.631353389683568e-08
1991,4.7477867859413436e-08
1992,4.7385520396403535e-08
1993,6.093128224193833e-08
1994,4.5364369594125264e-08
1995,4.7717567674965267e-08
1996,5.3914732234261464e-08
1997,4.89079234888834e-08
1998,5.721755158560882e-08
1999,4.1588830157479606e-08
2000,4.550572452188817e-08
2001,4.6440843615158656e-08
2002,5.0822168695674463e-08
2003,7.208776509060044e-08
2004,6.034563959644856e-08
2005,5.5846493651756646e-08
2006,4.406142251056622e-08
2007,4.833320099706384e-08
2008,4.981204337894951e-08
2009,3.8145539393852346e-08
2010,5.007220682529123e-08
2011,4.397567865410679e-08
2012,5.3787191589549366e-08
2013,5.327228835838582e-08
2014,6.734534396812819e-08
2015,6.605394409220366e-08
2016,6.856135748023462e-08
2017,6.062623292280023e-08
2018,6.556925491452148e-08
2019,5.204015174342658e-08
