year,pourraient_VERB appliquer_VERB
1800,3.144164484325529e-09
1801,0.0
1802,0.0
1803,7.801356893821776e-09
1804,0.0
1805,0.0
1806,0.0
1807,2.8469551160981155e-09
1808,4.5321479902327155e-09
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,5.394447111228828e-09
1816,0.0
1817,2.0239355080775567e-08
1818,2.2650237241350624e-08
1819,2.070210003424222e-09
1820,2.254631326081835e-08
1821,5.9168927535324656e-09
1822,5.012807946513931e-09
1823,1.087095569118901e-08
1824,8.421112696055388e-09
1825,1.3208164340028361e-08
1826,9.688783109140786e-09
1827,1.8434546111834038e-09
1828,3.668920500743411e-09
1829,1.2859763920403111e-08
1830,1.1480519646056564e-08
1831,6.236482441579483e-09
1832,5.411987746839486e-09
1833,8.108539617524002e-09
1834,3.453776287187793e-08
1835,3.781543966852041e-09
1836,8.736974699274924e-09
1837,4.174734336004349e-09
1838,9.468243078458727e-09
1839,3.4957374772659477e-09
1840,9.554533164646273e-09
1841,1.5409316489467528e-08
1842,8.720745015011744e-09
1843,1.063243981747064e-08
1844,1.1525978393933656e-08
1845,1.2834524554250493e-08
1846,1.4636253098387897e-08
1847,1.294373674909366e-08
1848,2.413566457803995e-09
1849,1.6758828991214614e-08
1850,6.788996032014438e-09
1851,6.449438760824933e-09
1852,1.9531636308300904e-09
1853,5.971931837933653e-09
1854,5.195664343204953e-09
1855,5.837630823180007e-09
1856,1.8120163147727908e-08
1857,1.0251168802710708e-08
1858,1.7127865348243176e-08
1859,6.110608019582742e-09
1860,8.238931314963338e-09
1861,1.1789909493131745e-08
1862,1.1746764450037972e-08
1863,2.9967726078439227e-09
1864,2.3014694150447212e-08
1865,1.2708479601997169e-08
1866,6.3252967308358166e-09
1867,7.279217228983725e-09
1868,3.457911734727759e-09
1869,5.860222973552709e-09
1870,6.880858549607183e-09
1871,8.496941816815706e-09
1872,3.628403577593531e-09
1873,5.9860045809045914e-09
1874,1.0156835372754358e-08
1875,1.94531928343622e-08
1876,1.5115036333668286e-08
1877,3.0924081073635534e-09
1878,6.039088673581716e-10
1879,9.774920428640144e-09
1880,8.343199908722454e-09
1881,9.064259565150223e-09
1882,9.983077475794744e-09
1883,1.0110942305630033e-08
1884,4.621187876807653e-09
1885,1.740321664556177e-08
1886,4.5174246565693466e-09
1887,4.570247291724172e-09
1888,1.2047167707862627e-08
1889,8.771191772893872e-09
1890,6.554386366985909e-09
1891,1.6572972327821844e-08
1892,2.193979398157353e-08
1893,1.6011883374744684e-08
1894,7.561847148451761e-09
1895,3.611168697403855e-09
1896,1.2973464080801023e-08
1897,2.9133566670225264e-09
1898,8.487532454637403e-09
1899,9.949641111006713e-09
1900,1.142031713641245e-08
1901,1.397184767881754e-08
1902,9.820567692386817e-10
1903,5.400220270956879e-09
1904,8.599400302955473e-09
1905,1.0837593933388234e-08
1906,3.0865106026567446e-09
1907,1.337139288182243e-08
1908,6.875944702500192e-09
1909,7.151278680339601e-09
1910,6.947395991829808e-09
1911,1.649316061502759e-08
1912,1.8753915753677575e-08
1913,7.42418571064718e-09
1914,1.0714789944188396e-08
1915,3.534228465440492e-09
1916,5.493730803607377e-09
1917,1.864292187292449e-08
1918,1.6080926812378493e-08
1919,2.301962176431971e-08
1920,9.843901693784574e-09
1921,7.572747762196741e-09
1922,2.6560567079059183e-08
1923,7.431163684401554e-09
1924,1.1602462102189293e-08
