year,avaient_VERB emporté_VERB,avaient_VERB remporté_VERB
1800,7.860410988769218e-08,1.0061326349841693e-07
1801,8.096020565062645e-08,5.2386017301842e-08
1802,8.503792514602537e-08,8.280008501060365e-08
1803,7.606323038089613e-08,9.166594594489652e-08
1804,1.2112069214254007e-07,1.5819846055364906e-07
1805,1.5920115004064428e-07,1.250866148438945e-07
1806,8.06867319624871e-08,1.0662175498055149e-07
1807,1.708173016368164e-07,1.195721210933698e-07
1808,9.290903335568146e-08,1.2236799307174806e-07
1809,7.680704072754452e-08,1.3102376783535874e-07
1810,8.424456154898508e-08,8.658469141664682e-08
1811,2.782855119676242e-07,7.019814773912003e-08
1812,1.0935553973467904e-07,1.520308643421231e-07
1813,1.2365688917270745e-07,1.1790540810352468e-07
1814,3.1466772298927026e-08,1.195737269199526e-07
1815,1.0788894400093341e-07,1.4295284245235962e-07
1816,1.0660977523002657e-07,7.416332437060191e-08
1817,1.479029805295795e-07,1.1053801074467628e-07
1818,1.263644833215949e-07,1.1205906957911793e-07
1819,1.6975721450762649e-07,1.790731687378866e-07
1820,2.0054352489751182e-07,1.4002448267547152e-07
1821,2.238557783584838e-07,2.504818041870749e-07
1822,1.814636476638043e-07,1.6040985428844579e-07
1823,2.203839244430128e-07,1.90735860883251e-07
1824,2.0463303940232436e-07,2.517912776056619e-07
1825,1.7610885549856903e-07,2.025251859549826e-07
1826,2.0874922768143733e-07,3.056370587728452e-07
1827,2.2213627914879908e-07,1.4102427314810484e-07
1828,1.779426384018734e-07,1.3391559150477406e-07
1829,1.6117570567075745e-07,1.285976338749606e-07
1830,2.3169775431597373e-07,1.534214817411339e-07
1831,2.1983601072861347e-07,1.02901957177437e-07
1832,3.3824923661995854e-07,1.204167290325131e-07
1833,2.061885879811598e-07,1.7259606011066353e-07
1834,1.9229133840781287e-07,1.2881652367013885e-07
1835,2.102538445569735e-07,1.64875316954749e-07
1836,2.2917757291907037e-07,2.090153259359795e-07
1837,2.859693211121339e-07,1.384620276212445e-07
1838,2.486991661498905e-07,2.1713836417802668e-07
1839,2.3771015378315496e-07,1.789817645203584e-07
1840,2.1656941839864885e-07,2.579724025508767e-07
1841,2.5361165967296984e-07,8.796151718115652e-08
1842,3.0053027444409963e-07,1.9185638677754469e-07
1843,1.9197460687792045e-07,9.923610377882142e-08
1844,2.612555078940204e-07,2.1021189411385421e-07
1845,2.617126995119179e-07,1.3727360226312157e-07
1846,2.5232901634808513e-07,1.7973319188513415e-07
1847,2.405377870218217e-07,1.564034874945719e-07
1848,2.0756671403887594e-07,1.737767831855308e-07
1849,1.7931948548266519e-07,1.675882970175735e-07
1850,2.1045887876880442e-07,1.6972489902400412e-07
1851,2.4185393954212486e-07,1.631707959859341e-07
1852,1.9010792584595038e-07,1.2044509389852465e-07
1853,2.1200358446549217e-07,1.2421618578173366e-07
1854,1.8548522007222346e-07,1.257350845662586e-07
1855,2.5579436169209657e-07,1.4116452007328917e-07
1856,1.7705987431781978e-07,1.2839429075484077e-07
1857,2.260138671772438e-07,1.1325101212378286e-07
1858,2.8040764732395473e-07,1.0912897607795458e-07
1859,2.413690083358233e-07,9.573285808528453e-08
1860,2.755464834081067e-07,1.1305644420644967e-07
1861,2.5513364221296797e-07,9.243289156302126e-08
1862,2.701755761336244e-07,1.1249785814015922e-07
1863,2.1526815885408723e-07,1.0938219929812476e-07
1864,1.9274806106750475e-07,1.1363505336703383e-07
1865,2.325181043261182e-07,1.294382201422195e-07
1866,1.8781265964662452e-07,1.1823439649560896e-07
1867,1.975094221506879e-07,1.412168160186411e-07
1868,1.709196482124753e-07,1.1855697579221669e-07
1869,2.578498197181034e-07,9.132180878168583e-08
1870,2.746609482073836e-07,1.370437701098126e-07
1871,2.453491845244571e-07,1.678146048789131e-07
1872,2.3645097257940506e-07,9.252428867512208e-08
1873,1.8317173555715272e-07,8.61984617017697e-08
1874,2.24645305024751e-07,7.109785116199419e-08
1875,2.60329471757359e-07,8.010137975134057e-08
1876,1.9286787278360862e-07,6.408775732325012e-08
1877,2.3564149387311772e-07,1.1318213211097827e-07
1878,1.8479610730537388e-07,8.696287778775513e-08
1879,2.0466239902816596e-07,1.0263666183618625e-07
1880,2.2141568933875533e-07,7.508879917850209e-08
1881,1.7849619382559467e-07,1.108628708834658e-07
1882,2.109757133439416e-07,9.783416032860259e-08
1883,2.0790625399058626e-07,1.0174135667284645e-07
1884,1.7428479281988984e-07,6.46966284989503e-08
1885,1.8498974441172322e-07,7.8636752220973e-08
1886,2.0328411665104795e-07,1.0002869288427974e-07
1887,1.6257021684396022e-07,6.137189245691843e-08
1888,2.3333461740548955e-07,1.0525420179874345e-07
1889,1.6978520989141543e-07,5.826577265111155e-08
1890,1.9204352952328918e-07,6.292211196523567e-08
1891,1.4469479481249437e-07,7.394095291601843e-08
1892,1.454294817904156e-07,4.8894396087462155e-08
1893,1.7551487019318301e-07,6.404753349897874e-08
1894,1.909366460495221e-07,9.389293609274318e-08
1895,1.9319752198043716e-07,5.838056083007359e-08
1896,1.9165344156135689e-07,8.78657289149487e-08
1897,1.6489599374835961e-07,9.381008680975356e-08
1898,1.8729154760421807e-07,6.280773590106037e-08
1899,1.1552639023193478e-07,4.864268987603282e-08
1900,1.4119665081580024e-07,6.540727071069341e-08
1901,2.084599657337094e-07,5.309301798206434e-08
1902,1.311045849661241e-07,4.566564015817676e-08
1903,1.6362668020519777e-07,5.8322378038155875e-08
1904,1.3974025137031276e-07,5.105894018697654e-08
1905,1.414047972048138e-07,4.541468001661997e-08
1906,1.574120460645645e-07,6.996091173050445e-08
