year,tout_DET an_NOUN,tout_DET rang_NOUN
1800,9.432493186523061e-08,5.911029461458384e-07
1801,9.048494087338099e-08,5.238601943347021e-07
1802,8.056224487518193e-08,4.5875722776145267e-07
1803,6.241085537261881e-08,5.694990363735997e-07
1804,6.426812215742927e-08,3.633620906384749e-07
1805,8.528633421711618e-08,5.458325063045777e-07
1806,7.20417272503937e-08,6.33967204066721e-07
1807,6.832692633906845e-08,5.238397307039122e-07
1808,8.38447360429484e-08,7.953919975989265e-07
1809,7.454800399209205e-08,6.144563258203561e-07
1810,8.658468830802235e-08,4.2590306748024886e-07
1811,7.521230127593981e-08,4.5879505705670454e-07
1812,5.601137331723294e-08,6.027890435689187e-07
1813,9.489947139229571e-08,4.5724291908300074e-07
1814,1.0069367162302001e-07,8.024026669772866e-07
1815,1.4565007488975823e-07,9.170560133497929e-07
1816,9.270415723960923e-08,5.469545385494712e-07
1817,8.874178414330913e-08,4.359245622254093e-07
1818,6.795070950360582e-08,3.719407288826915e-07
1819,8.073819235399071e-08,4.533760034064471e-07
1820,7.119888678630559e-08,4.449930486316589e-07
1821,6.804427155060466e-08,4.881436552750529e-07
1822,7.920236555492011e-08,4.972705482941819e-07
1823,6.324919477052049e-08,4.457091904441768e-07
1824,8.757956937444078e-08,6.273729127315164e-07
1825,7.660735379388939e-08,6.401556902346783e-07
1826,5.989429308073113e-08,5.496182211572886e-07
1827,6.359918347520477e-08,6.81156507198466e-07
1828,7.246118116643885e-08,5.274073373584542e-07
1829,5.486832571621747e-08,5.624003733828431e-07
1830,7.827626746781391e-08,5.729822873945523e-07
1831,9.510636012066698e-08,5.082733309791365e-07
1832,6.359085902296613e-08,6.088486088628997e-07
1833,6.023486687212198e-08,6.521582918139757e-07
1834,8.961149400299462e-08,5.46070054951997e-07
1835,6.277362984974388e-08,5.158025828677637e-07
1836,4.838940070861497e-08,5.215301825955976e-07
1837,5.21841809764112e-08,4.814860403712373e-07
1838,5.807189129569679e-08,5.049729452366591e-07
1839,7.90036712716713e-08,5.677077865584579e-07
1840,5.5416291111498595e-08,6.025725269864779e-07
1841,6.292137655350416e-08,4.642056694592611e-07
1842,7.043678440510348e-08,4.293289634915709e-07
1843,5.1390125543893106e-08,5.948259627075458e-07
1844,5.982531986470363e-08,6.899121558490151e-07
1845,5.915041817461386e-08,6.590249199689424e-07
1846,6.908311478426299e-08,6.65656784804014e-07
1847,5.123562374365065e-08,5.501088367054763e-07
1848,5.712107536970379e-08,4.714499937108485e-07
1849,5.614207854165443e-08,5.094684070172661e-07
1850,6.11009625117731e-08,5.173214958631434e-07
1851,6.191461188187475e-08,5.378831815505691e-07
1852,5.5990692304774825e-08,5.065204504717258e-07
1853,6.270528363216954e-08,5.22544041814399e-07
1854,5.3515345765919875e-08,5.060577450421988e-07
1855,6.102977678779098e-08,5.402462193160318e-07
1856,6.782117567549761e-08,6.072842779758503e-07
1857,5.9554409848061596e-08,6.12141263900412e-07
1858,4.4532450116374633e-08,6.298160997175728e-07
1859,5.0412515051334594e-08,6.339755600492936e-07
1860,3.936378267788143e-08,5.588741487372317e-07
1861,5.1404003997834735e-08,5.989273859086097e-07
1862,4.337266945597662e-08,4.780029598805413e-07
1863,5.4940829219418674e-08,4.4701855017592607e-07
1864,6.185199019625998e-08,5.686547410732601e-07
1865,5.601144886790976e-08,5.455232781059749e-07
1866,6.033360056001413e-08,4.1892926105902006e-07
1867,6.98804871746006e-08,5.57588066385506e-07
1868,5.532659119733552e-08,3.556709202712227e-07
1869,5.07885999923019e-08,5.098394240121706e-07
