year,fallait_VERB amener_VERB,fallait_VERB ramener_VERB
1800,2.5153315874604232e-08,6.288328968651058e-09
1801,1.4287095950749062e-08,4.7623651688866175e-09
1802,8.951360541686881e-09,4.475680270843441e-09
1803,3.315576790896557e-08,1.950339223455444e-09
1804,1.730295728918918e-08,7.4155526164076946e-09
1805,1.421438877713399e-08,1.9900143755080535e-08
1806,1.152667650217154e-08,0.0
1807,0.0,2.8469551160981155e-09
1808,3.852325747288887e-08,2.7192887941396293e-08
1809,2.259030518203531e-09,1.581321384946932e-08
1810,3.042164919975221e-08,4.680253518074551e-09
1811,3.008491944456182e-08,5.515568801683912e-08
1812,3.7340914360584065e-08,2.6672082320544632e-09
1813,2.0130190847567064e-08,3.4508900625951355e-08
1814,4.405347908686963e-08,6.293354282149721e-09
1815,2.966945977789237e-08,4.315557688983063e-08
1816,5.7940098940889584e-08,6.952811659743929e-09
1817,2.3353100786493997e-08,1.401186100480345e-08
1818,4.530047448270125e-08,3.814776761146277e-08
1819,1.8631890696951814e-08,3.001804671498576e-08
1820,1.6613073583471305e-08,1.6613073583471305e-08
1821,1.8736827200882544e-08,5.9168927535324656e-09
1822,2.5064039732569654e-08,1.604098542884458e-08
1823,1.581229902569703e-08,4.4472091786929013e-08
1824,2.0210670470532932e-08,2.947389532437228e-08
1825,1.4088708866211164e-08,5.283265824829186e-09
1826,2.642395191543301e-09,1.4092774947016551e-08
1827,2.2121454890111636e-08,1.7512819638909605e-08
1828,1.2841221419535032e-08,3.118582370120748e-08
1829,4.372319750700626e-08,5.915491385621863e-08
1830,1.0436835395921662e-08,3.5485243188304594e-08
1831,2.494592976631793e-08,3.741889287312006e-08
1832,1.2176972319366541e-08,1.2176972319366541e-08
1833,2.0850531967653296e-08,1.0425265983826648e-08
1834,2.7070139907436896e-08,4.0138484536100805e-08
1835,1.0588323107185715e-08,2.2689263801112247e-08
1836,2.755507466645213e-08,3.091545153210973e-08
1837,2.0177884252348122e-08,3.409366655660051e-08
1838,3.3454458758797045e-08,3.219202682203104e-08
1839,4.544459031308179e-08,2.9364196407755117e-08
1840,1.7198159341091923e-08,4.267691267045848e-08
1841,4.044945711711989e-08,1.5409316489467528e-08
1842,2.2137275124123335e-08,2.6162233268678392e-08
1843,1.6539351221922516e-08,2.126487963494128e-08
1844,9.879410178825765e-09,3.732221642849254e-08
1845,4.8547981634783355e-08,5.8034370198356555e-08
1846,2.6345256642912318e-08,4.390875929516369e-08
1847,2.6426796750911308e-08,3.55952778363644e-08
1848,3.942158599556933e-08,6.436177102386864e-08
1849,2.0948537127196687e-08,2.011059585527164e-08
1850,2.5119284430275002e-08,1.6972489191857676e-08
1851,3.5471913406581734e-08,5.7400004749297295e-08
1852,1.1718981340891332e-08,4.557381672043448e-08
1853,3.0456853039595444e-08,4.120633079196523e-08
1854,3.533051895487915e-08,2.8056588163849483e-08
1855,2.9188154115900034e-08,2.7065379271107304e-08
1856,3.2616291889553395e-08,2.8992259260007813e-08
1857,2.4407546206361985e-08,1.610898081594314e-08
1858,1.3212924976357954e-08,3.963877404089544e-08
1859,3.055303920973529e-08,5.0412516827691434e-08
1860,3.8448344952257685e-08,4.485640303641958e-08
1861,4.385846352761291e-08,4.810283016354333e-08
1862,1.8975542914745347e-08,3.4336697041226216e-08
1863,1.4983863039219614e-08,1.5982786649715308e-08
1864,2.1096802527154068e-08,2.685047562067666e-08
1865,2.2592853810010638e-08,4.706844336510585e-08
1866,2.7247432754506917e-08,2.8220554781910323e-08
1867,2.426405742994575e-08,3.2513838732484146e-08
1868,1.2843672791973404e-08,4.198892966655876e-08
1869,4.6393431318847433e-08,3.271957993433716e-08
1870,2.1789386295267832e-08,4.472558146062511e-08
1871,2.973929724703339e-08,2.7615060460561835e-08
1872,4.354084381930079e-08,4.2936108002322726e-08
1873,3.591602748542755e-08,1.4366410283628284e-08
1874,2.5093358502203955e-08,2.7483201492373155e-08
1875,3.718992758194872e-08,3.4901315615343265e-08
1876,1.4510435519810017e-08,2.5997863417615008e-08
1877,2.4739264858908427e-08,1.9791411176584006e-08
1878,3.32149880932775e-08,3.200716847118201e-08
1879,1.588424503040642e-08,2.8102896010295808e-08
1880,2.631317030932223e-08,3.016387850607316e-08
1881,2.2312024228199334e-08,1.673401861523871e-08
1882,3.793569547383413e-08,7.320923423037584e-09
1883,1.9589950994713945e-08,2.401348808689363e-08
1884,3.6969503014461225e-08,3.4328824227713994e-08
1885,1.8047780159236027e-08,1.6758653131887513e-08
1886,2.710454793941608e-08,3.355801325710672e-08
1887,3.0685946228459215e-08,2.285123557044244e-08
1888,3.297119732792453e-08,2.7264643875923866e-08
1889,1.9421923624918236e-08,1.9421923624918236e-08
1890,3.2771932723107966e-08,2.3595791986963377e-08
1891,5.035633776628856e-08,2.677172439291553e-08
1892,3.384996816180319e-08,2.2566645441202127e-08
1893,2.7097032173628577e-08,3.7566341148931315e-08
1894,3.4028310835765296e-08,2.6466464575491955e-08
1895,1.9861428057765806e-08,3.8519132772307785e-08
1896,4.422771837653272e-08,3.715128116255073e-08
1897,3.379494017963225e-08,2.7968225069230357e-08
1898,3.055511754723739e-08,1.9804241802034994e-08
1899,3.040167939616367e-08,1.8241008703512307e-08
1900,2.699347589896206e-08,1.7130474816440255e-08
1901,1.676621685930968e-08,3.129693837422565e-08
1902,1.718599307309887e-08,1.0311596021495006e-08
1903,6.318257561588325e-08,2.052083658554693e-08
1904,4.78341632970114e-08,9.13686282189019e-09
1905,2.4771644291377015e-08,1.3934049469810361e-08
1906,2.8807432883581896e-08,1.0802787109298606e-08
1907,2.3142794347563722e-08,3.9085609415678846e-08
1908,2.6030361865991836e-08,3.3397444809679655e-08
1909,3.080550925460557e-08,1.4852655993990993e-08
1910,3.5271394693836555e-08,2.137660359835536e-08
1911,2.926205766584644e-08,1.276889793899727e-08
1912,2.9693701719679666e-08,2.917275843117295e-08
1913,1.856046338843953e-08,1.856046338843953e-08
1914,1.4063162190325329e-08,1.6741859454327823e-08
1915,2.3561524287174507e-08,4.712304768617059e-09
1916,5.7134801778602196e-08,1.8678685265172135e-08
1917,5.263883906536648e-08,2.52227767560953e-08
1918,3.445912710731136e-08,2.412139110674616e-08
1919,2.4861190439651182e-08,2.8544329566670967e-08
1920,1.8930579770426448e-08,2.6502810612782923e-08
1921,3.180553775905537e-08,2.6504615391331754e-08
1922,3.024953443286904e-08,1.9182632371439468e-08
1923,3.503262746562541e-08,3.503262746562541e-08
1924,2.5783249313349188e-08,1.1602462102189293e-08
1925,2.74954441437103e-08,1.9796720707176974e-08
1926,1.7833821530643945e-08,2.5636119005412183e-08
1927,3.9022285847067906e-08,1.4493992672726108e-08
1928,2.170947865920425e-08,1.1426041446327417e-08
1929,1.2254447234738564e-08,2.785101571589621e-08
1930,2.941009036305786e-08,3.046045193855207e-08
1931,2.8513390759599133e-08,3.649714130915527e-08
1932,2.520693342944469e-08,8.767629289252454e-09
1933,2.408838994938378e-08,2.523545639121494e-08
1934,2.875579241390369e-08,2.036868629318178e-08
1935,1.555876849579363e-08,2.393656828303392e-08
1936,1.091224355320719e-08,1.6974599503782883e-08
1937,2.1404900962807005e-08,2.7700460591972842e-08
1938,2.463390735840676e-08,2.5930429359277696e-08
1939,2.7529290846928234e-08,1.5294050470515685e-08
1940,2.2822046474857416e-08,1.0143131667916805e-08
1941,2.3612020783048138e-08,2.9515025978810172e-09
1942,1.517105907566929e-08,3.034211815133858e-08
1943,1.7419411690866582e-08,1.4516175816936538e-08
1944,3.213186161588055e-08,3.213186161588055e-08
1945,6.317661416233022e-08,2.832055301382752e-08
1946,4.1763314584386535e-08,3.6194869323935563e-08
1947,2.5033829231801974e-08,1.6689218895749036e-08
1948,2.5005341797168512e-08,2.8266908813634473e-08
1949,2.2579119018928395e-08,2.3560819073509265e-08
1950,3.616023036556726e-08,1.595304155443955e-08
1951,3.838104589704017e-08,8.529121409139861e-09
1952,1.687168627029223e-08,1.7926167217297007e-08
1953,3.3398865895151175e-08,2.477980309834038e-08
1954,3.127211556375187e-08,2.443134050622575e-08
1955,1.783265446420046e-08,2.1586897602787758e-08
1956,2.441919733087161e-08,1.744228228517386e-08
1957,2.1204090927540165e-08,2.9155623693100097e-08
1958,2.4816730004317833e-08,2.3989505493204888e-08
1959,1.7826719656000023e-08,8.525822714489095e-09
1960,2.0070416439921246e-08,1.6610000486139143e-08
1961,2.223410966450956e-08,2.36237411854745e-08
1962,2.473363025501385e-08,1.8391673961559718e-08
1963,3.103705381590771e-08,2.133797494252576e-08
1964,1.8251904876365188e-08,2.494427064902993e-08
1965,1.7510538796727815e-08,1.1491291473930687e-08
1966,2.547974453648294e-08,1.4401594583546284e-08
1967,2.5637744371920235e-08,2.070740912074598e-08
1968,2.4702787371211343e-08,2.649935382237345e-08
1969,2.361714024345929e-08,1.9529558414888015e-08
1970,2.6212733317265702e-08,2.5292987260172595e-08
1971,2.4664307929356255e-08,1.5929032315398217e-08
1972,2.1033601527165047e-08,1.898154344814884e-08
1973,1.874489363729026e-08,1.7642252103655665e-08
1974,1.9689501584707614e-08,1.6314157136321228e-08
1975,1.770558810676448e-08,2.341706917263764e-08
1976,2.742492810625663e-08,1.8854638739185248e-08
1977,2.2331770210826107e-08,1.057820764316375e-08
1978,1.6633656230169436e-08,2.4950484345254154e-08
1979,2.57486831856113e-08,1.287434159280565e-08
1980,1.9329512213062117e-08,1.3644362084619388e-08
1981,1.8976647808699454e-08,1.707898356073656e-08
1982,2.6071509395819703e-08,1.2415004135846175e-08
1983,2.462973291983417e-08,2.3366668600033336e-08
1984,2.145633182237816e-08,2.551563760277986e-08
1985,2.3460676956688076e-08,2.045289804186723e-08
1986,1.3187867686781374e-08,1.6784559520033326e-08
