year,pouvait_VERB envoyer_VERB,pouvait_VERB renvoyer_VERB
1800,1.5720821977538435e-07,1.8864987794131594e-08
1801,1.1905912700171939e-08,4.7623651688866175e-09
1802,8.951360541686881e-09,4.475680270843441e-09
1803,2.9255089017965474e-08,0.0
1804,1.0134588990240445e-07,0.0
1805,3.1271653710973624e-08,3.695740957709859e-08
1806,2.881669125542885e-08,0.0
1807,4.27043254092041e-08,1.4234775136401367e-08
1808,3.852325747288887e-08,1.1330369531492579e-08
1809,1.3328279635516083e-07,4.518061036407062e-09
1810,2.3401266702194334e-08,4.680253518074551e-09
1811,8.524060746140094e-08,7.521229861140455e-09
1812,1.1202274663446588e-07,1.8670457180292033e-08
1813,6.326631307729258e-08,1.7254450312975678e-08
1814,8.181360300341112e-08,9.440030979135372e-09
1815,1.348611817775236e-07,4.8550024445148665e-08
1816,3.476405652236281e-08,4.6352077731626196e-09
1817,9.49692804397273e-08,7.784366928831332e-09
1818,8.940882878505363e-08,1.3113295338484932e-08
1819,1.1282644862831148e-07,3.1053151161586356e-09
1820,1.376511846729045e-07,9.493184904840746e-09
1821,6.7058117281249e-08,2.9584463767662328e-09
1822,7.318699601910339e-08,2.0051231786055723e-08
1823,1.0574474629265751e-07,1.7788837070042973e-08
1824,1.0947446327236321e-07,3.621078548121659e-08
1825,1.6554233184251643e-07,2.201360693732113e-08
1826,1.964180569302698e-07,3.52319382557198e-08
1827,1.308852830561591e-07,2.949527377893446e-08
1828,1.2199160437376122e-07,2.0179061976932644e-08
1829,2.2290257106760691e-07,2.5719527840806222e-08
1830,1.1584887715798686e-07,1.2524203008013046e-08
1831,9.510635834431014e-08,3.1182413096075834e-08
1832,9.8768779821512e-08,3.5177919244233635e-08
1833,1.0656938087549861e-07,4.865124125785769e-08
1834,1.0081293311259287e-07,3.173740381612333e-08
1835,4.310960122211327e-08,1.5126175867408165e-08
1836,1.4315197915948374e-07,1.68018754465038e-08
1837,6.331680424409569e-08,1.8090515752078318e-08
1838,9.405120948713375e-08,1.7674054220151447e-08
1839,1.0836786401569043e-07,2.307186797168015e-08
1840,1.4713981499880902e-07,3.4396318682183846e-08
1841,7.57624718517036e-08,2.8250413564023802e-08
1842,1.18065464960182e-07,3.219967226186782e-08
1843,8.742228629898818e-08,2.3036953678001737e-08
1844,1.1800406696238497e-07,2.4149668931272572e-08
1845,1.4452790253471903e-07,3.682950477923441e-08
1846,7.669396495657566e-08,3.1614305839866574e-08
1847,1.0139260098185332e-07,3.721324404182269e-08
1848,1.1424214818589462e-07,3.942158599556933e-08
1849,1.4328799124996294e-07,6.284561493430374e-08
1850,1.0455053711666551e-07,2.7834882843080777e-08
1851,1.3285843181165546e-07,2.5152811389261842e-08
1852,8.659025496626782e-08,1.9531636752390114e-08
