year,devrait_VERB avoir_VERB
1800,5.439404731077957e-07
1801,5.476720161823323e-07
1802,5.035140020481776e-07
1803,4.427270141604822e-07
1804,5.635820343741216e-07
1805,4.150601569108403e-07
1806,5.993871923237748e-07
1807,5.43768408078904e-07
1808,7.319418955376022e-07
1809,3.95330346236733e-07
1810,6.084329697841895e-07
1811,4.938941060572688e-07
1812,7.734903988421138e-07
1813,9.461189733883657e-07
1814,8.055493481151643e-07
1815,7.039753313620167e-07
1816,6.303882855718257e-07
1817,6.258630946831545e-07
1818,5.972509597995668e-07
1819,7.266436909958429e-07
1820,7.167354851844721e-07
1821,1.0157333463212126e-06
1822,8.160851621141774e-07
1823,6.987059464336198e-07
1824,6.560046585946111e-07
1825,8.558890840504318e-07
1826,9.715206488181138e-07
1827,9.991523484131903e-07
1828,9.098922646444407e-07
1829,1.1213713833058137e-06
1830,1.101086127164308e-06
1831,1.1942863693548134e-06
1832,1.1256934158154763e-06
1833,1.3147417803338612e-06
1834,9.735915682540508e-07
1835,9.869829682429554e-07
1836,9.375446552439826e-07
1837,9.483605367677228e-07
1838,8.887524245437817e-07
1839,9.54336314862303e-07
1840,9.688296813692432e-07
1841,1.0754419008662808e-06
1842,1.0981430023093708e-06
1843,1.1855170214403188e-06
1844,1.2173628647360601e-06
1845,1.1472948244772851e-06
1846,1.053810251505638e-06
1847,1.1401274377931259e-06
1848,1.2993033351449412e-06
1849,1.1831733672806877e-06
1850,9.952668733603787e-07
1851,1.198305767502461e-06
1852,1.022806713990576e-06
1853,9.029561169882072e-07
1854,1.0038023674496799e-06
1855,9.579021025274415e-07
1856,1.0587351653157384e-06
1857,8.679323286742147e-07
1858,1.1035239140255726e-06
1859,9.619114962333697e-07
1860,1.082961716747377e-06
1861,1.0936320222754148e-06
1862,9.98475002234045e-07
1863,1.0978176305798115e-06
1864,1.0644296253303764e-06
1865,1.0778674095490715e-06
1866,9.682569270808017e-07
1867,1.1370137826816062e-06
1868,1.232004592566227e-06
1869,1.126139522966696e-06
1870,1.178347019958892e-06
1871,1.2713549040199723e-06
1872,1.1870927210111404e-06
1873,1.1211786841158755e-06
1874,1.093950913855224e-06
1875,1.1746295740522328e-06
1876,1.2605941037691082e-06
1877,1.1825368346762843e-06
1878,1.0242293910778244e-06
1879,1.1736013902918785e-06
1880,1.2418532833180507e-06
1881,1.036114667840593e-06
1882,1.067523726305808e-06
1883,1.1267380841673003e-06
1884,1.1374723953849752e-06
1885,1.1131612609460717e-06
1886,1.00093222954456e-06
1887,1.143214717558294e-06
1888,1.0874153986151214e-06
1889,1.0938928198811482e-06
1890,1.2630302990146447e-06
1891,1.1448099712652038e-06
1892,1.097616518563882e-06
1893,1.1251427167735528e-06
1894,1.1481404271762585e-06
1895,1.0701096471166238e-06
1896,1.1805851727331174e-06
1897,1.2346805533525185e-06
1898,1.3449910056806402e-06
1899,1.1718466339516453e-06
1900,1.2879003179477877e-06
