year,peuvent_VERB assurer_VERB,peuvent_VERB rassurer_VERB
1800,1.9493819536364754e-07,3.144164395507687e-08
1801,1.6668278135512082e-07,9.524730337773235e-09
1802,1.7231369042747247e-07,1.1189200677108602e-08
1803,2.652461432717246e-07,9.751696339321825e-09
1804,1.8291696335381857e-07,2.2246657849223084e-08
1805,1.449867568226182e-07,2.842877711017877e-09
1806,2.305335300434308e-07,0.0
1807,2.1921555060089304e-07,2.8469551160981155e-09
1808,1.744876954035135e-07,1.3596443970698147e-08
1809,1.6942729530455836e-07,9.036122072814123e-09
1810,1.7550951270095538e-07,9.360507036149102e-09
1811,1.579458341893769e-07,3.008491944456182e-08
1812,6.401299401659344e-08,1.8670457180292033e-08
1813,1.984261785992203e-07,2.8757416448144113e-09
1814,2.234140765722259e-07,9.440030979135372e-09
1815,2.346584437873389e-07,2.4275012222574333e-08
1816,1.4600904307826568e-07,4.6352077731626196e-09
1817,1.7748357095115352e-07,1.401186100480345e-08
1818,2.2531025933858473e-07,1.4305412854298538e-08
1819,2.3910925506243075e-07,2.898294049202832e-08
1820,2.764890041362378e-07,1.779972080839798e-08
1821,1.8145138369618508e-07,4.930744257336528e-09
1822,1.8948414037822658e-07,2.90742860897808e-08
1823,1.7393529105902417e-07,1.2847492847356534e-08
1824,2.147383781903045e-07,8.421112696055388e-09
1825,2.298220636021142e-07,4.4027217427355936e-09
1826,1.8232528020689642e-07,2.9947145208097936e-08
1827,2.0646692178161175e-07,1.7512819638909605e-08
1828,2.2747306616111018e-07,1.1923991571904935e-08
1829,2.074708618238219e-07,1.0287811491593857e-08
1830,2.0560567293159693e-07,7.305785310052215e-09
1831,1.559120619276655e-07,1.091384405071949e-08
1832,1.718306066322839e-07,1.6235963684607668e-08
1833,1.586957125709887e-07,9.266902800675325e-09
1834,2.1749457346231793e-07,2.8003592333902816e-08
1835,1.6260639768006513e-07,2.0420337421001022e-08
1836,1.6129800428643648e-07,4.704525213838906e-09
1837,1.899504269431418e-07,1.3219993100221927e-08
1838,1.9062728995322686e-07,4.418513555037862e-09
1839,2.2232890728446364e-07,6.292327547896548e-09
1840,2.0828882441037422e-07,8.917564464638872e-09
1841,1.8683796554341825e-07,3.0818632978935057e-08
1842,2.032604271562377e-07,4.695785538189057e-09
1843,1.7366318161293748e-07,1.0041748765843295e-08
1844,1.6465683927435748e-07,2.030767731753258e-08
1845,2.34369579743543e-07,1.7298706467272496e-08
1846,1.9436944853623572e-07,1.3465353276842507e-08
1847,2.0116723931096203e-07,1.88762818709165e-08
1848,2.3733403509140771e-07,1.930853166243196e-08
1849,1.6004682379389124e-07,5.865590679832167e-09
1850,1.8873409146635822e-07,4.073397619208663e-09
1851,1.9477305102100217e-07,1.5478653025979838e-08
1852,2.2721803816239117e-07,1.5625309046640723e-08
1853,2.2335025562369992e-07,1.0749477752369785e-08
1854,2.0834615099829534e-07,1.8184826089395756e-08
1855,1.4594077413221385e-07,1.1144567935161831e-08
1856,1.568688361430759e-07,1.2425253714809514e-08
1857,1.913551557208848e-07,1.2691923956253959e-08
1858,1.1255454523961816e-07,1.1744822003834088e-08
1859,1.6651407008794195e-07,1.7313389832906978e-08
1860,1.922417283140021e-07,8.238931314963338e-09
1861,2.2353668782670866e-07,1.3204698667834691e-08
1862,2.132489527184589e-07,1.445755604123633e-08
1863,2.012832140962928e-07,1.3485475847119233e-08
1864,1.7644599381583248e-07,1.726102105692462e-08
1865,1.9062719047724386e-07,6.589582213223366e-09
1866,1.5472649295134033e-07,1.0704348518686402e-08
1867,1.9314190069508186e-07,7.279217228983725e-09
1868,2.3415003624904784e-07,8.89177353968762e-09
1869,1.7922515382906568e-07,4.395167341186834e-09
1870,2.6089921334460087e-07,1.548193218070537e-08
1871,3.3669132903924037e-07,1.911811864374613e-08
1872,1.9109592130917008e-07,3.0236697590169115e-09
1873,1.7898153714668297e-07,8.380406590902112e-09
1874,2.461538883835601e-07,1.7923827755339516e-08
1875,2.3057754106048378e-07,1.1443054503956773e-08
1876,2.8234887849976076e-07,4.232210137899983e-09
1877,2.4615567895125423e-07,8.040260901509555e-09
1878,2.2344627836901054e-07,1.2078177569208037e-08
1879,1.6800645141756831e-07,6.720257683667796e-09
1880,2.111471388843711e-07,3.8507077526617195e-09
1881,2.070834739242855e-07,1.045876096839038e-08
1882,2.003270935801993e-07,1.9966155395678697e-09
1883,1.516641390253426e-07,7.58320695126713e-09
1884,1.954102231138677e-07,1.3203393933736152e-08
1885,1.540506957553589e-07,3.2228177904158883e-09
1886,1.8715044802775083e-07,1.936039106809062e-09
1887,1.867272487743321e-07,9.793386546164129e-09
1888,1.6041755657170143e-07,8.242799331981132e-09
1889,1.804359328616556e-07,1.8795409673089125e-08
1890,2.1629475099871343e-07,4.5880703680722945e-09
1891,2.371209859575174e-07,1.9122659011827636e-09
1892,1.542054093306433e-07,1.191017329205124e-08
1893,1.8967922699175688e-07,4.926733243593162e-09
1894,1.6257970969490998e-07,1.2603078580752936e-09
1895,1.889845009372948e-07,5.416753268150387e-09
1896,1.828078950438794e-07,1.2973464080801023e-08
1897,2.033523003319715e-07,5.2440420894583895e-09
1898,2.3538756011021178e-07,6.224190496340043e-09
1899,1.9788730298841983e-07,8.291367592505594e-09
1900,1.8324418249449081e-07,3.114631885736685e-09
1901,2.391980160609819e-07,8.38310842965484e-09
1902,1.8757283726245078e-07,6.874397495693074e-09
1903,2.3598963139193074e-07,3.7801539676252105e-09
1904,2.526073785702465e-07,1.0211787859759625e-08
1905,2.91582892941733e-07,1.3934049469810361e-08
1906,2.443487687742163e-07,0.0
1907,2.1651371184816526e-07,3.0857059130084963e-09
1908,2.3378211722047126e-07,1.4734167219643268e-09
1909,2.6789788876158127e-07,7.151278680339601e-09
1910,2.6026015120805823e-07,7.481810726517324e-09
1911,2.4367312789763673e-07,3.1922244847493175e-09
1912,2.5369880063408345e-07,4.167536982180309e-09
1913,2.354527453007904e-07,7.954484182448596e-09
1914,2.122867783782567e-07,1.4732836284281348e-08
1915,2.9805326562382106e-07,2.3561523843085297e-09
1916,2.3183544328730932e-07,3.2962386153911893e-09
1917,2.5332440145575674e-07,3.289927441585405e-09
1918,2.4695708589206333e-07,1.4932290071101306e-08
1919,2.7991859496978577e-07,1.6574126959767455e-08
1920,2.491264297077578e-07,1.0601124422748853e-08
1921,2.529297660203156e-07,8.330022005509363e-09
1922,2.3092938761237747e-07,7.377935595798135e-09
1923,2.1444215292376612e-07,5.307974060286824e-09
1924,2.1271179662107897e-07,3.867487219366694e-09
1925,2.2656246301266947e-07,1.0998177923937646e-09
1926,2.0508895204329747e-07,5.57306911730393e-09
1927,2.7092616505797196e-07,1.1149224876660924e-09
1928,2.4680250021447137e-07,4.570416489713125e-09
1929,2.0275540180136886e-07,0.0
1930,2.468346735895466e-07,0.0
1931,2.668853369414137e-07,7.983749661377715e-09
1932,2.2467050087016105e-07,0.0
1933,2.9020776537436177e-07,5.735331320977366e-09
1934,2.432260828300059e-07,1.1981580172459871e-09
1935,2.2261008325585863e-07,4.787313656606784e-09
1936,2.2551968470452266e-07,1.2124714565686645e-09
1937,2.581179217031604e-07,1.2591118148108649e-09
1938,2.593043006982043e-07,5.186085783037697e-09
1939,2.538812395869172e-07,7.647025235257843e-09
1940,2.0032685199566913e-07,0.0
1941,2.095566884463551e-07,0.0
1942,1.8205270180260413e-07,3.034211770724937e-09
1943,2.3225881307098462e-07,0.0
1944,2.1849666609341512e-07,3.2131861615880553e-09
1945,2.8756252845596464e-07,0.0
1946,2.3805088744666136e-07,2.7842208538686464e-09
1947,2.3007281413356395e-07,4.7683483828109274e-09
1948,3.0006410156602215e-07,3.2615663503321457e-09
1949,3.04327244293745e-07,1.9634016634739737e-09
1950,2.403591565780516e-07,1.0635361480382244e-09
1951,2.697334764434345e-07,0.0
1952,2.7732835405913647e-07,3.1634410646574906e-09
1953,2.855064167306409e-07,4.3095309543161875e-09
1954,2.9024431569268927e-07,5.863521668203475e-09
1955,2.2900883323018206e-07,5.631364707880948e-09
1956,2.991351664149988e-07,6.976913269340912e-09
1957,2.906727445406432e-07,8.835037701437898e-10
1958,3.747326218217495e-07,3.3088973783179654e-09
1959,3.038293243662338e-07,6.975672928177801e-09
1960,2.685283391201665e-07,0.0
1961,2.807056205256231e-07,4.16889545107324e-09
1962,2.9870614071114687e-07,5.0735651235811474e-09
1963,3.019646896973427e-07,3.2330267352165265e-09
1964,2.9507245358217915e-07,4.258777774879263e-09
1965,2.6758291937767353e-07,3.2832261354087677e-09
1966,2.891397059556766e-07,3.3234448526542337e-09
1967,3.056807997836586e-07,6.902469706915326e-09
1968,2.7622206744126743e-07,5.3896989093971115e-09
1969,3.342733805311582e-07,4.995933444718048e-09
1970,3.315680601190252e-07,3.6789800095249348e-09
1971,3.4838333817788225e-07,1.2332153964678128e-08
1972,2.86775218683033e-07,5.130146973897354e-09
1973,2.7180095685253036e-07,6.615844760915479e-09
1974,3.088438802478777e-07,2.2502286700643026e-09
1975,2.93570082021688e-07,3.4268881066168433e-09
1976,2.879617682083335e-07,5.713526984862938e-09
1977,2.8032249588250124e-07,4.7014254711541525e-09
1978,2.952473892037233e-07,5.346532105932056e-09
1979,2.762131430245063e-07,5.266775904289034e-09
1980,2.8425753839655954e-07,4.548120546843393e-09
1981,2.745288441019511e-07,4.427884725544118e-09
1982,2.9423560476971033e-07,4.345251713999687e-09
1983,2.740847264703916e-07,4.4207211225000265e-09
1984,2.574759889739653e-07,9.858314165001048e-09
1985,2.791219060327421e-07,2.4062232206745193e-09
1986,2.901331015436881e-07,5.994485352545098e-09
1987,2.7254242240815074e-07,3.6664902225425067e-09
1988,2.5425387661925924e-07,8.395175221664886e-09
1989,2.8757759196196275e-07,3.2928733073589456e-09
1990,2.6044551759696333e-07,5.993515905799995e-09
1991,2.4911227569646144e-07,4.10302547493302e-09
1992,2.529064317968732e-07,3.30596661157756e-09
