year,ait_VERB assuré_VERB,ait_VERB rassuré_VERB
1800,1.6349655140857067e-07,1.5720821977538435e-08
1801,1.1905913055443307e-07,0.0
1802,1.096541666356643e-07,0.0
1803,6.046051481689574e-08,0.0
1804,9.39303390623536e-08,0.0
1805,2.2743021688143017e-08,0.0
1806,7.780506905419315e-08,0.0
1807,1.0249038240317532e-07,0.0
1808,6.345007363961486e-08,2.2660739951163578e-09
1809,1.3780086760561971e-07,0.0
1810,1.2870697219113936e-07,0.0
1811,4.763445815569867e-08,0.0
1812,1.3336041604361526e-07,0.0
1813,1.7542024011163448e-07,0.0
1814,7.552024783308298e-08,0.0
1815,9.979726911524267e-08,0.0
1816,5.3304887615013286e-08,0.0
1817,1.292204956371279e-07,0.0
1818,1.0490636270787945e-07,0.0
1819,4.7614829412623294e-08,0.0
1820,8.543866414356671e-08,0.0
1821,6.01550809165019e-08,9.86148829262845e-10
1822,8.120748873352568e-08,0.0
1823,6.423746157224741e-08,0.0
1824,9.431646219582035e-08,0.0
1825,6.868245350233337e-08,0.0
1826,4.1397527184017235e-08,0.0
1827,9.493790997794349e-08,0.0
1828,7.979902250099258e-08,0.0
1829,9.344761764396026e-08,0.0
1830,4.383471008395645e-08,0.0
1831,1.2317052267007966e-07,0.0
1832,4.329590197471589e-08,0.0
1833,4.2859426230279496e-08,2.3167257001688313e-09
1834,3.640467127752345e-08,0.0
1835,4.159698363537245e-08,7.563087933704082e-10
1836,2.352262562510532e-08,0.0
1837,4.731365876864402e-08,1.461157062010443e-08
1838,8.584540012179787e-08,2.5248647617104325e-09
1839,6.85164565084051e-08,4.894032734625853e-09
1840,3.121147429396842e-08,4.458782232319436e-09
1841,4.1091510638580075e-08,6.420548537278137e-10
1842,5.433694738599115e-08,6.708265054555795e-10
1843,3.9576303123567413e-08,5.906911071384968e-10
1844,2.7991662321369404e-08,0.0
1845,6.528866691724033e-08,5.580227946389016e-10
1846,5.854501239355159e-08,5.269050973311096e-09
1847,7.388716483092139e-08,5.393223645455691e-10
1848,2.815827571112095e-08,5.63165514222419e-09
1849,3.77073661184113e-08,0.0
1850,4.752297400045791e-08,6.788996032014438e-10
1851,4.6435957301582675e-08,0.0
1852,3.190167419120371e-08,0.0
1853,2.329053394589664e-08,0.0
1854,5.455447649183043e-08,0.0
1855,5.519214596461097e-08,0.0
1856,5.332504926514048e-08,1.5531567143511893e-09
1857,2.5871997877402464e-08,2.9289055625270066e-09
1858,4.1106879677954566e-08,9.787352039936081e-10
1859,6.161529597648041e-08,2.5460866748261424e-09
1860,4.2567808833382514e-08,0.0
1861,4.7631232291678316e-08,7.545541969022906e-09
1862,4.066187742068905e-08,2.2589932147099034e-09
1863,3.646073309937492e-08,0.0
1864,4.267307929239905e-08,0.0
1865,4.5185707620021276e-08,3.294791106611683e-09
1866,4.6223323835192787e-08,0.0
1867,3.494024269912188e-08,9.7056229719783e-10
1868,4.297690381349639e-08,0.0
1869,1.5138908793232986e-08,2.441759683335931e-09
1870,5.447346396181274e-08,0.0
1871,5.098165090089424e-08,0.0
1872,2.9027228620748247e-08,7.256807155187062e-09
1873,2.1549615425442425e-08,0.0
1874,3.4055272379873713e-08,0.0
1875,3.833423178889461e-08,5.721527140956084e-10
1876,1.934724735974669e-08,3.627608879952504e-09
1877,2.040989244278535e-08,6.184815992682502e-10
1878,3.985798358030479e-08,0.0
1879,3.4823152361695975e-08,1.832797580370027e-09
1880,3.016387850607316e-08,0.0
1881,5.2293806618308736e-08,6.972507571312292e-10
1882,3.7270154962243396e-08,0.0
1883,3.917990198942789e-08,6.319338941018771e-10
1884,4.291102939646407e-08,0.0
1885,4.5119449509911647e-08,0.0
1886,4.840097744818195e-08,2.5813855497602844e-09
1887,3.590908548289917e-08,0.0
1888,2.6630582183884144e-08,0.0
1889,5.5133202891965993e-08,0.0
1890,3.6704562944578356e-08,1.3108772956016423e-09
1891,2.995883363610119e-08,1.2748440081367107e-09
1892,2.820830502514582e-08,0.0
1893,3.510297474917934e-08,0.0
1894,2.3315696040526745e-08,1.2603078580752936e-09
1895,3.972285611553161e-08,1.2037228991346183e-09
