year,faut_VERB acheter_VERB,faut_VERB racheter_VERB
1800,1.760732146749433e-07,1.2576657937302116e-08
1801,1.7620750725200196e-07,1.904946067554647e-08
1802,1.5888664961494214e-07,0.0
1803,8.776526527753958e-08,2.3404069793286908e-08
1804,1.7550141251376772e-07,0.0
1805,6.254330742194725e-08,2.842877711017877e-09
1806,1.2103009794373065e-07,0.0
1807,1.679703558465917e-07,8.540865792383556e-09
1808,1.5635910699529632e-07,1.5862518409903714e-08
1809,8.132509776714869e-08,4.518061036407062e-09
1810,1.661489932303084e-07,3.042164919975221e-08
1811,9.777599530025327e-08,0.0
1812,1.9203899626063503e-07,1.3336041604361526e-08
1813,1.322841143291953e-07,1.1502966579257645e-08
1814,1.4160046646338742e-07,9.440030979135372e-09
1815,6.47333635583891e-08,2.697223555614414e-09
1816,1.0892738089296472e-07,2.5493642752394408e-08
1817,2.16405396713526e-07,2.9580593974287694e-08
1818,1.966994318536308e-07,2.026600220972341e-08
1819,1.656167967212241e-07,1.0351049795076506e-08
1820,1.76810573293551e-07,4.746592452420373e-09
1821,1.5285306176338054e-07,7.88919063410276e-09
1822,1.4136118409169285e-07,1.604098542884458e-08
1823,1.0179167730939298e-07,0.0
1824,1.3894836570216285e-07,6.736890156844311e-09
1825,1.40887095767539e-07,1.4969252504215547e-08
1826,1.1890779205714352e-07,8.807984341885344e-10
1827,1.1337245808817897e-07,5.530363722527909e-09
1828,1.3850174696017348e-07,1.834460228167245e-08
1829,1.4574399642697244e-07,4.286587973467704e-09
1830,1.7846988953351683e-07,6.262101504006523e-09
1831,6.704218691311326e-08,1.4032085715598441e-08
1832,1.569476495433264e-07,1.3529969367098715e-09
1833,1.2741990929043823e-07,2.0850531967653296e-08
1834,1.474855935157393e-07,1.3068342852307069e-08
1835,1.64875316954749e-07,1.5882484660778573e-08
1836,1.7473949753821216e-07,4.032449929525228e-09
1837,1.050641529332097e-07,4.87052354003481e-09
1838,1.1109405306797271e-07,3.787297142565649e-09
1839,9.158832625644209e-08,2.0974426639952526e-09
1840,1.4522889557611052e-07,9.554533164646273e-09
1841,1.4895672961756645e-07,1.6051371787284552e-08
1842,1.2812786565064016e-07,1.341653010911159e-08
1843,1.494448440553242e-07,1.4767278067040479e-08
1844,1.4489802424577647e-07,5.488561161115513e-09
1845,1.1830083224140253e-07,6.696273757711424e-09
1846,1.5982789136614883e-07,9.367202125076801e-09
1847,1.224261723109521e-07,4.853901280910122e-09
1848,1.4964112438065058e-07,1.689496542667257e-08
1849,7.792856138166826e-08,4.1897072478036534e-09
1850,9.504594800091581e-08,5.431196825611551e-09
1851,1.4382248991751112e-07,7.094382858952031e-09
1852,1.718783977366911e-07,6.510545436100301e-09
1853,1.379516305632933e-07,5.971931837933653e-09
1854,1.782112946102643e-07,1.3508727469968562e-08
1855,1.416952244426284e-07,9.552486801567284e-09
1856,1.3201832871345687e-07,3.1063134287023786e-09
1857,1.4254005975544715e-07,1.610898081594314e-08
1858,1.394697619616636e-07,1.8595969208945462e-08
1859,1.1559233570324068e-07,1.5785737161877478e-08
1860,1.3456920555654506e-07,1.4646988510946812e-08
1861,1.325185792211414e-07,4.2443675241088386e-09
1862,1.2108203861771472e-07,2.4397126097142063e-08
1863,1.4883970322898676e-07,2.1476870060155306e-08
1864,1.1027874080582478e-07,7.671564716815737e-09
1865,1.3979327206925518e-07,1.8827376990770972e-08
1866,1.0315099530089356e-07,1.702964524952222e-08
1867,1.218055700746845e-07,1.747012134956094e-08
1868,1.4276236015575705e-07,1.1361710683388537e-08
1869,1.1427434998267927e-07,8.790334682373668e-09
1870,9.23181886491875e-08,1.204150201772336e-08
1871,9.134212319850121e-08,2.1242353653860846e-08
1872,7.49870068261771e-08,2.3584624031514068e-08
1873,8.679706553493816e-08,2.6937019725892242e-08
1874,1.0515311998915422e-07,7.766991494406739e-09
1875,1.0928116722652703e-07,1.3731664694205392e-08
1876,1.07619065659037e-07,1.3905833817773328e-08
1877,1.3915835950228939e-07,1.2988113695655557e-08
1878,1.4433422279580554e-07,1.268208649207736e-08
1879,1.0263666183618625e-07,3.5434087664043545e-08
1880,1.0204375655575859e-07,2.3746030919369332e-08
1881,8.576184029607248e-08,6.9725074602899895e-09
1882,1.1646923780972429e-07,8.652000893505374e-09
1883,1.2954645001173049e-07,1.9589950994713945e-08
1884,1.2015088657335582e-07,1.3203393933736152e-08
1885,1.1408775435484131e-07,7.090199094506033e-09
1886,6.905206362262106e-08,1.613365974151293e-08
1887,8.944626728180083e-08,1.9586774424595887e-09
1888,8.940266837953459e-08,1.0779045211961602e-08
1889,1.2780878932971973e-07,2.1301465480405568e-08
1890,1.2518877667844208e-07,2.0974036729626278e-08
1891,1.0836173913730818e-07,1.211101796627645e-08
1892,1.7113038097704703e-07,1.191017329205124e-08
1893,1.1577822789377024e-07,3.079208221734575e-09
1894,1.0964678409663975e-07,8.192000855444803e-09
1895,8.245501703640912e-08,1.6852119699706236e-08
1896,1.0673622341528244e-07,1.7691086373616827e-09
1897,9.672344702948976e-08,4.661370844871726e-09
1898,1.1939128796711884e-07,9.05336783318944e-09
1899,9.286331703606265e-08,4.4220627160029835e-09
1900,1.0849301190773986e-07,1.2977633190303095e-08
1901,1.1512802444713088e-07,5.58873880507349e-09
1902,8.494791359225928e-08,8.838511256215043e-09
1903,9.936405120924974e-08,1.5120615870500842e-08
1904,1.150169808283863e-07,1.3974025492302644e-08
1905,1.1353670004154992e-07,1.3417973399043603e-08
1906,1.1831624391334117e-07,1.594697174311932e-08
1907,1.0799971050801105e-07,2.4171363577352167e-08
1908,1.345720619383428e-07,2.0136695866312948e-08
1909,1.0726918020509402e-07,6.0510818578052294e-09
1910,9.566029746110871e-08,1.4429207162436342e-08
1911,9.84269235004831e-08,4.788336838146279e-09
1912,1.0627219637626695e-07,3.646594803896619e-09
1913,1.2249905978478637e-07,1.1666577037772186e-08
1914,8.036092680185902e-08,2.0090231700464756e-08
1915,1.1191723814363286e-07,7.068456930880984e-09
1916,9.55909200683891e-08,2.197492321442951e-08
1917,1.6120644374950643e-07,2.1932848426331475e-08
1918,1.0797193539247019e-07,3.445912710731136e-08
1919,1.436424383882695e-07,1.5653341733923298e-08
1920,1.6280297643334052e-07,1.2115570768855832e-08
1921,1.340376343250682e-07,1.9689142760626055e-08
1922,7.894391274021473e-08,8.115729421831475e-09
1923,8.705077192416866e-08,7.431163684401554e-09
1924,1.5856697643812367e-07,0.0
1925,1.2097996204829542e-07,1.0998178368026856e-08
1926,1.2929520210036571e-07,8.916910765321973e-09
1927,1.1929670051813446e-07,2.3413372574054847e-08
1928,8.112489524592092e-08,6.8556245125250825e-09
1929,1.1808830890913669e-07,1.5596569369336066e-08
1930,1.1343891515025462e-07,1.05036033204442e-08
1931,8.668071416195744e-08,6.843213995466613e-09
1932,1.7206473046371684e-07,1.53433514782364e-08
1933,1.0094182556485976e-07,5.735331320977366e-09
1934,8.98618495170922e-08,9.585264137967897e-09
1935,1.1728918281050937e-07,3.590485242455088e-09
1936,1.260970350358548e-07,1.8187071404440758e-08
1937,1.1709740022070037e-07,2.5182236296217297e-09
1938,1.1279736611413682e-07,0.0
1939,1.0399953964679298e-07,1.5294050470515685e-08
1940,9.889553354014424e-08,7.607348528892999e-09
1941,7.67390702094417e-08,5.9030051957620344e-09
1942,1.2136847260535433e-07,6.068423541449874e-09
1943,1.219358836124229e-07,2.0322646676618206e-08
1944,8.996921252446555e-08,1.927911696952833e-08
1945,1.241747327185294e-07,1.5249527862692958e-08
1946,1.0301616981678308e-07,2.0881657292193267e-08
1947,1.1444036118746226e-07,1.1920871401116528e-08
1948,1.0763169200345146e-07,2.391815279167986e-08
1949,9.031647607571358e-08,4.908504269707237e-09
1950,1.6272103664505266e-07,6.381216888229346e-09
1951,9.488647378930182e-08,9.595261474260042e-09
1952,1.0439355691005403e-07,9.490323193972472e-09
1953,9.373229659104254e-08,8.619061908632375e-09
1954,8.306655985279576e-08,1.07497895029951e-08
1955,9.948744406074184e-08,8.447047505910632e-09
1956,1.2296810325551633e-07,9.593255967388359e-09
1957,9.718541349457155e-08,1.0602045463770082e-08
1958,1.1746585926175612e-07,1.4062814024384807e-08
1959,8.990867428337879e-08,4.650448914844674e-09
1960,1.1765416729758726e-07,1.7302083321624195e-08
1961,1.0839128350426108e-07,6.25334317660986e-09
1962,1.3888885064261558e-07,1.5220695814832652e-08
1963,1.4742600740191847e-07,6.466053470433053e-09
1964,8.882593505177283e-08,1.2167936880302932e-08
1965,9.849678406226303e-08,8.755269398363907e-09
1966,1.1410494238361935e-07,6.092982118843793e-09
1967,1.3016085631534224e-07,1.035370456037299e-08
1968,1.3294591383328225e-07,1.3474247495537384e-08
1969,1.2308163377383607e-07,8.175163657142548e-09
1970,1.2922417624849913e-07,5.978342709767048e-09
1971,1.2434921359272266e-07,1.1818314327172175e-08
1972,9.336867634601731e-08,3.5911027485013847e-09
1973,9.041654180919068e-08,9.37244681864513e-09
1974,1.0519818971488348e-07,5.625571564138454e-09
1975,1.1137386479731504e-07,9.709516746170266e-09
1976,1.3769599149782152e-07,1.314111219841152e-08
1977,1.098958222200963e-07,8.22749424145286e-09
1978,1.3366330620101508e-07,1.0099005187669263e-08
1979,1.1879505734668783e-07,7.607565244427406e-09
1980,1.2564183293761744e-07,6.822181042309694e-09
1981,1.1259478327474426e-07,9.488323904349727e-09
1982,1.2290854556340491e-07,6.828252629986764e-09
1983,1.3262163633953605e-07,8.209910973278056e-09
1984,1.1713996883599975e-07,9.278413592994639e-09
1985,1.2452204600776895e-07,9.02333674446254e-09
1986,1.1629301610582843e-07,9.591176741707841e-09
1987,1.014395607512597e-07,9.777306964053878e-09
1988,1.2352900569112535e-07,4.197587610832443e-09
1989,1.4104473677889473e-07,7.683371272548811e-09
1990,1.1551139778021025e-07,7.083246433836621e-09
1991,1.1898774232577125e-07,1.0550637696837839e-08
1992,1.2066777799191186e-07,4.958949695321735e-09
1993,1.3349489336178522e-07,1.1078414630105726e-08
