year,doivent_VERB approcher_VERB,doivent_VERB rapprocher_VERB
1800,4.087413785214267e-08,6.288328968651058e-09
1801,5.000483582762172e-08,2.3811825400343878e-08
1802,7.161088433349505e-08,1.5664880947952042e-08
1803,5.851017448321727e-09,3.900678446910888e-09
1804,4.943701892301533e-09,1.9774807569206132e-08
1805,0.0,5.685755422035754e-09
1806,5.76333825108577e-09,2.881669125542885e-09
1807,2.2775640928784924e-08,3.4163463169534225e-08
1808,7.024829073998262e-08,6.798221985349073e-09
1809,1.3554183553310395e-08,0.0
1810,4.44624070894406e-08,2.8081521108447305e-08
1811,3.008491944456182e-08,0.0
1812,2.9339290108509886e-08,2.6672082320544632e-09
1813,4.888760685162197e-08,1.1502966579257645e-08
1814,6.293354282149721e-09,0.0
1815,1.3755840200246894e-07,0.0
1816,9.965696534663948e-08,4.6352077731626196e-09
1817,4.0478710161551135e-08,6.227493631882908e-09
1818,2.98029441125891e-08,1.1921177378582115e-09
1819,3.519356894798875e-08,1.5526575580793178e-08
1820,9.493184904840746e-09,2.8479554714522237e-08
1821,2.465372084259343e-08,9.86148829262845e-10
1822,5.213320264374488e-08,3.208197085768916e-08
1823,5.929612001409623e-08,1.581229902569703e-08
1824,2.2737005167527968e-08,5.052667617633233e-09
1825,1.4088708866211164e-08,3.522177216552791e-09
1826,1.6735169694470642e-08,7.927186018719112e-09
1827,2.949527377893446e-08,1.8434546111834038e-09
1828,1.6510142586412258e-08,1.8344602503717056e-09
1829,3.086343269842473e-08,0.0
1830,4.174734158368665e-08,1.461157062010443e-08
1831,1.5591206548037917e-08,1.5591206103948707e-09
1832,6.764984572527055e-09,8.117981842303834e-09
1833,3.01174338801502e-08,1.2741991461950875e-08
1834,1.9602515166639023e-08,5.600718555598405e-09
1835,9.075705520444899e-09,3.781543966852041e-09
1836,4.032450107160912e-08,2.688300027031687e-09
1837,1.6003149028165353e-08,1.1132625488130543e-08
1838,3.219202682203104e-08,1.2624323808552163e-09
1839,6.9914749545318955e-09,4.894032734625853e-09
1840,1.3376346252869098e-08,5.732719632334238e-09
1841,3.0818632978935057e-08,1.6051371787284552e-08
1842,1.2745703159566801e-08,4.695785538189057e-09
1843,1.1813821920725331e-08,1.2404512972352677e-08
1844,2.6893950177964143e-08,1.920996517412732e-08
1845,1.674068350610014e-08,1.4508592549589139e-08
1846,2.1076203893244383e-08,1.5807152919933287e-08
1847,2.3730184040005042e-08,9.168480197274675e-09
1848,6.43617736884039e-09,1.930853166243196e-08
1849,1.3407063903514427e-08,2.0948537127196687e-08
1850,4.3449574604892405e-08,1.4935791270431764e-08
1851,1.2253933867611977e-08,1.9348316726564008e-08
1852,1.8880582430824688e-08,5.859490670445666e-09
1853,2.448492075757258e-08,1.851298847554972e-08
1854,7.79349651480743e-09,8.313063126763609e-09
1855,1.751289246954002e-08,4.2455496895854594e-09
1856,1.1907535402144731e-08,1.0354378687793542e-08
1857,1.757343248698362e-08,1.4644527368545823e-08
1858,1.2723557318849998e-08,1.0276719919488642e-08
1859,1.3748867822016564e-08,1.1202780925145817e-08
1860,1.5562426014525954e-08,1.2816115280145368e-08
1861,1.3204698667834691e-08,3.3011746669586728e-09
1862,1.8975542914745347e-08,7.228778020618165e-09
1863,1.5982786649715308e-08,1.048870412745373e-08
1864,1.0068928801842958e-08,1.102787461348953e-08
1865,1.4591217123438582e-08,1.2237795665726026e-08
1866,1.5083399418358567e-08,1.9462451650298362e-09
1867,8.249779526181555e-09,6.308654931785895e-09
1868,1.432563490055827e-08,1.4819622196071691e-09
1869,1.7580669364747337e-08,1.0255390314739543e-08
1870,1.4335121534259088e-08,8.601073631098188e-09
1871,1.3807530230280918e-08,0.0
1872,7.256807155187062e-09,6.652073114565837e-09
1873,5.9860045809045914e-09,4.788803575905831e-09
1874,1.1949218503559678e-08,5.974609251779839e-09
1875,1.2015206607429718e-08,5.721527140956084e-10
1876,2.418405919968336e-09,2.418405919968336e-09
1877,1.9172929910382663e-08,6.184815992682502e-10
1878,1.1474268646338714e-08,1.3889904337816006e-08
1879,1.649517855639715e-08,3.665595160740054e-09
1880,1.2835692508872398e-09,1.1552122813895949e-08
1881,4.183504653809678e-09,6.972507571312292e-10
1882,9.317538740560849e-09,2.6621540527571597e-09
1883,1.2006744043446815e-08,3.791603475633565e-09
1884,1.1222884843675729e-08,1.9805090900604227e-09
1885,1.2246707647989297e-08,7.7347630522695e-09
1886,4.5174246565693466e-09,5.162771099520569e-09
1887,1.2404957061562527e-08,1.9586774424595887e-09
1888,5.706553452000662e-09,6.340614699951175e-09
1889,1.9421923624918236e-08,1.0650732740202784e-08
1890,5.898947996740844e-09,7.209825181320184e-09
1891,9.561330394092238e-09,2.5496880162734215e-09
1892,7.522214851007902e-09,4.387958441043338e-09
1893,1.847525021858587e-09,8.005941687372342e-09
1894,1.2603078580752936e-09,1.8904617871129403e-09
1895,5.416753268150387e-09,6.018614495673091e-09
1896,0.0,0.0
1897,6.409385022720926e-09,5.826713334045053e-09
1898,6.7900258748920805e-09,1.584339415217073e-08
1899,6.080336234504102e-09,1.6582735185011188e-09
1900,8.824790675987515e-09,4.671947717582725e-09
1901,1.2295225282343836e-08,1.676621730339889e-09
1902,6.38336894454028e-09,9.820567692386817e-10
1903,3.7801539676252105e-09,5.400220270956879e-10
1904,1.4511488011237361e-08,3.7622376325430196e-09
1905,3.6125313851442797e-09,4.1286072338664326e-09
1906,1.3374879870298173e-08,5.144184522798412e-10
1907,8.228549397415463e-09,5.142843484406967e-09
1908,1.080505640516094e-08,6.384805573134145e-09
1909,2.7504918342913243e-09,7.151278680339601e-09
1910,6.412980813053082e-09,1.068830135508847e-09
1911,1.0108711201439746e-08,1.5961122423746588e-09
1912,8.335073964360618e-09,3.125652625612929e-09
1913,5.302989602995467e-09,5.30298971401777e-10
1914,1.0045115850232378e-08,4.68772043404897e-09
1915,1.4136913861761968e-08,4.712304768617059e-09
1916,2.307367097387214e-08,1.3184954461564757e-08
1917,3.289927441585405e-09,4.386569774084137e-09
1918,8.040463406189247e-09,1.378365155346728e-08
1919,6.4454939163738345e-09,2.762354567309444e-09
1920,9.086678076641874e-09,4.543339038320937e-09
1921,7.572747762196741e-09,1.5145494858259667e-09
1922,1.1804696775641332e-08,9.591316185719734e-09
1923,4.246379248229459e-09,2.1231896241147297e-09
1924,9.02413699321869e-09,2.578324886925998e-09
1925,4.399271169575059e-09,2.1996355847875293e-09
1926,1.3375366592072169e-08,5.57306911730393e-09
1927,3.3447675740205796e-09,2.2298449753321847e-09
1928,0.0,6.8556245125250825e-09
1929,1.2254447234738564e-08,1.0026365515614089e-08
1930,2.100720708497761e-09,1.0503603542488804e-09
1931,1.0264820993199919e-08,6.843213995466613e-09
1932,3.287861094491973e-09,3.287861094491973e-09
1933,4.588264879146209e-09,1.1470662197865522e-09
1934,4.7926320689839486e-09,2.036868629318178e-08
1935,8.377798899061872e-09,1.196828414151696e-09
1936,9.699771652549316e-09,1.2124714565686645e-09
1937,0.0,3.777335333410292e-09
1938,2.3337385357535823e-08,2.5930428915188486e-09
1939,9.176430282309411e-09,1.070583532936098e-08
1940,5.0715658339584024e-09,2.5357829169792012e-09
1941,1.4757512545315876e-08,2.9515025978810172e-09
1942,1.2136847082899749e-08,3.034211770724937e-09
1943,1.4516175816936538e-08,2.9032352077962287e-09
1944,3.2131861615880553e-09,3.2131861615880553e-09
1945,1.3071024262956144e-08,1.9606536838523425e-08
1946,1.3921104269343232e-09,1.3921104269343232e-09
1947,1.0728784083369192e-08,4.7683483828109274e-09
1948,1.195907639583993e-08,3.2615663503321457e-09
1949,1.0798709482173763e-08,0.0
1950,4.2541445921528975e-09,0.0
1951,2.1322803522849654e-09,9.595261474260042e-09
1952,6.326882129314981e-09,9.490323193972472e-09
1953,1.0773827385790469e-09,2.1547654771580937e-09
1954,4.886268278880834e-09,1.9545072227344917e-09
1955,6.569925492527773e-09,3.754243138587299e-09
1956,6.976913269340912e-09,8.72114158667614e-10
1957,1.236905244894615e-08,2.6505113659425206e-09
1958,1.1581140491045971e-08,4.1361216673863055e-09
1959,5.425523585955716e-09,6.200598257066758e-09
1960,4.844583401109048e-09,4.152500121534786e-09
1961,4.16889545107324e-09,6.25334317660986e-09
1962,8.244543714397423e-09,3.805173953708163e-09
1963,1.0345685197421517e-08,0.0
1964,1.2776333768727e-08,0.0
1965,1.2038495533772675e-08,0.0
1966,1.0524241922382771e-08,1.1078149508847446e-09
1967,1.1339771788243524e-08,3.451234853457663e-09
1968,6.737123747768692e-09,3.1439910674890825e-09
1969,5.904285060864822e-09,3.1792304344691047e-09
1970,5.518470125309705e-09,1.3796175313274261e-09
1971,1.2332153964678128e-08,3.083038491169532e-09
1972,4.104117490300041e-09,5.130146973897354e-09
1973,9.923766697284009e-09,3.3079223804577396e-09
1974,7.313243344242437e-09,4.500457340128605e-09
1975,3.4268881066168433e-09,5.711480177694739e-10
1976,3.4281160132820787e-09,2.856763492431469e-09
1977,1.057820764316375e-08,7.052138428775834e-09
1978,3.5643548113029055e-09,5.346532105932056e-09
1979,2.925986564150662e-09,1.7555920051037788e-09
1980,5.6851505725319385e-09,0.0
1981,8.223214109648325e-09,1.8976649140967083e-09
1982,6.2075020679230875e-09,2.483000915987077e-09
1983,9.47297440490047e-09,0.0
1984,4.639206796497319e-09,5.799008495621649e-10
1985,3.0077789148208467e-09,1.2031116103372597e-09
1986,7.792831269171074e-09,2.997242676272549e-09
1987,7.332980445085013e-09,3.6664902225425067e-09
1988,7.795519785247507e-09,4.197587610832443e-09
1989,4.939309850016116e-09,5.488122178931576e-10
1990,4.358920779878872e-09,4.358920779878872e-09
1991,4.68917216167597e-09,4.10302547493302e-09
1992,4.4079553340736766e-09,4.958949695321735e-09
1993,6.647049133334804e-09,6.647049133334804e-09
1994,3.164955852952289e-09,2.1099706426497278e-09
1995,3.253470381991974e-09,1.626735190995987e-09
1996,4.804283193493575e-09,5.338092190498855e-10
1997,2.3974471297094624e-09,7.192341833217597e-09
1998,1.0489884516573511e-08,4.768129224785866e-10
1999,4.113180906983871e-09,2.7421207526856506e-09
2000,4.859834756842929e-09,2.6508188977203417e-09
2001,3.066848330846028e-09,3.943090742808408e-09
2002,6.571832411594869e-09,8.76244299341522e-10
2003,6.250384210204629e-09,3.333538334260311e-09
2004,4.404791198453495e-09,8.809582507929292e-10
2005,7.205999352777326e-09,9.007499190971657e-10
2006,7.000412693969338e-09,2.8825228870488218e-09
2007,4.393927444112933e-09,2.7961355453243186e-09
2008,1.3198063086861112e-08,2.554463751636149e-09
2009,7.629108011997232e-09,4.76819250749827e-09
2010,6.140930874920514e-09,9.447586046817946e-10
2011,6.118355155848576e-09,2.2943831279320648e-09
2012,7.489355802192676e-09,1.0212758416727752e-09
2013,1.0319762822064149e-08,1.6734750252211938e-09
2014,6.063246349441442e-09,2.5985342766432495e-09
2015,4.654808538617772e-09,1.7732603163622684e-09
2016,5.3854840587064245e-09,2.899876117012923e-09
2017,5.0312225496895735e-09,2.515611330355938e-10
2018,6.453666934191915e-09,1.5488800242380307e-09
2019,6.12237061048404e-09,7.65296326310505e-10
