year,fallait_VERB envoyer_VERB,fallait_VERB renvoyer_VERB
1800,4.7162465932615305e-08,9.432493897065797e-09
1801,2.1430643926123594e-08,9.524730337773235e-09
1802,6.713520406265161e-09,1.1189200677108602e-08
1803,6.241085515057421e-08,1.755305234496518e-08
1804,9.88740396223875e-08,7.4155526164076946e-09
1805,1.7057265822018053e-08,5.1171799242411e-08
1806,2.5935023018064385e-08,4.034336598124355e-08
1807,1.1672516109229036e-07,6.263301344233696e-08
1808,5.211970233176544e-08,2.2660739062985158e-08
1809,7.680704072754452e-08,6.7770917766551975e-09
1810,9.360506680877734e-08,9.360507036149102e-09
1811,5.0141537144554604e-08,2.0056614147279106e-08
1812,1.3336041604361526e-08,1.8670457180292033e-08
1813,6.039057609541487e-08,3.4508900625951355e-08
1814,8.496028414128887e-08,1.5733386149463513e-08
1815,9.170560133497929e-08,1.0788894222457657e-08
1816,1.1356259221884102e-07,1.8540831092650478e-08
1817,1.0586739307427706e-07,1.8682481339737933e-08
1818,9.536941547594324e-08,2.026600220972341e-08
1819,8.487860725381324e-08,3.2088255608186955e-08
1820,7.357218123615894e-08,2.4919611263385377e-08
1821,1.203101618330038e-07,1.7750679148775816e-08
1822,1.162971443591232e-07,6.51665033046811e-08
1823,1.324279992331867e-07,9.190898708766326e-08
1824,6.652678763430231e-08,4.884245186076441e-08
1825,1.1359021812040737e-07,2.4655239627691117e-08
1826,9.864942285275902e-08,1.4092774947016551e-08
1827,1.5945882125834032e-07,7.18947319455765e-08
1828,8.346793833879929e-08,1.9261833017480967e-08
1829,1.8432328374728968e-07,5.572564276690173e-08
1830,1.1689256496083544e-07,5.322786122974321e-08
1831,8.107426907599802e-08,1.2472964883158966e-08
1832,1.4747666909897816e-07,3.2471927369215337e-08
1833,1.2278646011054661e-07,2.548398292390175e-08
1834,1.0454674281845655e-07,6.254136053485126e-08
1835,9.832014313815307e-08,1.9664028627630614e-08
1836,1.451682010156219e-07,4.301280043250699e-08
1837,1.391578194898102e-07,3.478945487245255e-08
1838,1.1614378081503673e-07,3.850418650586107e-08
1839,1.370329130168102e-07,5.2436064379435265e-08
1840,1.356743695168916e-07,2.8026629905752998e-08
1841,1.194221965761244e-07,2.118781061710706e-08
1842,7.71450459069456e-08,5.366612043644636e-08
1843,7.029224491361674e-08,2.539971788451112e-08
1844,1.0757580071185657e-07,4.006649589882727e-08
1845,7.812319324784767e-08,3.124927516751086e-08
1846,9.191567329480677e-08,4.625055893825447e-08
1847,1.4885297616729076e-07,3.182001862001016e-08
1848,1.1343762906790289e-07,3.378993085334514e-08
1849,5.9493846293889874e-08,2.9327951622803994e-08
1850,1.3645882290802547e-07,2.308258650884909e-08
1851,7.803821233665076e-08,2.4507867735223954e-08
1852,5.468858077506411e-08,3.7761164861649377e-08
1853,7.285756709052293e-08,4.299791100947914e-08
1854,6.754363823802123e-08,2.338049043260071e-08
1855,7.80119790988465e-08,4.82931277190346e-08
1856,1.2632341395146796e-07,4.2970672353703776e-08
1857,9.323682093054231e-08,3.8075771868761876e-08
1858,5.676664116549546e-08,3.131952652779546e-08
1859,8.249320870845622e-08,3.4626779665813956e-08
1860,9.383226995396399e-08,6.408057373619158e-08
1861,1.089387637875916e-07,6.083593007133459e-08
1862,8.764893522084094e-08,5.511943257374696e-08
1863,1.3435530377137184e-07,1.6981710260211003e-08
1864,9.014088675485254e-08,3.1165733105353866e-08
1865,1.7274118135901517e-07,3.294790928975999e-08
1866,1.1969407864853565e-07,4.135770836910524e-08
1867,7.667442503134225e-08,2.8631587767335986e-08
1868,1.155930533514038e-07,3.210918109175509e-08
1869,7.276443625414686e-08,2.9789466893248573e-08
1870,9.346499751927695e-08,3.2110673231500186e-08
1871,7.222400455475508e-08,5.629224020253787e-08
1872,9.917636134559871e-08,5.019291648977742e-08
1873,7.781805777540285e-08,2.6338419445437466e-08
1874,8.48394492436455e-08,4.062734149101743e-08
1875,7.83849216645649e-08,2.9179789251543298e-08
1876,7.920279188056156e-08,3.3857681103199866e-08
1877,8.040260723873871e-08,1.855444864418132e-08
1878,1.038723240753825e-07,3.6838439854136595e-08
1879,9.836013958874901e-08,3.176849006081284e-08
1880,8.599914025353428e-08,3.3372799634889816e-08
1881,7.251407652120179e-08,9.064259565150223e-09
1882,8.252677474729353e-08,1.8635077481121698e-08
1883,6.066565561013704e-08,4.676310894069502e-08
1884,7.6579681262956e-08,2.0465261485469455e-08
1885,7.412481295432372e-08,4.060750313783501e-08
1886,9.292988067954866e-08,2.710454793941608e-08
1887,7.247106026397887e-08,2.154545164501087e-08
1888,6.847864142400795e-08,2.9166827175686194e-08
1889,7.20490760386383e-08,1.8795409673089125e-08
1890,8.455158706510701e-08,3.1461055982617836e-08
1891,5.290602800300803e-08,1.0198752065093686e-08
1892,8.963972675246623e-08,2.6327752422616868e-08
1893,7.574852389780062e-08,3.571881634911733e-08
1894,8.192001388351855e-08,1.9534772022211655e-08
1895,8.064943557428705e-08,3.310238128051424e-08
1896,9.022454605656094e-08,3.066455178668548e-08
1897,6.992056000854063e-08,2.6220211779559577e-08
1898,5.828105642535775e-08,9.619203211741478e-09
1899,5.693405569218157e-08,2.5426860617017155e-08
1900,5.969710770159509e-08,3.73755817406618e-08
1901,5.085752263767063e-08,2.2913829056392387e-08
1902,4.959386856739911e-08,1.5221880644844532e-08
1903,6.642270733436817e-08,2.6461078661554893e-08
1904,5.482117870769798e-08,3.0097901060344157e-08
1905,8.20560686065619e-08,1.2901897328276846e-08
1906,8.127811668146023e-08,2.211999294843281e-08
1907,5.1942716794428634e-08,2.1599941391059474e-08
1908,6.826830656336824e-08,4.174680867663483e-08
1909,5.4459736276157855e-08,2.8605114721358404e-08
1910,5.076943310200477e-08,4.221879024157715e-08
1911,5.7992078694724114e-08,2.2345570727111408e-08
1912,5.365703970028335e-08,8.335073964360618e-09
1913,4.7726906871048413e-08,2.1742257771961704e-08
1914,4.955590426902745e-08,2.0759905794420774e-08
1915,3.062998032987707e-08,2.4739600590351074e-08
1916,3.735737053034427e-08,1.9777431248257926e-08
1917,7.018511638534619e-08,2.3029491202919417e-08
1918,1.6080926812378493e-08,2.067547733020092e-08
1919,4.880159565345821e-08,2.8544329566670967e-08
1920,4.164727585020955e-08,2.1959472462640406e-08
1921,5.5281056177136634e-08,1.5902768879527684e-08
1922,2.951174238319254e-08,3.172512208493572e-08
1923,4.671016995416721e-08,2.229349149729387e-08
1924,4.1253198190815965e-08,1.2891624656674594e-08
1925,4.8391981977147225e-08,2.74954441437103e-08
1926,4.346993875969929e-08,3.009457216762712e-08
1927,5.686104742608222e-08,1.7838759802657478e-08
1928,6.398582996780533e-08,2.742249805010033e-08
1929,5.904415445456834e-08,1.1140405931087116e-08
1930,5.671945757512731e-08,3.361153133596417e-08
1931,4.1059283972799676e-08,1.8248570654577634e-08
1932,4.603005265835236e-08,1.753525857850491e-08
1933,5.276504566609219e-08,1.3764794637438627e-08
1934,4.553000465534751e-08,1.9170528275935794e-08
1935,3.7101681726881e-08,2.154291145473053e-08
1936,4.243650053581405e-08,2.0612015205756506e-08
1937,5.0364473480613015e-08,8.813782592653752e-09
1938,2.5930429359277696e-08,1.2965214679638848e-08
1939,4.7411557346777045e-08,1.070583532936098e-08
1940,4.057252667166722e-08,2.028626333583361e-08
1941,4.427253941230447e-08,3.246652724442356e-08
1942,4.247896612241675e-08,1.8205270180260413e-08
1943,4.935499831049128e-08,1.4516175816936538e-08
1944,6.42637232317611e-08,1.927911696952833e-08
1945,5.664110602765504e-08,3.703456741277478e-08
1946,7.238973864787113e-08,1.6705325123211878e-08
1947,4.7683485604466114e-08,2.5033829231801974e-08
1948,4.240036233227329e-08,1.4133454406817236e-08
1949,4.22131343214005e-08,2.0615717133409817e-08
1950,5.211327192000681e-08,1.4889506516624351e-08
1951,4.051332780363737e-08,3.6248767543156646e-08
1952,5.2724018928529404e-08,2.319856839960721e-08
1953,3.663101466599983e-08,3.232148060305917e-08
1954,4.9839933069506515e-08,1.7590565448699635e-08
1955,3.9419553843345057e-08,8.447047505910632e-09
1956,3.0523995775411095e-08,2.441919733087161e-08
1957,5.6544241289202546e-08,1.4136060322300636e-08
1958,4.715178647529683e-08,1.4062814024384807e-08
1959,4.650448559573306e-08,1.3176271629333769e-08
1960,3.737250153790228e-08,1.2457499920515147e-08
1961,5.141637871020066e-08,1.320150300188061e-08
1962,4.439369405417892e-08,1.3952304200870458e-08
1963,3.620989730279689e-08,1.6165133231993423e-08
1964,5.1105335074908e-08,2.4335873760605864e-08
1965,4.81539821350907e-08,2.5171399187229326e-08
1966,4.265087483190655e-08,2.215629990587331e-08
1967,4.042875190179984e-08,6.409436092980059e-09
1968,4.1321026600371624e-08,1.6169096284102125e-08
1969,5.132186231548985e-08,1.725867981861029e-08
1970,4.552737919993888e-08,9.197449912790034e-09
1971,4.1107178105903586e-08,2.0553589052951793e-08
1972,4.360624927812751e-08,1.0773308467548759e-08
1973,5.017015425323734e-08,1.3231689521830958e-08
1974,4.2754344065087935e-08,9.563471792262135e-09
1975,3.1413140533231854e-08,1.770558810676448e-08
1976,3.6566571992580066e-08,8.570290255249802e-09
1977,2.5857840313392444e-08,1.23412418062685e-08
1978,3.26732525479656e-08,1.4257419245211622e-08
1979,3.101546042216796e-08,1.8141117053005473e-08
1980,3.865902442612423e-08,6.822181042309694e-09
1981,2.9730083284107423e-08,9.488323904349727e-09
1982,3.227901146374279e-08,1.1794254461960918e-08
1983,3.789189761960188e-08,1.515675762675528e-08
1984,3.073474630355122e-08,1.0438215625185876e-08
1985,3.188245756291508e-08,1.0226449020933615e-08
1986,4.136195030923773e-08,1.978180286243969e-08
1987,3.238733015109574e-08,7.332980445085013e-09
1988,2.998276826815527e-08,1.0194141530917022e-08
1989,4.884428861373635e-08,1.8110803523541108e-08
1990,2.942271493111548e-08,5.993515905799995e-09
1991,4.2202550787351356e-08,1.0550637696837839e-08
1992,3.526364267258941e-08,9.91789939064347e-09
1993,3.10195602537533e-08,1.2186256448387667e-08
1994,3.639699386326356e-08,1.1077346151466827e-08
1995,3.958389171998533e-08,7.0491861237087505e-09
1996,3.683283722466513e-08,8.540947504798169e-09
1997,4.363354122460805e-08,9.58978851883785e-09
1998,3.480734278582531e-08,7.152193948201102e-09
1999,3.1991408633302854e-08,1.4624643718263997e-08
2000,4.1087691471375365e-08,9.719669513685858e-09
2001,3.3735329196815655e-08,6.571817756650944e-09
2002,3.1106672793157486e-08,6.571832411594869e-09
2003,4.291930721933568e-08,7.91715315529018e-09
2004,4.6250306695583276e-08,1.1452457648886138e-08
2005,4.2785622156316094e-08,1.261049931144953e-08
2006,3.74727981977685e-08,1.0294725072412803e-08
2007,3.7947554432093966e-08,8.38840730210677e-09
2008,4.044567702976565e-08,8.940623352771127e-09
2009,3.766871969901331e-08,8.582746957586096e-09
2010,3.967986117459077e-08,7.085689368580006e-09
2011,4.282848564685082e-08,1.1471915861704929e-08
2012,6.399994845196488e-08,1.4297861561374248e-08
2013,6.749682768258936e-08,1.1993237514218436e-08
2014,5.348649523284621e-08,1.4508482415465096e-08
2015,6.42806838868637e-08,1.1969507163200888e-08
2016,6.110452943630662e-08,1.3670844012381167e-08
2017,4.6790372465466135e-08,8.804639684001359e-09
2018,5.421080118139798e-08,1.4456214003644163e-08
2019,5.5356434103259744e-08,1.2499840273960672e-08
