year,pouvant_VERB ajouter_VERB
1800,3.772997558826319e-08
1801,1.4287095950749062e-08
1802,1.0070280609397742e-07
1803,0.0
1804,7.4155526164076946e-09
1805,2.2743021688143017e-08
1806,0.0
1807,2.8469551160981155e-09
1808,3.3991110370834576e-08
1809,2.0331274441787173e-08
1810,7.020380277111826e-09
1811,2.5070767684098882e-09
1812,2.6672082320544632e-09
1813,2.300593315851529e-08
1814,1.5733386149463513e-08
1815,0.0
1816,0.0
1817,1.0898113522728181e-08
1818,7.152706427149269e-09
1819,5.175524897538253e-09
1820,3.559944161679596e-08
1821,1.972297702934611e-08
1822,3.208197085768916e-08
1823,9.882686669016039e-09
1824,1.8526447931321854e-08
1825,5.283265824829186e-09
1826,3.3470339388941284e-08
1827,1.474763688946723e-08
1828,4.3109814384934e-08
1829,1.2859763920403111e-08
1830,7.305785310052215e-09
1831,3.1182413096075834e-08
1832,2.3000948701223933e-08
1833,1.2741991461950875e-08
1834,2.14694217959277e-08
1835,6.806779140333674e-09
1836,9.409050427677812e-09
1837,1.3219993100221927e-08
1838,1.5149188570262595e-08
1839,5.5931801412612e-09
1840,3.821813088222825e-09
1841,1.5409316489467528e-08
1842,1.542900918138912e-08
1843,7.088293507706567e-09
1844,1.2074834465636286e-08
1845,1.4508592549589139e-08
1846,8.781752214304106e-09
1847,5.9325460100012606e-09
1848,8.04522137798358e-09
1849,1.4245005175439474e-08
1850,1.2220192857625989e-08
1851,4.514607354622058e-09
1852,1.3021090872200602e-08
1853,5.971931837933653e-09
1854,7.79349651480743e-09
1855,1.5920811335945473e-08
1856,8.801221973442352e-09
1857,2.147863931156735e-08
1858,1.761723389392955e-08
1859,6.619825576592575e-09
1860,2.746310290291376e-09
1861,7.073945429425521e-09
1862,1.8523744316212287e-08
1863,1.4983863039219614e-08
1864,1.582260189536555e-08
1865,1.3649848362717876e-08
1866,5.352174259343201e-09
1867,1.1161466417775046e-08
1868,1.0373735648272486e-08
1869,1.660396442559886e-08
1870,9.17447806614291e-09
1871,1.274541272522356e-08
1872,1.6327815544059376e-08
1873,9.577607151811662e-09
1874,5.974609251779839e-09
1875,1.716458086775674e-08
1876,3.627608879952504e-09
1877,2.2265338017746217e-08
1878,1.509772218355465e-08
1879,1.5273313280772527e-08
1880,8.343199908722454e-09
1881,4.183504653809678e-09
1882,1.3310770263785798e-08
1883,1.2638677882037541e-09
1884,3.300848483434038e-09
1885,1.160214413431504e-08
1886,6.4534639854230136e-09
1887,6.528924512139156e-09
1888,1.1413106904001324e-08
1889,3.132568426877924e-09
1890,3.2771931834929546e-09
1891,7.649063604731055e-09
1892,1.8805537127519756e-09
1893,7.390100087434348e-09
1894,4.411077725308132e-09
1895,6.018614495673091e-09
1896,2.948514543632541e-09
1897,2.330685422435863e-09
1898,6.224190496340043e-09
1899,3.8693048765026106e-09
1900,1.349673794948103e-08
1901,6.147612641171918e-09
1902,4.910283735171106e-09
1903,4.320176216765503e-09
1904,6.449550227216605e-09
1905,2.580379465655369e-09
1906,5.144184633820714e-09
1907,3.599990305858114e-09
1908,5.40252820258047e-09
1909,3.300590023513905e-09
1910,7.481810726517324e-09
1911,9.044636151145369e-09
1912,6.251305251225858e-09
1913,1.6969567084856862e-08
1914,6.696743604095445e-09
1915,2.3561523843085297e-09
1916,0.0
1917,2.1932848870420685e-09
1918,6.89182577673364e-09
1919,5.524709134618888e-09
1920,1.3630017114962811e-08
1921,1.060184651180407e-08
1922,1.4755870969551665e-09
1923,7.431163684401554e-09
1924,3.867487219366694e-09
1925,2.1996355847875293e-09
1926,6.687683296036084e-09
1927,5.574612327308159e-09
1928,4.570416489713125e-09
