year,pourront_VERB égaler_VERB
1800,6.288328968651058e-09
1801,0.0
1802,4.475680270843441e-09
1803,2.145373123596528e-08
1804,0.0
1805,2.842877711017877e-09
1806,0.0
1807,2.8469551160981155e-09
1808,2.2660739951163578e-09
1809,4.518061036407062e-09
1810,2.3401267590372754e-09
1811,2.5070767684098882e-09
1812,0.0
1813,0.0
1814,2.8320094713762956e-08
1815,2.6972236000233352e-08
1816,2.5493642752394408e-08
1817,0.0
1818,4.768470951432846e-09
1819,3.1053151161586356e-09
1820,7.119888678630559e-09
1821,5.9168927535324656e-09
1822,0.0
1823,0.0
1824,1.6842225392110777e-09
1825,4.4027217427355936e-09
1826,8.807984341885344e-10
1827,3.6869092223668076e-09
1828,1.3758452155343548e-08
1829,4.286587973467704e-09
1830,3.1310507520032616e-09
1831,7.795603274018958e-09
1832,0.0
1833,1.1583628500844156e-09
1834,9.334530925997342e-10
1835,2.2689263801112247e-09
1836,6.72075017860152e-09
1837,1.3915781860163179e-09
1838,5.049729523420865e-09
1839,6.9914751765765e-10
1840,8.280594876453051e-09
1841,2.5682194149112547e-09
1842,8.720745015011744e-09
1843,3.5441467538532834e-09
1844,1.1525978393933656e-08
1845,7.254296274794569e-09
1846,6.439951683034906e-09
1847,4.314578916364553e-09
1848,6.43617736884039e-09
1849,5.865590679832167e-09
1850,4.073397619208663e-09
1851,1.9348316282474798e-09
1852,1.9531636308300904e-09
1853,3.5831591027601917e-09
1854,6.234797567117312e-09
1855,2.653468555990912e-09
1856,3.1063134287023786e-09
1857,1.9526036343364694e-09
1858,8.808616946964776e-09
1859,4.582956236731661e-09
1860,4.577183909670879e-10
1861,4.715963730639317e-10
1862,9.035972525772706e-10
1863,2.9967726078439227e-09
1864,5.274200631788517e-09
1865,2.8241067262513297e-09
1866,3.4059290943133647e-09
1867,7.76449837758264e-09
1868,3.457911734727759e-09
1869,4.395167341186834e-09
1870,2.8670243956696595e-09
1871,4.248470908407853e-09
1872,6.047339295989218e-10
1873,1.7958012854535355e-09
1874,1.7923826867161097e-09
1875,1.2587359599081083e-08
1876,4.836811839936672e-09
1877,1.36065949618569e-08
1878,1.2078177347163432e-09
1879,0.0
1880,4.492492600149944e-09
1881,3.4862537301449947e-09
1882,3.9932310791357395e-09
1883,1.8958017378167824e-09
1884,0.0
1885,1.2891271383708158e-09
1886,1.936039106809062e-09
1887,1.9586774424595887e-09
1888,5.07249175996094e-09
1889,3.132568426877924e-09
1890,6.554386478008212e-10
1891,6.374220040683554e-10
1892,6.8953633913793055e-09
1893,6.158416554491453e-10
1894,0.0
1895,6.018614495673091e-10
1896,4.717623180994224e-09
1897,5.826713556089658e-10
1898,1.13167097914868e-09
1899,1.6582735185011188e-09
1900,2.07642125715779e-09
1901,5.588738916095792e-10
1902,0.0
1903,2.1600881083827517e-09
1904,2.1498500757388683e-09
1905,2.580379465655369e-09
1906,5.144184633820714e-09
1907,5.142843484406967e-09
1908,3.437972351250096e-09
1909,2.7504918342913243e-09
1910,1.068830135508847e-09
1911,5.320374141248863e-10
1912,5.209421227725386e-10
1913,5.833288518886093e-09
1914,6.696743715117748e-10
1915,3.534228465440492e-09
1916,1.0987462051303964e-09
1917,1.864292187292449e-08
1918,1.9526840588923733e-08
1919,0.0
1920,0.0
1921,0.0
1922,7.377935484775833e-10
1923,2.653987074552333e-08
1924,1.0313299547703991e-08
1925,1.0998177923937646e-09
1926,0.0
1927,4.4596899506643695e-09
1928,0.0
1929,1.1140406375176326e-09
1930,3.1510811737689437e-09
1931,5.7026783295555106e-09
1932,3.287861094491973e-09
1933,6.882397318719313e-09
1934,1.1981580172459871e-09
1935,0.0
1936,1.2124714565686645e-09
1937,1.6368453259474336e-08
1938,1.2965214457594243e-09
1939,0.0
1940,2.5357829169792012e-09
1941,0.0
1942,0.0
1943,8.709705845433291e-09
1944,0.0
1945,2.178504043826024e-09
1946,2.7842208538686464e-09
1947,3.5762612871081956e-09
1948,0.0
1949,4.908504269707237e-09
1950,2.1270722960764488e-09
1951,3.1984206394497505e-09
1952,1.0544803918932644e-09
1953,1.0773827385790469e-09
1954,4.886268278880834e-09
1955,9.385607846468247e-10
1956,0.0
1957,8.835037701437898e-10
1958,4.9633461784992505e-09
1959,1.5501495642666896e-09
1960,3.460416619915918e-09
1961,4.86371165564492e-09
1962,6.341956404476434e-10
1963,3.2330267352165265e-09
1964,1.8251904432275978e-09
1965,2.188817349590977e-09
1966,0.0
1967,1.9721342336964653e-09
1968,1.3474247273492779e-09
1969,3.1792304344691047e-09
1970,9.197450023812337e-10
1971,5.138397485282553e-10
1972,1.0260293725750103e-09
1973,2.7566018356850464e-09
1974,1.1251143350321513e-09
1975,3.998036124386317e-09
1976,2.285410749536254e-09
1977,5.876781838942691e-10
1978,2.3762365408686037e-09
1979,2.925986564150662e-09
1980,3.411090521154847e-09
1981,1.8976649140967083e-09
1982,6.207502289967692e-10
1983,0.0
1984,0.0
1985,0.0
1986,1.1988970927134801e-09
1987,1.2221633705067347e-09
1988,2.99827696004229e-09
1989,2.7440609784434855e-09
1990,5.44865097484859e-10
1991,5.2753188484189195e-09
1992,2.2039776670368383e-09
1993,1.1078414852150331e-09
1994,0.0
1995,1.0844901643380922e-09
1996,2.135236876199542e-09
1997,9.58978896292706e-10
1998,2.3840645013706308e-09
1999,1.8280804647829996e-09
2000,2.2090156370779823e-09
2001,4.3812117822561447e-10
2002,4.38122149670761e-10
2003,2.5001538617175356e-09
2004,4.404791253964646e-10
2005,4.5037495954858286e-10
2006,8.235779835885637e-10
2007,1.5977917877663117e-09
2008,2.554463751636149e-09
2009,1.907277002999308e-09
2010,1.8895172093635892e-09
2011,1.529588788962144e-09
2012,6.808505426114664e-10
2013,5.578250084070646e-10
