year,pourraient_VERB accompagner_VERB
1800,3.144164484325529e-09
1801,4.7623651688866175e-09
1802,2.2378401354217203e-09
1803,0.0
1804,2.4718509461507665e-09
1805,0.0
1806,2.881669125542885e-09
1807,0.0
1808,1.8128591960930862e-08
1809,0.0
1810,0.0
1811,2.5070767684098882e-09
1812,2.1337665856435706e-08
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,1.556873407970727e-09
1818,1.1921177378582115e-09
1819,3.2088255608186955e-08
1820,5.933240565525466e-09
1821,1.1833785507064931e-08
1822,4.010246357211145e-09
1823,2.9648061783404955e-09
1824,0.0
1825,0.0
1826,0.0
1827,4.608636583469661e-09
1828,0.0
1829,8.57317605795771e-10
1830,3.1310507520032616e-09
1831,7.795603274018958e-09
1832,2.705993873419743e-09
1833,2.3167257001688313e-09
1834,5.600718555598405e-09
1835,0.0
1836,4.032449929525228e-09
1837,1.0436836284100082e-08
1838,4.418513555037862e-09
1839,8.38977065598101e-09
1840,5.732719632334238e-09
1841,1.2841097074556274e-09
1842,8.049918065466954e-09
1843,1.1813821920725331e-08
1844,3.841992946007622e-09
1845,2.7901139176833567e-09
1846,1.2294452567118697e-08
1847,7.011190739092399e-09
1848,4.02261068899179e-09
1849,7.54147322368226e-09
1850,6.1100964288129944e-09
1851,1.9348316282474798e-09
1852,8.463708844885787e-09
1853,1.0152284346531815e-08
1854,9.352196350675968e-09
1855,1.2205955357558196e-08
1856,1.1389816201301528e-08
1857,8.78671624349181e-09
1858,9.787352039936081e-10
1859,1.018434669930457e-09
1860,5.492620580582752e-09
1861,1.3204698667834691e-08
1862,2.755971628687348e-08
1863,5.494082966350788e-09
1864,1.0548401263577034e-08
1865,5.6482134525026595e-09
1866,4.379051787850585e-09
1867,1.067618526917613e-08
1868,1.1361710683388537e-08
1869,4.395167341186834e-09
1870,5.160643912205387e-09
1871,3.717412155879174e-08
1872,1.2094679036067646e-08
1873,1.7958013742713774e-08
1874,4.182226565063729e-09
1875,5.721527251978387e-09
1876,1.3905833817773328e-08
1877,3.0924081073635534e-09
1878,6.6429977074733415e-09
1879,8.55305515301552e-09
1880,1.2193908105473383e-08
1881,9.761510710859511e-09
