year,devront_VERB ouvrir_VERB
1800,0.0
1801,9.524730337773235e-09
1802,0.0
1803,5.851017448321727e-09
1804,0.0
1805,0.0
1806,0.0
1807,1.1387820464392462e-08
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,3.9530747564242574e-09
1824,1.6842225392110777e-09
1825,1.4969252504215547e-08
1826,1.7615968683770689e-09
1827,9.217273055917019e-10
1828,0.0
1829,8.57317605795771e-10
1830,1.0436835840010872e-09
1831,1.5591206103948707e-09
1832,4.058990921151917e-09
1833,9.266902800675325e-09
1834,9.334530925997342e-10
1835,7.563087933704082e-10
1836,1.3441500135158435e-09
1837,1.3915781860163179e-09
1838,0.0
1839,0.0
1840,3.1848443882154243e-09
1841,0.0
1842,6.708265054555795e-10
1843,2.3627644285539873e-09
1844,2.7442805805577564e-09
1845,3.9061593959388574e-09
1846,5.854501328173001e-10
1847,5.3932236454556914e-09
1848,0.0
1849,5.865590679832167e-09
1850,4.073397619208663e-09
1851,0.0
1852,3.906327261660181e-09
1853,5.3747388761848924e-09
1854,1.0391328908454511e-09
1855,3.714855978387277e-09
1856,1.0354378465748937e-09
1857,4.881509085841174e-10
1858,2.936205500958522e-09
1859,5.092173349652285e-10
1860,5.950338888283113e-09
1861,8.017138064531082e-09
1862,9.035972525772706e-10
1863,4.495158911765884e-09
1864,4.315255264231155e-09
1865,8.943004559114343e-09
1866,3.8924903300596725e-09
1867,3.396968040192405e-09
1868,8.89177353968762e-09
1869,1.1720445947105418e-08
1870,9.747882501187632e-09
1871,1.4869648623516696e-08
1872,9.675742873582749e-09
1873,3.591602570907071e-09
1874,5.377148060148329e-09
1875,2.2886108563824337e-09
1876,1.209202959984168e-09
1877,0.0
1878,2.4156354694326865e-09
1879,1.1607718342077078e-08
1880,1.6044616302224313e-08
1881,6.2752567586699115e-09
1882,7.320923423037584e-09
1883,1.579834751908038e-08
1884,4.621187876807653e-09
1885,5.80107206715752e-09
1886,3.2267319927115068e-09
1887,3.264462256069578e-09
1888,0.0
1889,2.5060546970934183e-09
1890,1.1142456735058204e-08
1891,9.561330394092238e-09
1892,3.1342561879199593e-09
1893,1.23168328869383e-08
1894,6.301539290376468e-09
1895,1.3240951446391591e-08
1896,9.435246361988447e-09
1897,9.905413378419325e-09
1898,1.3014216371232123e-08
1899,6.633094074004475e-09
1900,1.453494924419374e-08
1901,6.706486921359556e-09
1902,1.9641135384773634e-09
1903,1.9440793863623185e-08
1904,1.666133897515465e-08
1905,8.773290538499623e-09
1906,1.18316245689698e-08
1907,1.697138252154673e-08
1908,1.1296195090437777e-08
1909,2.3104130164597336e-08
1910,8.01622590529405e-09
1911,5.852411444351446e-09
1912,4.167536982180309e-09
1913,3.71209285532359e-09
1914,8.705766774141921e-09
1915,1.1780761921542648e-09
1916,2.0876177231343718e-08
1917,7.676496771580332e-09
1918,9.189101035644853e-09
1919,1.4732557396257562e-08
1920,1.4387239843927091e-08
1921,6.815472630705699e-09
