year,pouvait_VERB attraper_VERB,pouvait_VERB rattraper_VERB
1800,9.432493897065797e-09,0.0
1801,0.0,0.0
1802,4.475680270843441e-09,0.0
1803,0.0,0.0
1804,2.4718509461507665e-09,0.0
1805,0.0,0.0
1806,1.729001475325731e-08,0.0
1807,0.0,0.0
1808,9.064295980465431e-09,0.0
1809,0.0,0.0
1810,7.020380277111826e-09,0.0
1811,2.5070767684098882e-09,0.0
1812,2.6672082320544632e-09,0.0
1813,4.3136125782439194e-08,0.0
1814,0.0,0.0
1815,8.091670444798638e-09,0.0
1816,0.0,0.0
1817,1.0898113522728181e-08,0.0
1818,9.536941902865692e-09,0.0
1819,9.315945348475907e-09,0.0
1820,2.3732962262101864e-09,0.0
1821,1.4792232327920374e-08,0.0
1822,2.3058916553964082e-08,0.0
1823,9.882686669016039e-09,0.0
1824,1.9368560089105813e-08,0.0
1825,2.7296874094417944e-08,0.0
1826,1.8496766784892316e-08,0.0
1827,6.452091305675367e-09,0.0
1828,1.3758452155343548e-08,0.0
1829,2.3147574523818548e-08,0.0
1830,3.026682549034376e-08,4.174734336004349e-09
1831,1.091384405071949e-08,0.0
1832,8.117981842303834e-09,0.0
1833,0.0,0.0
1834,2.42697808516823e-08,0.0
1835,1.8151411040889798e-08,0.0
1836,2.1506400216253496e-08,4.032449929525228e-09
1837,2.7135774516295896e-08,0.0
1838,1.5149188570262595e-08,0.0
1839,1.3982949909063791e-08,0.0
1840,1.0828470564661075e-08,0.0
1841,2.6966304744746594e-08,0.0
1842,1.8112315203211438e-08,0.0
1843,1.2995204023980023e-08,0.0
1844,1.4819115712327857e-08,0.0
1845,2.399498022498392e-08,0.0
1846,1.2294452567118697e-08,0.0
1847,5.9325460100012606e-09,0.0
1848,9.65426583121598e-09,0.0
1849,1.005529792763582e-08,0.0
1850,8.82569484161877e-09,0.0
1851,3.2247193804124663e-09,0.0
1852,7.812654523320361e-09,0.0
1853,8.360704129017904e-09,0.0
1854,1.1950028522278444e-08,1.0391328908454511e-09
1855,9.021793090369101e-09,0.0
1856,9.836659486950339e-09,0.0
1857,1.513267733344037e-08,9.763018171682347e-10
1858,1.663849857891364e-08,0.0
1859,1.9859475841599306e-08,0.0
1860,5.034902272882391e-09,0.0
1861,6.13075279431996e-09,2.357981809808507e-09
1862,8.132375661773494e-09,0.0
1863,1.7980635647063536e-08,0.0
1864,5.753673537611803e-09,9.589455896019672e-10
1865,6.118897832863013e-09,0.0
1866,1.6056523222118813e-08,0.0
1867,7.279217228983725e-09,4.85281148598915e-10
1868,8.397785578040384e-09,4.93987406535723e-10
1869,1.12320943657096e-08,4.883519144627257e-10
1870,1.204150201772336e-08,5.734048791339319e-10
1871,1.5931766128574054e-08,3.18635318130589e-09
1872,1.3908880269752899e-08,0.0
1873,1.3169209722718733e-08,0.0
1874,1.5533982988813477e-08,4.182226565063729e-09
1875,5.721527251978387e-09,0.0
1876,4.232210137899983e-09,0.0
1877,1.1132669008873108e-08,0.0
1878,1.9928991790152395e-08,6.039088673581716e-10
1879,7.94212251520321e-09,0.0
1880,1.4761046607247863e-08,0.0
1881,6.2752567586699115e-09,0.0
1882,2.6621540527571597e-08,6.655385131892899e-10
1883,8.21514056781325e-09,0.0
1884,1.386356363042296e-08,1.9805090900604227e-09
1885,7.7347630522695e-09,0.0
1886,2.0005737511041843e-08,0.0
1887,1.3710741875172516e-08,3.264462256069578e-09
1888,7.60873763994141e-09,0.0
1889,8.771191772893872e-09,6.265136742733546e-10
1890,6.554386366985909e-09,0.0
1891,3.1871101313640793e-09,0.0
1892,1.6298132621272998e-08,1.8805537127519756e-09
1893,4.926733243593162e-09,6.158416554491453e-10
1894,7.561847148451761e-09,6.301539290376468e-10
1895,8.426059849853118e-09,0.0
1896,1.8280790214930676e-08,0.0
1897,9.905413378419325e-09,0.0
1898,6.224190496340043e-09,5.092519295146758e-09
1899,1.326618814800895e-08,1.6582735185011188e-09
1900,4.15284251431558e-09,1.5573159428683425e-09
1901,5.029864968975062e-09,3.912117296778206e-09
1902,8.838511256215043e-09,9.820567692386817e-10
1903,4.320176216765503e-09,0.0
1904,8.061937784020756e-09,8.599400302955473e-09
1905,1.9610883583709438e-08,6.192911072844254e-09
1906,4.629765903985117e-09,1.0288369045596824e-09
1907,5.142843484406967e-09,3.0857059130084963e-09
1908,1.3751889405000384e-08,9.822778146428846e-10
1909,5.5009836685826485e-09,1.6502950117569526e-09
1910,4.809735720812114e-09,5.344150677544235e-10
1911,5.3203743632934675e-09,0.0
1912,2.6047106693738442e-09,1.5628263128064646e-09
1913,6.363587878865928e-09,5.30298971401777e-10
1914,2.0090231700464756e-09,0.0
1915,2.3561523843085297e-09,1.0602685840410686e-08
1916,8.789969641043172e-09,4.394984820521586e-09
1917,1.0966424435210342e-09,5.483212106582869e-09
1918,2.1824114071478107e-08,0.0
1919,1.1049418269237776e-08,2.762354567309444e-09
1920,6.057785384427916e-09,9.086678076641874e-09
1921,7.572747762196741e-09,3.0290989716519334e-09
1922,8.115729421831475e-09,0.0
1923,5.307974060286824e-09,1.0615948120573648e-09
1924,9.02413699321869e-09,9.02413699321869e-09
1925,8.798542339150117e-09,5.499089184013428e-09
1926,1.0031524944054127e-08,1.1146138456652466e-09
1927,8.919379901328739e-09,3.3447675740205796e-09
1928,6.8556245125250825e-09,2.2852082448565625e-09
1929,2.0052731031228177e-08,2.2280812750352652e-09
1930,7.352522590764465e-09,1.0503603542488804e-09
1931,1.4826963656844327e-08,4.5621426636444085e-09
1932,1.2055489939655217e-08,5.4797681947604815e-09
1933,1.0323596200123575e-08,0.0
1934,5.990790086229936e-09,1.1981580172459871e-09
1935,4.787313656606784e-09,7.180970484910176e-09
1936,3.6374143697059935e-09,1.2124714565686645e-09
1937,1.2591118370153254e-08,3.777335333410292e-09
1938,1.1668692678767911e-08,2.5930428915188486e-09
1939,4.588215141154706e-09,9.176430282309411e-09
1940,2.5357829169792012e-09,5.0715658339584024e-09
1941,1.1806010391524069e-08,2.9515025978810172e-09
1942,1.2136847082899749e-08,3.034211770724937e-09
1943,5.806470415592457e-09,2.9032352077962287e-09
1944,9.639558484764166e-09,6.4263723231761105e-09
1945,8.714016175304096e-09,2.178504043826024e-09
1946,1.3921104269343232e-08,9.744772988540262e-09
1947,5.960435700558264e-09,3.5762612871081956e-09
1948,8.697510267552389e-09,1.0871887834440486e-09
1949,1.9634016634739737e-09,6.8719057111366055e-09
1950,7.444753258312176e-09,2.1270722960764488e-09
1951,1.7058242818279723e-08,3.1984206394497505e-09
1952,9.490323193972472e-09,0.0
1953,1.6160740301529586e-08,9.69644453618912e-09
1954,5.863521668203475e-09,9.772536557761669e-09
1955,7.508486277174597e-09,0.0
1956,4.360570571293465e-09,5.232684952005684e-09
1957,1.501956425897788e-08,1.7670075402875796e-09
1958,1.1581140491045971e-08,3.3088973783179654e-09
1959,1.007597205671118e-08,3.8753737996444215e-09
1960,1.038124963770315e-08,3.460416619915918e-09
1961,5.55852741612739e-09,6.25334317660986e-09
1962,6.976152100435229e-09,5.0735651235811474e-09
1963,1.3578711488548834e-08,1.2932106496776896e-09
1964,6.083968440151466e-09,4.258777774879263e-09
1965,1.3132904541635071e-08,2.188817349590977e-09
1966,1.273987226824147e-08,4.985167390003653e-09
1967,1.035370456037299e-08,3.451234853457663e-09
1968,8.982831367632116e-09,3.1439910674890825e-09
1969,8.175163657142548e-09,4.541757636644661e-09
1970,5.518470125309705e-09,3.219107425067591e-09
1971,1.0276794526475896e-08,4.1107179882260425e-09
1972,8.208234980600082e-09,2.565073486948677e-09
1973,4.9618833486420044e-09,5.513203782392395e-10
1974,1.5751600912494723e-08,2.2502286700643026e-09
1975,8.567219822452898e-09,2.2845920710778955e-09
1976,7.427584769459372e-09,1.142705374768127e-09
1977,1.469195431980097e-08,4.7014254711541525e-09
1978,1.3663360221016774e-08,4.752473081737207e-09
1979,8.777959692451986e-09,5.266775904289034e-09
1980,1.0233271119375331e-08,1.7055452605774235e-09
1981,1.2018544381930951e-08,1.2651099057237047e-09
1982,1.3035754697909852e-08,3.7245013739806154e-09
1983,8.209910973278056e-09,6.315316047889041e-10
1984,8.69851302098823e-09,4.059305780401701e-09
1985,9.624892882698077e-09,4.812446441349039e-09
1986,1.3187867686781374e-08,2.3977941854269602e-09
1987,1.588812459374367e-08,4.888653482026939e-09
