year,voulut_VERB acheter_VERB,voulut_VERB racheter_VERB
1800,2.2009151834367913e-08,3.144164484325529e-09
1801,1.6668277424969347e-08,1.4287095950749062e-08
1802,1.5664880947952042e-08,0.0
1803,2.145373123596528e-08,0.0
1804,1.0134588990240445e-07,0.0
1805,5.685755510853596e-08,4.5486043376286034e-08
1806,2.881669125542885e-08,3.458002950651462e-08
1807,4.839823830593559e-08,0.0
1808,4.305540457494317e-08,4.5321479902327155e-09
1809,4.969867006821005e-08,9.036122072814123e-09
1810,4.914266327205041e-08,3.510190182964834e-08
1811,7.019814773912003e-08,2.5070767684098882e-09
1812,6.668020802180763e-08,1.600324850414836e-08
1813,3.738464116054274e-08,2.8757416448144113e-09
1814,1.8880061958270744e-08,2.8320094713762956e-08
1815,5.933891955578474e-08,2.697223555614414e-09
1816,1.8540831092650478e-08,2.3176038865813098e-09
1817,3.89218364205135e-08,1.556873407970727e-09
1818,3.337929754820834e-08,0.0
1819,3.726378139390363e-08,3.415846450138815e-08
1820,6.645229433388522e-08,1.0679833017945839e-08
1821,1.8736827200882544e-08,1.0847637454958203e-08
1822,6.616906489398389e-08,0.0
1823,3.5577674140085946e-08,4.348382276475604e-08
1824,3.789500624407083e-08,3.3684450784221553e-09
1825,7.660735690251386e-08,8.805443485471187e-09
1826,7.134467239211517e-08,1.7615968683770689e-09
1827,3.410390903013649e-08,3.6869092223668076e-09
1828,4.677873732816806e-08,4.586150570418113e-09
1829,7.973054039212002e-08,2.571952872898464e-09
1830,4.4878394334091354e-08,7.305785310052215e-09
1831,1.870944643656003e-08,1.5591206103948707e-09
1832,4.19429042608499e-08,1.488296597074168e-08
1833,2.7800709290204395e-08,6.950177322551099e-09
1834,3.640467127752345e-08,1.120143711119681e-08
1835,1.5882484660778573e-08,2.0420337421001022e-08
1836,3.1587525484155776e-08,1.008112526790228e-08
1837,4.940102726891382e-08,1.3915782304252389e-08
1838,4.292270006089893e-08,6.943378316748294e-09
1839,3.775396706373613e-08,1.1885507689157748e-08
1840,4.58617570586739e-08,4.458782232319436e-09
1841,2.5682194149112547e-08,2.8250413564023802e-08
1842,4.561620414733625e-08,9.391571076378114e-09
1843,3.485077471054865e-08,7.088293507706567e-09
1844,2.4698525891153622e-08,1.6465683927435748e-08
1845,4.51998474204629e-08,1.0044410636567136e-08
1846,4.2152407786488766e-08,8.196302303531411e-09
1847,3.5055954583640414e-08,7.550513103637968e-09
1848,2.091757700384278e-08,2.413566457803995e-09
1849,1.9272654583346593e-08,1.4245005175439474e-08
1850,2.1724787302446202e-08,1.3577992064028876e-09
1851,3.740674614505224e-08,1.3543821175687754e-08
1852,2.018269107395554e-08,8.463708844885787e-09
1853,4.896984151514516e-08,7.763511611358354e-09
1854,2.3900057044556888e-08,4.676098175337984e-09
1855,3.290301009428731e-08,1.3798036491152743e-08
1856,5.1254172461767666e-08,1.1389816201301528e-08
1857,4.930324237761852e-08,1.5620829074691756e-08
1858,4.79580251067091e-08,3.4255731584664773e-09
1859,3.7172863898149444e-08,1.018434669930457e-08
1860,2.8836257826014844e-08,6.865775947773045e-09
1861,3.8670901147952463e-08,1.5562680033553988e-08
1862,4.156547461775517e-08,5.421583626485926e-09
1863,2.447364266799923e-08,4.495158911765884e-09
1864,3.835782536043553e-08,1.4384183621984903e-08
1865,3.294790928975999e-08,1.2237795665726026e-08
1866,2.4814625021463144e-08,5.838735717134114e-09
1867,2.8631587767335986e-08,1.94112459439566e-09
1868,2.420538258718352e-08,2.9639244392143382e-09
1869,1.8069020057964735e-08,9.278686263769487e-09
1870,4.6445794765759274e-08,6.880858549607183e-09
1871,3.504988654867702e-08,2.1242354542039266e-09
1872,2.3584624031514068e-08,1.69325495846806e-08
1873,1.1972009161809183e-08,1.6760813181804224e-08
1874,2.2106053876314036e-08,5.974609140757536e-10
1875,2.0025344937835143e-08,1.4875970677508121e-08
1876,1.4510435519810017e-08,1.0278225381910033e-08
1877,3.3398006138440905e-08,1.0514186854493346e-08
1878,1.2078177569208037e-08,1.268208649207736e-08
1879,1.3440515367335593e-08,4.887460214320072e-09
1880,3.0805662021293756e-08,1.7969970400599777e-08
1881,1.1156012114099667e-08,7.669758161910067e-09
1882,2.1297232422057277e-08,1.9966155395678697e-09
1883,8.847074184359371e-09,5.0554711528150165e-09
1884,2.178559910248623e-08,2.6406787867472303e-09
1885,2.5782542323327107e-08,9.66845359329227e-09
1886,2.2587123282846733e-08,1.2906927748801422e-09
1887,2.3504128421336645e-08,7.1818169189441505e-09
1888,1.268122939990235e-08,2.53624587998047e-09
1889,1.1903759755682586e-08,1.8795409673089125e-09
1890,1.9663159989136147e-08,4.5880703680722945e-09
1891,1.1473596295275001e-08,4.461953917456185e-09
1892,1.7551833764173352e-08,3.1342561879199593e-09
1893,1.1085149687062312e-08,7.390100087434348e-09
1894,8.822155450616265e-09,2.520615716150587e-09
1895,1.3842813118003505e-08,1.023164486468886e-08
1896,1.3563166589847242e-08,1.0024948871034667e-08
1897,2.680288169187861e-08,2.9133566670225264e-09
1898,1.867257104493092e-08,5.6583548957434e-10
1899,2.2110313580014918e-08,9.949641111006713e-09
1900,1.4015843596837385e-08,1.038210584169974e-08
1901,1.4530721514915967e-08,1.676621730339889e-09
1902,2.2096276808269977e-08,3.437198747846537e-09
1903,1.5660639007819555e-08,3.7801539676252105e-09
1904,2.1498500757388683e-08,3.7622376325430196e-09
1905,1.3934049469810361e-08,1.0321518084666081e-09
1906,2.1605574218597212e-08,4.629765903985117e-09
1907,2.0571373937627868e-08,1.028568674676933e-09
1908,1.4734167663732478e-08,3.929111258571538e-09
1909,1.980354014108343e-08,5.5009836685826485e-09
1910,1.870452770447173e-08,1.6032452032632705e-09
1911,7.980561100850991e-09,5.320374141248863e-10
1912,1.9795800554334164e-08,8.856016364688912e-09
1913,1.113627856597077e-08,3.71209285532359e-09
1914,7.366418142140674e-09,4.68772043404897e-09
1915,2.238344798399794e-08,7.068456930880984e-09
1916,2.6369908923129515e-08,5.493730803607377e-09
1917,1.315970976634162e-08,4.386569774084137e-09
1918,2.067547733020092e-08,8.040463406189247e-09
1919,1.1049418269237776e-08,9.207848372660976e-10
1920,1.1358347151713133e-08,3.786115865267448e-09
1921,2.196096815509918e-08,1.5145494858259667e-09
1922,2.2133805899215986e-08,3.6889677978990676e-09
1923,2.1231896241147297e-08,3.1847844361720945e-09
1924,2.1915761649893284e-08,1.289162443462999e-09
1925,2.4195990988573612e-08,7.698724324711748e-09
1926,2.1177662290483568e-08,5.57306911730393e-09
1927,2.3413372574054847e-08,7.804457524684949e-09
1928,2.742249805010033e-08,2.2852082448565625e-09
1929,1.893869061575515e-08,1.1140406375176326e-09
1930,1.470504518152893e-08,2.100720708497761e-09
1931,1.4826963656844327e-08,1.0264820993199919e-08
1932,1.0959536389520963e-08,3.287861094491973e-09
1933,1.605892663292252e-08,0.0
1934,2.6359476379411717e-08,7.188948103475923e-09
1935,1.9149254626427137e-08,8.377798899061872e-09
1936,1.8187071404440758e-08,1.2124714565686645e-09
1937,2.2664012888640173e-08,2.5182236296217297e-09
1938,1.5558256905023882e-08,1.2965214457594243e-09
1939,3.058810094103137e-09,7.647025235257843e-09
1940,1.0143131667916805e-08,5.0715658339584024e-09
1941,2.066051862925633e-08,8.854508237732261e-09
1942,1.2136847082899749e-08,6.068423541449874e-09
1943,1.4516175816936538e-08,5.806470415592457e-09
1944,1.927911696952833e-08,3.2131861615880553e-09
1945,2.178504132643866e-08,0.0
1946,1.1136883415474585e-08,6.960552134671616e-09
1947,1.6689218895749036e-08,1.1920871401116528e-08
1948,9.784699273041042e-09,2.174377566888097e-09
1949,1.7670615193310368e-08,5.890204768377316e-09
1950,1.595304155443955e-08,3.190608444114673e-09
1951,1.1727541604500402e-08,2.1322803522849654e-09
1952,7.381362632230548e-09,0.0
1953,6.464296653518886e-09,5.386913581872932e-09
1954,1.172704333640695e-08,0.0
1955,1.9709776921672528e-08,1.8771215692936494e-09
1956,2.703553825256222e-08,8.72114114258693e-09
1957,1.236905244894615e-08,8.835037701437898e-10
1958,1.4890038535497752e-08,8.272243445794913e-10
1959,1.9376869886400527e-08,7.750747821333448e-10
1960,1.314958364417862e-08,7.612916519406099e-09
1961,1.389631876236308e-08,2.08444772553662e-09
1962,8.244543714397423e-09,6.341956404476434e-10
1963,1.6165133231993423e-08,1.939815863494232e-09
1964,1.4601523545820783e-08,1.8251904432275978e-09
1965,1.4774516721161035e-08,3.830430195250756e-09
1966,9.970334780007306e-09,7.754704434148607e-09
1967,1.035370456037299e-08,5.423369309198733e-09
1968,1.4372530721118437e-08,4.940557296606585e-09
1969,1.1808570121729645e-08,5.904285060864822e-09
1970,1.4256047897731605e-08,3.219107425067591e-09
1971,1.490135304038631e-08,6.166076982339064e-09
1972,1.3338381954497436e-08,5.130146973897354e-09
1973,1.543697081274331e-08,4.410563025913916e-09
1974,1.4626486688484874e-08,3.3753431161187564e-09
1975,1.2565256390928425e-08,1.7134440533084216e-09
1976,5.142174241967723e-09,2.856763492431469e-09
1977,5.876781727920388e-09,5.289103821581875e-09
1978,1.128712323605896e-08,3.5643548113029055e-09
1979,1.6385525825057812e-08,2.3407893401383717e-09
1980,1.3644362084619388e-08,5.685150683554241e-10
1981,8.855769451088236e-09,6.325549528618524e-10
