year,aurait_VERB emporté_VERB,aurait_VERB remporté_VERB
1800,3.772997558826319e-08,6.288328791015374e-08
1801,5.714838380299625e-08,9.28661236798689e-08
1802,2.4616241489638924e-08,4.699464284385613e-08
1803,7.021220937986072e-08,5.851017803593095e-08
1804,5.6852570651244605e-08,3.213406074564773e-08
1805,3.4114531644036106e-08,8.528632911009026e-09
1806,4.610670600868616e-08,2.881669125542885e-09
1807,7.117387923472052e-08,3.701041606518629e-08
1808,6.798222074166915e-08,2.4926814390369145e-08
1809,1.3554183553310395e-08,5.421673421324158e-08
1810,4.212228077449254e-08,1.8721014072298203e-08
1811,6.016983888912364e-08,7.270522672797597e-08
1812,1.0935553973467904e-07,2.9339290108509886e-08
1813,4.3136125782439194e-08,3.4508900625951355e-08
1814,5.349351184236184e-08,2.2026739543434815e-08
1815,3.506390555685357e-08,2.697223555614414e-09
1816,3.7081662185300956e-08,9.270415546325239e-09
1817,5.1376822796100896e-08,2.490997452753163e-08
1818,1.3470931037318223e-07,3.099506074022429e-08
1819,9.212434548544479e-08,4.34744116262209e-08
1820,6.763894333516873e-08,8.662531314485022e-08
1821,9.368413600441272e-08,9.171183990019927e-08
1822,7.719724237631453e-08,1.3434325296657335e-07
1823,9.882686669016039e-08,7.906149335212831e-08
1824,1.288430269141827e-07,4.463189640091514e-08
1825,8.277116592125822e-08,2.3774695989686734e-08
1826,5.6371099788066203e-08,4.492072136486058e-08
1827,9.678137047330893e-08,6.083400450052068e-08
1828,1.0272977135628025e-07,4.769596628761974e-08
1829,7.030004667285539e-08,6.42988169374803e-08
1830,8.036363396968227e-08,3.965997663613052e-08
1831,7.951515357262906e-08,2.182768810143898e-08
1832,1.1094574858816486e-07,2.705993829010822e-08
1833,9.730248251571538e-08,8.108539617524002e-09
1834,8.401077877806529e-08,3.173740381612333e-08
1835,7.714349692378164e-08,2.3445572594482655e-08
1836,9.677879830860547e-08,2.5538851033957144e-08
1837,5.4967337348443834e-08,3.478945487245255e-08
1838,7.511472688292997e-08,2.7142295522253335e-08
1839,6.432156851587933e-08,2.23727205650448e-08
1840,4.522479102320176e-08,2.165694112932215e-08
1841,5.906904476660202e-08,4.1091510638580075e-08
1842,6.439934452373564e-08,4.024958855097793e-08
1843,6.97015494210973e-08,4.371114314949409e-08
1844,1.0757580071185657e-07,2.7991662321369404e-08
1845,6.528866691724033e-08,2.7901139176833567e-08
1846,1.0011197559833818e-07,1.4636253098387897e-08
1847,8.089835290547853e-08,1.833696039454935e-08
1848,5.712107409294731e-08,1.206783295515379e-08
1849,3.77073661184113e-08,2.6814127807028854e-08
1850,5.0917471128286707e-08,3.6660580349234806e-08
1851,6.320450296470881e-08,2.257303499675345e-08
1852,4.948014620254071e-08,3.2552726736412296e-08
1853,6.151089593231518e-08,1.791579506971175e-08
1854,3.792835201466005e-08,2.8576154775805662e-08
1855,7.323573214534917e-08,2.2819829581521844e-08
1856,6.316170697573398e-08,2.1226476576430287e-08
1857,1.0983395526409367e-07,2.3431244500216053e-08
1858,7.780944599744544e-08,2.936205589776364e-08
1859,9.878816342734353e-08,2.953460587207246e-08
1860,5.996110985506675e-08,4.211009141386057e-08
1861,6.366551019709732e-08,4.0557289082698844e-08
1862,8.13237548413781e-08,2.3041730301542884e-08
1863,6.692791743034832e-08,3.995696573610985e-08
1864,8.294879449977088e-08,1.582260189536555e-08
1865,4.283228349777346e-08,1.6473954644879996e-08
1866,7.493044051898323e-08,2.1408697037372804e-08
1867,4.804283548764943e-08,3.736664666575962e-08
1868,8.397785933311752e-08,1.333765986544222e-08
1869,4.688178378842167e-08,2.8324411260882698e-08
1870,8.945116292125022e-08,1.834895613228582e-08
1871,5.416800519242315e-08,2.2304472935275044e-08
1872,8.889588798410841e-08,9.675742873582749e-09
1873,5.447263973223926e-08,2.21482157058972e-08
1874,8.364452952491774e-08,3.943242177228967e-08
1875,6.179249112392426e-08,2.7463329388410784e-08
1876,7.85981910667033e-08,2.539326260375674e-08
1877,5.999271479595336e-08,1.2369632429454214e-08
1878,5.193616203769125e-08,3.623453181944569e-08
1879,6.59807142255886e-08,2.993569481191116e-08
1880,6.482024872411785e-08,2.9522093214495726e-08
1881,3.974329487732575e-08,1.8825771164188154e-08
1882,1.1314154590991166e-07,1.3310770263785798e-08
1883,4.423537092179686e-08,3.981183382961717e-08
1884,4.7532218161450146e-08,3.4328824227713994e-08
1885,4.7697703564608673e-08,2.513797880965285e-08
1886,4.904632433522238e-08,1.677900662855336e-08
1887,4.6355363991779086e-08,2.8074376601239237e-08
1888,3.9311810695608074e-08,1.5851536971922542e-08
1889,5.200063668553412e-08,2.318100555953606e-08
