year,peut_VERB ajouter_VERB,peut_VERB rajouter_VERB
1800,3.106434405708569e-06,0.0
1801,2.688355152713484e-06,0.0
1802,3.363473751960555e-06,0.0
1803,2.9313598588487366e-06,0.0
1804,2.9934114991192473e-06,1.2359254952798437e-08
1805,2.9565928798547247e-06,0.0
1806,3.1410193059855374e-06,0.0
1807,2.6334334961575223e-06,0.0
1808,2.8620513603527797e-06,9.064295980465431e-09
1809,3.2371906399930594e-06,0.0
1810,2.8455940537241986e-06,0.0
1811,2.449414068905753e-06,0.0
1812,3.4513675473135663e-06,0.0
1813,3.3588662518013734e-06,0.0
1814,2.3442744350177236e-06,0.0
1815,2.8941208256583195e-06,0.0
1816,2.567905085015809e-06,0.0
1817,2.4956680135801435e-06,0.0
1818,2.168462060581078e-06,0.0
1819,2.691273039090447e-06,0.0
1820,2.4160156044672476e-06,0.0
1821,2.4190230760723352e-06,0.0
1822,2.501391236364725e-06,0.0
1823,2.2166866529005347e-06,0.0
1824,2.362964323765482e-06,8.421112696055388e-10
1825,2.190794248235761e-06,0.0
1826,2.217850351371453e-06,0.0
1827,2.2849619654152775e-06,0.0
1828,2.513210574761615e-06,0.0
1829,2.2984684164839564e-06,0.0
1830,2.2929727947484935e-06,0.0
1831,2.3714223971182946e-06,0.0
1832,2.166148078686092e-06,0.0
1833,1.851063871072256e-06,0.0
1834,2.049863041975186e-06,9.334530925997342e-10
1835,2.0715297068818472e-06,0.0
1836,1.8327485804547905e-06,0.0
1837,2.0094389583391603e-06,0.0
1838,1.9283654637547443e-06,0.0
1839,2.033820237556938e-06,0.0
1840,1.9453029835858615e-06,0.0
1841,1.957625272552832e-06,0.0
1842,2.0017462247778894e-06,0.0
1843,2.232221731901518e-06,0.0
1844,2.0126553863519803e-06,0.0
1845,1.927968696691096e-06,0.0
1846,2.018632130784681e-06,0.0
1847,1.7803031369112432e-06,5.393223645455691e-10
1848,1.8125884935216163e-06,0.0
1849,1.6021441524571856e-06,0.0
1850,1.8452491303833085e-06,0.0
1851,1.9045193084821221e-06,0.0
1852,1.8594117818793165e-06,0.0
