year,pourraient_VERB emporter_VERB,pourraient_VERB remporter_VERB
1800,3.772997558826319e-08,3.144164484325529e-09
1801,4.7623651688866175e-09,0.0
1802,2.4616241489638924e-08,0.0
1803,5.851017448321727e-09,7.801356893821776e-09
1804,5.19088700912107e-08,0.0
1805,8.528632911009026e-09,0.0
1806,0.0,0.0
1807,1.1387820464392462e-08,0.0
1808,1.1330369531492579e-08,2.2660739951163578e-09
1809,2.4849335034105025e-08,1.581321384946932e-08
1810,9.360507036149102e-09,2.3401267590372754e-09
1811,0.0,0.0
1812,4.5342538612658245e-08,0.0
1813,8.627225156487839e-09,0.0
1814,0.0,4.090680150170556e-08
1815,5.1247248222807684e-08,0.0
1816,2.5493642752394408e-08,0.0
1817,2.3353100786493997e-08,0.0
1818,2.741870730460505e-08,3.5763532135746345e-09
1819,3.415846450138815e-08,0.0
1820,8.306536791735653e-09,0.0
1821,3.944595405869222e-08,6.903041693817613e-09
1822,4.511527151862538e-08,6.015369535816717e-09
1823,8.894418535021487e-09,0.0
1824,4.463189640091514e-08,3.03160057057994e-08
1825,4.754939197937347e-08,4.4027217427355936e-09
1826,2.2019960965735663e-08,9.688783109140786e-09
1827,4.608636672287503e-08,1.8434546111834038e-09
1828,2.4765213879618386e-08,9.172301251858528e-10
1829,3.086343269842473e-08,0.0
1830,3.861629238599562e-08,4.174734336004349e-09
1831,3.1182413096075834e-08,0.0
1832,3.2471927369215337e-08,0.0
1833,3.359252431778259e-08,5.791814139399776e-09
1834,7.467624740797874e-09,0.0
1835,3.857174846189082e-08,7.563087933704082e-10
1836,6.317505096831155e-08,6.720750067579218e-10
1837,4.313892532081809e-08,7.653680356156656e-09
1838,4.7341213615936795e-08,2.5248647617104325e-09
1839,4.264799713382672e-08,6.9914751765765e-10
1840,2.229391071750797e-08,2.5478754661634184e-09
1841,3.723918240439161e-08,3.2102742686390684e-09
1842,3.8237111255057243e-08,3.3541325272778977e-09
1843,3.2488010504039266e-08,4.7255288571079745e-09
1844,5.2690189988879865e-08,1.6465684371524958e-09
1845,4.408380149811819e-08,3.348136878855712e-09
1846,5.034871009002018e-08,1.7563503984519002e-09
1847,2.6426796750911308e-08,1.0247124926365814e-08
1848,5.390298696283935e-08,4.82713291560799e-09
1849,9.217356655710773e-09,9.217356655710773e-09
1850,3.93761752093269e-08,0.0
