year,devrait_VERB acheter_VERB,devrait_VERB racheter_VERB
1800,0.0,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,1.950339223455444e-09,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,5.693910232196231e-09,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,4.680253518074551e-09,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,2.8757416448144113e-09,0.0
1814,0.0,3.1466771410748606e-09
1815,0.0,0.0
1816,9.270415546325239e-09,0.0
1817,0.0,0.0
1818,1.9073883805731384e-08,1.1921177378582115e-09
1819,6.210630232317271e-09,0.0
1820,8.306536791735653e-09,1.1866481131050932e-09
1821,5.9168927535324656e-09,0.0
1822,5.012807946513931e-09,0.0
1823,3.9530747564242574e-09,1.4824030003524058e-08
1824,8.421112696055388e-09,0.0
1825,6.163809906922779e-09,8.805443041381977e-10
1826,7.0463874735082754e-09,0.0
1827,1.8434546111834038e-09,9.217273055917019e-10
1828,9.172301251858528e-10,9.172301251858528e-10
1829,8.573175946935407e-09,0.0
1830,3.1310507520032616e-09,0.0
1831,1.091384405071949e-08,0.0
1832,8.117981842303834e-09,2.705993873419743e-09
1833,1.1583628278799551e-08,0.0
1834,9.334531370086552e-09,0.0
1835,1.3613558280667348e-08,0.0
1836,9.409050427677812e-09,2.688300027031687e-09
1837,1.87863058442872e-08,1.3915781860163179e-09
1838,3.787297142565649e-09,0.0
1839,0.0,0.0
1840,1.9746034141121527e-08,0.0
1841,1.3483152372373297e-08,0.0
1842,5.366612043644636e-09,6.708265054555795e-10
1843,4.134837805480629e-09,0.0
1844,4.9397050894128824e-09,3.841992946007622e-09
1845,7.254296274794569e-09,5.580227946389016e-10
1846,2.6930706553685013e-08,2.3418005312692003e-09
1847,2.588747349818732e-08,0.0
1848,6.43617736884039e-09,1.206783295515379e-08
1849,0.0,8.379414939696517e-10
1850,0.0,0.0
1851,4.514607354622058e-09,0.0
1852,9.765818376195057e-09,4.557382027314816e-09
1853,1.1943863675867306e-09,1.1943863675867306e-09
1854,1.1950028522278444e-08,5.195664454227256e-10
1855,1.0083180512765466e-08,5.306937111981824e-10
1856,5.177189343896771e-09,9.318940286107136e-09
1857,4.881508974818871e-09,2.9289055625270066e-09
1858,6.8511463169329545e-09,0.0
1859,6.110608019582742e-09,5.092173349652285e-10
1860,1.0985241161165504e-08,3.661747127736703e-09
1861,3.3011746669586728e-09,4.715963730639317e-10
1862,3.6143890103090826e-09,9.035972525772706e-10
1863,1.3485475847119233e-08,3.496234635136375e-09
1864,7.1920918109924514e-09,4.794727948009836e-10
1865,8.943004559114343e-09,3.294791106611683e-09
1866,5.838735717134114e-09,1.9462451650298362e-09
1867,2.717574432153924e-08,1.94112459439566e-09
1868,4.939874287401835e-09,0.0
1869,9.767038733343725e-09,4.883519366671862e-09
1870,2.2936195165357276e-08,3.4404292748035914e-09
1871,2.1242354542039266e-09,0.0
1872,9.675742873582749e-09,6.047339295989218e-10
1873,5.387403856360606e-09,4.190203295451056e-09
1874,1.2546679251101978e-08,5.974609140757536e-10
1875,9.7265964171811e-09,2.2886108563824337e-09
1876,1.269663130187837e-08,6.04601479992084e-10
1877,1.36065949618569e-08,1.1751150275074451e-08
1878,1.509772218355465e-08,1.2078177347163432e-09
1879,2.3215436684154156e-08,7.331190321480108e-09
1880,1.6044616302224313e-08,5.776061406947974e-09
1881,8.367009307619355e-09,1.3945015142624584e-09
1882,1.0648616211028639e-08,0.0
1883,1.2006744043446815e-08,1.8958017378167824e-09
1884,1.2543224237049344e-08,6.601696966868076e-10
1885,9.66845359329227e-09,1.2891271383708158e-09
1886,1.2261581083805595e-08,0.0
1887,5.223139698529167e-09,2.6115698492645834e-09
1888,1.268122939990235e-08,0.0
1889,6.891650361495749e-09,1.2530273485467092e-09
1890,1.2453334363726754e-08,3.9326319978272295e-09
1891,3.824531802365527e-09,6.374220040683554e-10
1892,1.1283322720601063e-08,4.387958441043338e-09
1893,3.079208221734575e-09,0.0
1894,1.6384001710889606e-08,1.2603078580752936e-09
1895,7.824199066419624e-09,6.018614495673091e-09
1896,5.897029087265082e-09,0.0
1897,6.992056267307589e-09,5.826713556089658e-10
1898,1.4711722506888236e-08,2.26334195829736e-09
1899,8.844125432005967e-09,5.527578395003729e-09
1900,1.038210584169974e-08,1.038210628578895e-09
1901,1.2295225282343836e-08,5.588738916095792e-10
1902,1.915010727771005e-08,0.0
1903,2.430099144135056e-08,6.480264325148255e-09
1904,6.987012746151322e-09,1.0749250378694342e-09
1905,7.741138396966107e-09,1.5482277682110634e-09
1906,1.0802787109298606e-08,2.572092316910357e-09
1907,1.4399961223432456e-08,6.685696440911215e-09
1908,4.4202499438483756e-09,3.437972351250096e-09
1909,8.801573692096554e-09,2.7504918342913243e-09
1910,6.412980813053082e-09,2.137660271017694e-09
1911,1.1172785363555704e-08,5.320374141248863e-10
1912,1.719108944087111e-08,2.0837684910901544e-09
1913,6.363587878865928e-09,3.181793939432964e-09
1914,1.2723813114234872e-08,1.3393487430235496e-09
1915,1.295883844676382e-08,0.0
1916,2.197492410260793e-09,0.0
1917,8.773139548168274e-09,0.0
1918,1.378365155346728e-08,1.1486376294556067e-09
1919,1.6574126959767455e-08,4.603924352863942e-09
1920,1.4387239843927091e-08,7.572231730534895e-10
1921,9.087297137000405e-09,9.087297137000405e-09
1922,5.902348387820666e-09,2.951174193910333e-09
1923,2.1231896241147297e-08,2.1231896241147297e-09
1924,9.02413699321869e-09,1.289162443462999e-09
1925,1.2097995494286806e-08,1.0998177923937646e-09
1926,6.687683296036084e-09,1.1146138456652466e-09
1927,8.919379901328739e-09,3.3447675740205796e-09
1928,6.8556245125250825e-09,9.14083297942625e-09
1929,6.684243825105796e-09,4.4561625500705304e-09
1930,1.2604324695075775e-08,2.100720708497761e-09
1931,9.124285327288817e-09,1.1405356659111021e-09
1932,5.4797681947604815e-09,1.0959536611565568e-09
1933,8.02946331646126e-09,0.0
1934,1.3179738189705859e-08,7.188948103475923e-09
1935,2.6330225111337313e-08,0.0
1936,1.2124714565686645e-08,1.2124714565686645e-09
1937,1.1332006444320086e-08,0.0
1938,3.8895642262559704e-09,2.5930428915188486e-09
1939,1.3764645423464117e-08,4.588215141154706e-09
1940,5.0715658339584024e-09,0.0
1941,8.854508237732261e-09,0.0
1942,2.4273694165799498e-08,3.034211770724937e-09
1943,8.709705845433291e-09,0.0
1944,3.2131861615880553e-09,0.0
1945,4.357008087652048e-09,8.714016175304096e-09
1946,2.7842208538686464e-09,1.3921104269343232e-09
1947,7.152522574216391e-09,2.3841741914054637e-09
1948,1.195907639583993e-08,1.0871887834440486e-09
1949,1.1780409536754632e-08,4.908504269707237e-09
1950,1.595304155443955e-08,1.0635361480382244e-09
1951,1.2793682557799002e-08,2.1322803522849654e-09
1952,7.381362632230548e-09,0.0
1953,1.508335856215126e-08,0.0
1954,1.7590565448699635e-08,9.772536113672459e-10
1955,1.407841132561316e-08,0.0
1956,6.976913269340912e-09,0.0
1957,1.1485549400447326e-08,8.835037701437898e-10
1958,6.617794756635931e-09,8.272243445794913e-10
1959,7.750747599288843e-09,2.325224457422337e-09
1960,3.460416619915918e-09,4.152500121534786e-09
1961,2.779263708063695e-09,3.47407969059077e-09
1962,1.2049716779927166e-08,1.2683912808952869e-09
1963,1.0345685197421517e-08,4.526237162849611e-09
1964,1.3384730657151067e-08,1.2167936658258327e-09
1965,4.924839203113152e-09,4.924839203113152e-09
1966,9.970334780007306e-09,5.539074754423723e-10
1967,6.409436092980059e-09,0.0
1968,1.3474247495537384e-08,2.245707841908029e-09
1969,9.537691525451919e-09,2.7250546263957176e-09
1970,7.817832603507213e-09,1.3796175313274261e-09
1971,1.644287195290417e-08,1.541519245584766e-09
1972,7.69522046084603e-09,0.0
1973,8.821126051827832e-09,3.859242703185828e-09
1974,1.5751600912494723e-08,4.500457340128605e-09
1975,1.4278700888326057e-08,1.1422960355389478e-09
1976,4.570821499072508e-09,3.9994687561772935e-09
1977,8.22749424145286e-09,1.1753563677885381e-09
1978,1.2475242172627077e-08,1.1881182704343018e-09
1979,7.022368020415115e-09,4.096381456264453e-09
1980,1.0233271119375331e-08,5.685150683554241e-10
1981,1.2018544381930951e-08,6.325549528618524e-10
1982,1.1173503899897241e-08,6.207502289967692e-10
1983,1.326216381158929e-08,1.89459470334441e-09
1984,1.9136727757995686e-08,1.1598016991243298e-09
1985,1.142956040922627e-08,5.414002135495366e-09
1986,1.1389522214244607e-08,1.7983456945813714e-09
1987,1.099947066762752e-08,2.4443267410134695e-09
1988,1.4391728697660255e-08,5.396898483667201e-09
1989,1.92084268491044e-08,6.036934507847036e-09
1990,8.717841559757744e-09,3.814055737905164e-09
1991,8.7921980806982e-09,1.7584396161396398e-09
1992,8.815910668147353e-09,3.856960972825618e-09
1993,4.4313659408601325e-09,4.4313659408601325e-09
1994,1.160483886764041e-08,2.1099706426497278e-09
1995,9.21816667442954e-09,1.626735190995987e-09
1996,8.540947504798169e-09,2.6690460952494277e-09
1997,1.2466725429760572e-08,2.3974471297094624e-09
1998,8.10582001520288e-09,1.43043876743576e-09
1999,1.1882523409667556e-08,3.1991407301035224e-09
2000,9.719669513685858e-09,4.418031274155965e-09
2001,7.448059946568719e-09,3.943090742808408e-09
2002,1.0076809608960957e-08,5.257465574004527e-09
2003,1.3750845795357236e-08,2.083461403401543e-09
2004,1.0131019578807354e-08,1.7619165015858584e-09
2005,5.854874363109275e-09,1.3511248786457486e-09
2006,8.235780057930242e-09,4.529678854225949e-09
2007,1.677681460421354e-08,3.994479413904628e-09
2008,1.1069342775726909e-08,3.405951742863067e-09
2009,1.8595951445377068e-08,2.384096253749135e-09
2010,1.322662068758973e-08,1.4171379625338432e-09
2011,2.141424282342541e-08,3.4415748029203996e-09
2012,1.974466634635519e-08,1.7021263287730903e-09
2013,2.0360612751346707e-08,3.3469500504423877e-09
2014,1.9489005964601347e-08,3.2481677347817595e-09
2015,1.994917830927534e-08,2.21657536769726e-09
2016,2.0713400772365276e-08,1.6570720351438695e-09
2017,2.264050280587071e-08,3.018733707449428e-09
2018,2.4265787601507327e-08,4.64663996169179e-09
2019,2.4744581494928752e-08,3.3162841361900064e-09
