year,devrait_VERB apporter_VERB,devrait_VERB rapporter_VERB
1800,0.0,9.432493897065797e-09
1801,2.3811825844433088e-09,2.3811825844433088e-09
1802,1.3427040812530322e-08,8.951360541686881e-09
1803,0.0,1.1702034896643454e-08
1804,4.943701892301533e-09,1.4831105232815389e-08
1805,0.0,1.9900143755080535e-08
1806,0.0,2.881669125542885e-09
1807,2.8469551160981155e-09,4.555128185756985e-08
1808,0.0,4.5321479902327155e-09
1809,2.25903047379461e-08,1.8072244145628247e-08
1810,2.3401267590372754e-09,2.574139479349924e-08
1811,3.259199843341776e-08,1.504245972228091e-08
1812,2.6672082320544632e-09,8.00162425207418e-09
1813,2.8757416448144113e-09,2.8757416448144113e-09
1814,6.608021863030444e-08,3.1466771410748606e-09
1815,8.091670444798638e-09,3.776112933451259e-08
1816,2.0858434979231788e-08,9.270415546325239e-09
1817,2.0239355080775567e-08,1.556873407970727e-09
1818,2.98029441125891e-08,1.1921176934492905e-08
1819,2.4842520929269085e-08,1.9666995143552413e-08
1820,1.6613073583471305e-08,1.542642635854463e-08
1821,1.676452932031225e-08,6.903041693817613e-09
1822,2.105379337535851e-08,1.0025615893027862e-08
1823,9.882686669016039e-09,2.075364236020505e-08
1824,1.6842225392110777e-08,8.421112696055388e-09
1825,6.163809906922779e-09,1.8491430608946757e-08
1826,2.1139161532346407e-08,6.1655889282974385e-09
1827,1.474763688946723e-08,1.935627302884768e-08
1828,2.4765213879618386e-08,3.3020285172824515e-08
1829,1.457439946506156e-08,1.457439946506156e-08
1830,3.026682549034376e-08,3.444155893816969e-08
1831,3.1182413096075834e-08,1.870944643656003e-08
1832,1.352996914505411e-08,3.92369123858316e-08
1833,3.1275796175123105e-08,1.0425265983826648e-08
1834,1.5868701908061666e-08,1.6802156110884425e-08
1835,2.7983425354705105e-08,2.647080776796429e-08
1836,1.68018754465038e-08,1.2097349788575684e-08
1837,2.99189295560609e-08,1.6003149028165353e-08
1838,6.943378316748294e-09,2.4617431648721322e-08
1839,2.0974426639952526e-09,4.544459031308179e-08
1840,1.6561189752906103e-08,4.713569623504554e-08
1841,2.760835826620678e-08,1.3483152372373297e-08
1842,2.683306021822318e-08,1.9453969102301016e-08
1843,2.0674189471492355e-08,4.371114314949409e-08
1844,1.756339607084101e-08,2.7991662321369404e-08
1845,1.4508592549589139e-08,2.8459162138005922e-08
1846,2.5759806732139623e-08,1.5807152919933287e-08
1847,2.9662729161827883e-08,4.0988499705463255e-08
1848,2.494018680465615e-08,2.735375304041554e-08
1849,2.1786478399121734e-08,1.4245005175439474e-08
1850,2.3761487000228954e-08,4.073397619208663e-08
1851,3.8696632564949596e-09,3.1602251482354404e-08
1852,1.6927417689771573e-08,2.7344290387532055e-08
1853,7.166318205520383e-09,3.58315901394235e-08
1854,1.0391328686409906e-08,1.1950028522278444e-08
1855,1.751289246954002e-08,2.4411910715116392e-08
1856,1.5531567143511893e-08,2.7956822634678247e-08
1857,1.1715622250108026e-08,1.3180074809326925e-08
1858,4.893676130990343e-09,2.9851424443450014e-08
1859,8.147477359443656e-09,2.8516170758052795e-08
1860,1.0985241161165504e-08,1.2816115280145368e-08
1861,1.226150558863992e-08,3.6312922446768425e-08
1862,1.490935552794781e-08,2.4848924695675123e-08
1863,1.9479021062807078e-08,1.4983863039219614e-08
1864,8.151037178549814e-09,2.205574922697906e-08
