year,auront_VERB acheté_VERB,auront_VERB racheté_VERB
1800,2.5153315874604232e-08,6.288328968651058e-09
1801,5.000483582762172e-08,0.0
1802,4.0281122437590966e-08,6.713520406265161e-09
1803,4.290746247193056e-08,0.0
1804,5.19088700912107e-08,0.0
1805,8.528632911009026e-09,1.1371510844071508e-08
1806,2.0171682990621775e-08,8.645007376628655e-09
1807,1.3380689267705748e-07,5.693910232196231e-09
1808,7.478044494746428e-08,4.5321479902327155e-09
1809,2.4849335034105025e-08,0.0
1810,5.8503168531842675e-08,0.0
1811,6.769107585569145e-08,0.0
1812,7.734903562095496e-08,0.0
1813,7.476928232108548e-08,0.0
1814,5.034683425719777e-08,6.293354282149721e-09
1815,5.394447111228828e-09,0.0
1816,9.270415546325239e-09,0.0
1817,3.7364962679475866e-08,0.0
1818,3.457141417584353e-08,0.0
1819,2.2772310259711048e-08,1.035105001712111e-09
1820,3.441279616822612e-08,0.0
1821,5.325203744632745e-08,9.86148829262845e-10
1822,5.012807946513931e-08,0.0
1823,1.9765373338032077e-08,1.3835761869529506e-08
1824,4.968456579490521e-08,0.0
1825,7.04435478837695e-08,2.641632912414593e-09
1826,5.19671061738336e-08,8.807984341885344e-10
1827,8.111200600069424e-08,9.217273055917019e-10
1828,4.769596628761974e-08,9.172301251858528e-10
1829,8.230249193275085e-08,3.429270423183084e-09
1830,6.366470017837855e-08,0.0
1831,4.365537620287796e-08,0.0
1832,1.488296597074168e-08,0.0
1833,4.6334513115198206e-08,0.0
1834,6.627517024071494e-08,9.334530925997342e-10
1835,4.9160071569076536e-08,2.2689263801112247e-09
1836,4.704525125021064e-08,1.3441500135158435e-09
1837,6.888311787633938e-08,6.957890930081589e-10
1838,1.3255539776935166e-08,0.0
1839,4.4046291947097416e-08,0.0
1840,4.8409635411417185e-08,0.0
1841,1.6051371787284552e-08,0.0
1842,1.2745703159566801e-08,0.0
1843,4.0757687003178944e-08,0.0
1844,1.701453911095996e-08,2.7442805805577564e-09
1845,1.785672942844485e-08,0.0
