year,avait_VERB emporté_VERB,avait_VERB remporté_VERB
1800,2.6096566330124915e-07,1.603523855919775e-07
1801,2.571677271134831e-07,1.976381582835529e-07
1802,1.2308120744819462e-07,1.0741632650024258e-07
1803,1.852822322234715e-07,2.9645156018887064e-07
1804,4.202146612897195e-07,3.781931923185766e-07
1805,3.951600149321166e-07,2.3311596919484145e-07
1806,3.054569219784753e-07,1.7578182109900808e-07
1807,3.672572006507835e-07,2.0498076480635063e-07
1808,2.991217797898571e-07,2.3567169193938753e-07
1809,3.1174621994978224e-07,2.9141494906070875e-07
1810,3.814406568380946e-07,2.2465216886757844e-07
1811,4.3372426716814516e-07,2.933279859007598e-07
1812,5.441104917736084e-07,3.7340916492212273e-07
1813,4.773731347995636e-07,2.645682286583906e-07
1814,3.5872119497071253e-07,3.3354777428939997e-07
1815,5.151696882421675e-07,5.043808073423861e-07
1816,3.939926500606816e-07,3.082413115862437e-07
1817,4.047870731938019e-07,3.565239978797763e-07
1818,5.793692139377526e-07,4.124727297494246e-07
1819,4.637270478724531e-07,4.978854803994182e-07
1820,4.461796834220877e-07,5.672177962878777e-07
1821,5.699940288650396e-07,5.443541795102647e-07
1822,6.025395009601198e-07,5.985292546029086e-07
1823,7.04635567672085e-07,4.78322021990607e-07
1824,4.7326653884738334e-07,3.915817501365382e-07
1825,5.344903684090241e-07,5.24804420365399e-07
1826,6.253669084799185e-07,5.108631171424349e-07
1827,6.267745789045875e-07,4.2399454969199724e-07
1828,6.227992344065569e-07,3.0360317282429605e-07
1829,7.458663162651646e-07,3.4635630186130584e-07
1830,5.771570386059466e-07,4.1956079144256364e-07
1831,6.969269179535331e-07,5.067141728432034e-07
1832,5.858476583853189e-07,2.597754189537227e-07
1833,7.228184131236048e-07,4.3091097268188605e-07
1834,6.002103418722982e-07,3.220413304916292e-07
1835,6.988293534959666e-07,3.3580110425646126e-07
1836,5.443807822302915e-07,4.267676274594123e-07
1837,5.441070811684767e-07,4.599165777108283e-07
1838,5.763004082837142e-07,5.11916312007088e-07
1839,7.096347189872176e-07,4.4885271677230776e-07
1840,6.834675900790899e-07,4.872811700806778e-07
1841,6.420548288588179e-07,3.3194234561051417e-07
1842,8.532913398084929e-07,4.434163258792978e-07
1843,6.916993129379989e-07,4.176186223503464e-07
1844,7.694962960158591e-07,4.934216804031166e-07
1845,7.271037247846834e-07,4.0903071862885554e-07
1846,6.879038778606628e-07,3.9869155443739146e-07
1847,7.302425046873395e-07,4.497948395965068e-07
1848,6.05805212217092e-07,3.6042592910234816e-07
1849,5.723140361624246e-07,2.983071851758723e-07
