year,pouvant_VERB avoir_VERB,pouvant_VERB ravoir_VERB
1800,8.269152544926328e-07,0.0
1801,7.357854201472946e-07,0.0
1802,7.92195407939289e-07,0.0
1803,5.10988854784955e-07,0.0
1804,7.316678534152743e-07,0.0
1805,5.799470272904728e-07,0.0
1806,8.673824254401552e-07,0.0
1807,9.138726113633311e-07,0.0
1808,6.911525929353957e-07,0.0
1809,9.804192586670979e-07,0.0
1810,7.418202017106523e-07,0.0
1811,7.370805974460382e-07,0.0
1812,8.001624678399821e-07,0.0
1813,9.259887860935123e-07,0.0
1814,5.47521835869702e-07,0.0
1815,7.983781529219414e-07,0.0
1816,7.323628210542665e-07,0.0
1817,8.220291647376143e-07,0.0
1818,5.674480689776829e-07,0.0
1819,7.225032732094405e-07,0.0
1820,6.146836994957994e-07,0.0
1821,8.056836122705135e-07,0.0
1822,8.912772386793222e-07,1.0025615893027862e-09
1823,8.696764552951208e-07,0.0
1824,7.654791716049658e-07,0.0
1825,6.841829076620343e-07,0.0
1826,8.992951734398957e-07,0.0
1827,7.373818675660004e-07,0.0
1828,7.172739628913405e-07,0.0
1829,6.935699161658704e-07,0.0
1830,8.829563284962205e-07,0.0
1831,8.013880119506211e-07,0.0
1832,7.847382335057773e-07,0.0
1833,7.448273322552268e-07,0.0
1834,7.971689228725154e-07,0.0
1835,7.956368790473789e-07,0.0
1836,7.715420906606596e-07,0.0
1837,7.598017077725672e-07,0.0
1838,7.87126566592633e-07,0.0
1839,6.956518063816475e-07,0.0
1840,6.019355964781425e-07,6.369688665408546e-10
1841,8.571432204007579e-07,0.0
1842,7.258342975546839e-07,6.708265054555795e-10
1843,6.10183917615359e-07,0.0
1844,6.487479140560026e-07,5.488561272137815e-10
1845,6.618150223403063e-07,0.0
1846,6.732676638421253e-07,1.1709002656346001e-09
1847,7.280851832547341e-07,0.0
1848,7.047614190014428e-07,0.0
1849,6.954914510970411e-07,0.0
1850,8.072116202129109e-07,0.0
1851,8.590652669226984e-07,0.0
1852,7.382958528978634e-07,0.0
1853,7.82920267283771e-07,0.0
1854,7.144038818296394e-07,0.0
1855,6.83002781443065e-07,0.0
1856,7.196293267952569e-07,0.0
1857,6.673022880931967e-07,0.0
1858,7.599878699693363e-07,1.0766087576996597e-08
