year,veulent_VERB entrer_VERB,veulent_VERB rentrer_VERB
1800,6.288328791015374e-08,2.829747991484055e-08
1801,8.572257570449437e-08,3.5717739876872656e-08
1802,1.4098392853156838e-07,2.2378401354217203e-09
1803,1.501761204281138e-07,7.801356893821776e-09
1804,1.0628959046243835e-07,2.4718509461507665e-09
1805,8.812921237222326e-08,8.528632911009026e-09
1806,6.916005901302924e-08,8.645007376628655e-09
1807,2.1921555060089304e-07,3.701041606518629e-08
1808,1.3823051858707913e-07,6.798221985349073e-09
1809,6.777091243748146e-08,6.7770917766551975e-09
1810,1.0998595456612748e-07,1.8721014072298203e-08
1811,7.52123057168319e-08,2.757784400841956e-08
1812,5.3344166417446104e-08,0.0
1813,1.2940837734731758e-07,2.8757416004054903e-08
1814,1.4160046646338742e-07,5.664018942752591e-08
1815,1.0249449644561537e-07,3.506390555685357e-08
1816,6.952811304472561e-08,1.622322720606917e-08
1817,8.095742032310227e-08,1.5568733857662664e-08
1818,9.298518222067287e-08,4.768470773797162e-08
1819,1.1800197086131448e-07,7.24573512300708e-09
1820,9.493184904840746e-08,2.610625848831205e-08
1821,1.617284084431958e-07,6.903041693817613e-09
1822,1.2030739071633434e-07,3.8097340393505874e-08
1823,9.487379770689586e-08,6.917880934764753e-09
1824,1.7431703724923864e-07,9.263223965660927e-09
1825,1.426481759381204e-07,4.226612659863349e-08
1826,1.241925815520517e-07,1.5854372037438225e-08
1827,1.1982454850567592e-07,1.566936447261469e-08
1828,1.1098484264948638e-07,1.6510142586412258e-08
1829,2.066135493805632e-07,1.1145129263923081e-08
1830,1.4820307114860043e-07,1.5655253093882493e-08
1831,2.011265536339124e-07,2.9623292263636358e-08
1832,1.1229874274931717e-07,3.6530916958099624e-08
1833,1.2394482951094687e-07,2.7800709290204395e-08
1834,1.0454674281845655e-07,1.4935249481595747e-08
1835,1.7168210320051003e-07,1.9664028627630614e-08
1836,1.3777537333226064e-07,3.293167694096155e-08
1837,1.3567887435783632e-07,4.6617870452791976e-08
1838,2.3418120065343828e-07,3.092959488526503e-08
1839,1.0557127438914904e-07,1.957613093850341e-08
1840,1.248458971758737e-07,4.2039946634986336e-08
1841,1.2134836424593232e-07,3.531301828729738e-08
1842,1.4624018263020844e-07,2.4149754196400863e-08
1843,2.0142566370395798e-07,4.3120451209688326e-08
1844,1.5916828033368802e-07,2.9089374464774664e-08
1845,1.7131300467099209e-07,3.0691253982695343e-08
1846,1.6216968390381226e-07,3.0443406018321184e-08
1847,1.6017874315821246e-07,3.55952778363644e-08
1848,1.2309189401094045e-07,2.413566591030758e-08
1849,1.1396004140351579e-07,5.279031256577582e-08
1850,1.5886250537278102e-07,3.869727649430388e-08
1851,1.1931462040593033e-07,5.3530342825069965e-08
1852,1.1914298170268012e-07,2.018269107395554e-08
1853,1.5049268142774963e-07,4.658106789179328e-08
1854,1.283329140733258e-07,2.961528799971802e-08
1855,1.1675261646360013e-07,3.767925349507095e-08
1856,1.8793197398281336e-07,2.8992259260007813e-08
1857,1.2643108959764504e-07,3.905207179855097e-08
1858,1.6295940952204546e-07,1.7127865348243176e-08
1859,1.2526746218100016e-07,3.3099126994784456e-08
1860,1.5287794496998686e-07,3.204028686809579e-08
1861,1.145979169336897e-07,3.0182167876091626e-08
1862,1.0391368476803109e-07,1.9427341513278407e-08
1863,1.5083755044997815e-07,3.296449690992631e-08
1864,1.2226556123096088e-07,2.6371003158942585e-08
1865,1.364984854035356e-07,1.6003271596787272e-08
1866,1.0558380125758049e-07,2.7247432754506917e-08
1867,1.1743803440822376e-07,2.523461972714358e-08
1868,8.545982410623765e-08,4.100095551962113e-08
1869,1.4357546262999676e-07,5.4207063726607885e-08
1870,1.4335121534259088e-07,4.300536460277726e-08
1871,1.380753076318797e-07,5.523012092112367e-08
1872,1.5662608632283082e-07,1.5118347462816928e-08
1873,8.38040605799506e-08,2.21482157058972e-08
1874,1.296490239610648e-07,1.9118749250424116e-08
1875,1.24157139680392e-07,2.2313955128083762e-08
1876,1.6747461017985188e-07,1.9951848173604958e-08
1877,1.0699731944896484e-07,1.5462040536817767e-08
1878,1.2742476940275083e-07,1.2078177569208037e-08
1879,1.1118972054191545e-07,2.6881030734671185e-08
1880,1.5081938897765212e-07,5.840239936105718e-08
1881,1.2759689127506135e-07,2.998178416646624e-08
1882,1.6239140165907884e-07,1.4641846846075168e-08
1883,1.3460191894409945e-07,2.9700892412165558e-08
1884,1.095881714263669e-07,3.300848305798354e-08
1885,1.5211699633255193e-07,1.933690718658454e-08
1886,1.458482898897273e-07,1.7424351739236954e-08
1887,1.4102477052801987e-07,3.3297514079322355e-08
1888,1.0842450848258522e-07,2.2192152115962926e-08
1889,1.202906219077704e-07,2.4434033463194282e-08
1890,1.278105372648497e-07,3.4082809463598096e-08
1891,1.1601080274203923e-07,3.378336543846672e-08
1892,1.5044429346744437e-07,1.3790726782758611e-08
1893,8.560198949680853e-08,9.23762488724833e-09
1894,1.0838647312993999e-07,3.4028310835765296e-08
1895,9.629783193076946e-08,3.370423939941247e-08
1896,1.3209344729148143e-07,3.656158042986135e-08
1897,1.1012488698725065e-07,2.2141511735185304e-08
1898,1.2222047018894955e-07,1.810673566637888e-08
1899,1.4371704537552432e-07,3.8693048765026106e-08
1900,1.2769990576089185e-07,2.1283318218934255e-08
1901,1.3245310981346847e-07,2.179608138419553e-08
1902,1.2766737711444875e-07,1.4730851205513318e-08
1903,9.342380735688494e-08,2.4841012802312434e-08
1904,1.1232966556917745e-07,7.524475265086039e-09
1905,1.2334214716247516e-07,1.5482276793932215e-08
1906,1.1059997007123457e-07,1.9033482345776065e-08
1907,1.0285686613542566e-07,1.6457098794830927e-08
1908,1.0166575492576158e-07,2.504808449543816e-08
1909,1.3422399547380337e-07,2.640472018811124e-08
1910,1.1970897162427718e-07,2.672075360976578e-08
1911,9.629876984718067e-08,1.649316061502759e-08
1912,1.1304444313964268e-07,2.1879568379290504e-08
1913,7.530245227371779e-08,2.333315407554437e-08
1914,8.973636766995696e-08,2.276892807628883e-08
1915,9.071186468645465e-08,5.890381071793627e-09
1916,8.46034566848175e-08,2.7468654906215306e-08
1917,9.760118047097421e-08,1.0966424213165737e-08
1918,5.168869421368072e-08,2.756730310693456e-08
1919,8.747456092805805e-08,3.1306683467846597e-08
1920,9.389567168227586e-08,4.0132828615924154e-08
1921,7.421292735898533e-08,8.330022005509363e-09
1922,7.082817887749115e-08,2.951174238319254e-08
1923,9.235874642854469e-08,2.229349149729387e-08
1924,1.2762707513047644e-07,2.1915761649893284e-08
1925,1.0008341888578798e-07,2.3096173862313663e-08
1926,8.359603498320212e-08,1.4489979882625903e-08
1927,9.142364376657497e-08,1.0034302277972529e-08
1928,6.969884935870141e-08,1.9424270192303084e-08
1929,9.35794162160164e-08,2.1166771446701205e-08
1930,8.928063266466779e-08,1.995684684175103e-08
1931,8.211856794559935e-08,1.4826963656844327e-08
1932,6.794912366103745e-08,1.753525857850491e-08
1933,6.997103696448903e-08,2.7529589274877253e-08
1934,1.0423974572404404e-07,1.677421224144382e-08
1935,6.103825000991492e-08,1.0771455727365264e-08
1936,7.63857030960935e-08,1.33371855781661e-08
1937,6.799204044227736e-08,2.5182236740306507e-08
1938,6.871563584809337e-08,9.075650453382877e-09
1939,8.564668263488784e-08,1.988226472349197e-08
1940,4.564409294971483e-08,1.7750480196809804e-08
1941,4.7224041566096275e-08,1.4757512545315876e-08
1942,8.49579322448335e-08,1.2136847082899749e-08
1943,5.516146828199453e-08,8.709705845433291e-09
1944,4.819779064746399e-08,2.2492303131116387e-08
1945,6.535512397931598e-08,1.742803235060819e-08
1946,5.0115975369635635e-08,3.897909195416105e-08
1947,7.867775053682635e-08,2.622591566137089e-08
1948,6.740570768215548e-08,1.848220954059343e-08
1949,4.712163814701853e-08,2.3560819073509265e-08
1950,6.7002780212988e-08,1.701657836861159e-08
1951,6.396840745992449e-08,1.3859822622919182e-08
1952,5.694194271654851e-08,2.1089608281954497e-08
1953,6.572035005092403e-08,4.0940545176226806e-08
1954,4.49536656788041e-08,2.443134050622575e-08
1955,5.0682281482750113e-08,1.3139850985055546e-08
1956,6.192010459926678e-08,2.616342520411763e-08
1957,5.8311247386200193e-08,2.1204090927540165e-08
1958,6.286904863372911e-08,1.1581140491045971e-08
1959,4.727956337546857e-08,2.7902691712711203e-08
1960,5.3982500247684584e-08,2.0070416439921246e-08
1961,5.002674541287888e-08,1.667558180429296e-08
1962,6.659054463398206e-08,2.7904608401740916e-08
1963,6.789355921910101e-08,1.6165133231993423e-08
1964,6.327326929067567e-08,3.102823953327061e-08
1965,6.840054567192055e-08,1.586892572902343e-08
1966,5.705247119180967e-08,2.9357096309468034e-08
1967,7.444806726653042e-08,1.232583901611406e-08
1968,7.949805791440667e-08,2.4702787371211343e-08
1969,7.403065183098079e-08,2.815889921237158e-08
1970,7.863819462272659e-08,2.0694262303777577e-08
1971,7.296524273670002e-08,2.003974941544584e-08
1972,6.823095333174933e-08,2.0007572487656944e-08
1973,5.788864143596584e-08,2.866866033457427e-08
1974,6.300640364997889e-08,1.4626486688484874e-08
1975,5.768594846244923e-08,1.9419033492340532e-08
1976,6.113473460800378e-08,1.9997344224975677e-08
1977,6.758298809472763e-08,3.2322301279918975e-08
1978,5.940591307762588e-08,1.4257419245211622e-08
1979,5.442335293537326e-08,1.9896710057309974e-08
1980,5.230338473438678e-08,1.762396628635088e-08
1981,5.060439534076977e-08,2.4669642328944974e-08
1982,3.9107263205551135e-08,3.227901146374279e-08
1983,5.683784465304598e-08,3.220811350956865e-08
1984,5.97297855620127e-08,4.1752862500743504e-08
1985,7.098358167922925e-08,2.5265343595037848e-08
1986,6.474044056403727e-08,1.7983456501724504e-08
1987,5.7441678080749625e-08,1.711028652096047e-08
1988,5.636760747051994e-08,3.058242370457265e-08
1989,6.585746348264365e-08,3.5123981945162086e-08
1990,6.701840504774736e-08,3.3236769780842224e-08
1991,8.674968654531767e-08,3.341035181847474e-08
1992,7.713921945651236e-08,2.7549720726938176e-08
1993,8.253419281345487e-08,4.874502579355067e-08
1994,8.703629106321387e-08,3.323203756622206e-08
1995,7.374533339543632e-08,3.3619194539369346e-08
1996,7.153043668495229e-08,4.4306165847274315e-08
1997,9.685686563898344e-08,3.787966562640577e-08
