year,pouvaient_VERB appeler_VERB,pouvaient_VERB rappeler_VERB
1800,1.2576657937302116e-08,1.2576657937302116e-08
1801,1.4287095950749062e-08,4.7623651688866175e-09
1802,1.3427040812530322e-08,2.0140561218795483e-08
1803,1.1702034896643454e-08,2.3404069793286908e-08
1804,2.4718509461507665e-09,4.943701892301533e-09
1805,5.685755422035754e-09,1.1371510844071508e-08
1806,2.881669125542885e-09,5.4751712497136396e-08
1807,3.131650672116848e-08,2.562259560079383e-08
1808,2.039466551195801e-08,6.118399653587403e-08
1809,4.518061036407062e-09,2.259030518203531e-09
1810,7.020380277111826e-09,1.1700633351097167e-08
1811,0.0,1.7549536934780008e-08
1812,2.9339290108509886e-08,3.200649700829672e-08
1813,1.7254450312975678e-08,8.627225156487839e-09
1814,6.293354282149721e-09,1.2586708564299443e-08
1815,1.0788894222457657e-08,8.091670444798638e-09
1816,0.0,6.952811659743929e-09
1817,1.8682481339737933e-08,3.269434145636296e-08
1818,8.940882878505363e-08,3.337929754820834e-08
1819,4.968504185853817e-08,1.3456364911235141e-08
1820,3.5599443393152796e-09,5.93324074316115e-08
1821,2.1695274909916407e-08,3.155676253641104e-08
1822,1.4035862250239006e-08,5.6143449000956025e-08
1823,5.6331316500290995e-08,2.8659792761231984e-08
1824,1.431589158329416e-08,2.4421225930382207e-08
1825,2.201360693732113e-08,1.6730341556581152e-08
1826,3.2589543508265706e-08,3.3470339388941284e-08
1827,5.7147094167930845e-08,2.3043183361437514e-08
1828,2.4765213879618386e-08,2.935136400594729e-08
1829,6.944272712416932e-08,6.858540846366168e-09
1830,1.7742621594152297e-08,4.905312778191728e-08
1831,2.494592976631793e-08,1.091384405071949e-08
1832,2.4353944638733083e-08,2.0294953273491956e-08
1833,3.243415847009601e-08,2.4325620628928846e-08
1834,3.360431222176885e-08,4.760610750054184e-08
1835,4.0084366048631637e-08,3.781543966852041e-08
1836,1.8818100855355624e-08,2.1506400216253496e-08
1837,2.5744196108234974e-08,3.2006298056330706e-08
1838,2.1461350030449466e-08,3.408567295082321e-08
1839,3.8453112694014635e-08,3.2859933440931854e-08
1840,2.229391071750797e-08,4.522479102320176e-08
1841,3.338685417020315e-08,5.906904476660202e-08
1842,2.95163662400455e-08,2.5491406319133603e-08
1843,3.0125246297529884e-08,2.658109998776581e-08
1844,5.872760411307354e-08,3.4577936958157807e-08
1845,3.627148004170522e-08,2.622707206967334e-08
1846,5.971591576781066e-08,3.33706573485415e-08
1847,3.182001862001016e-08,1.0786447290911383e-08
1848,5.309846429213394e-08,6.43617736884039e-09
1849,4.022119171054328e-08,2.8490010350878947e-08
1850,2.4440385715251978e-08,4.1412874907109654e-08
1851,2.96674187438839e-08,2.3862924081186065e-08
1852,3.059956199535918e-08,2.3437962681782665e-08
1853,2.508211416341055e-08,1.2541057081705276e-08
1854,2.8576154775805662e-08,2.7537021551893304e-08
1855,2.2289135870323662e-08,2.0166361025530932e-08
1856,2.5368226630462232e-08,3.158085348786699e-08
1857,1.7085282522089074e-08,4.3445432140742923e-08
1858,3.327699715782728e-08,2.5447114637699997e-08
1859,1.9859475841599306e-08,2.800695320104296e-08
1860,4.073693560258107e-08,4.3483247225140076e-08
1861,3.254015012998934e-08,3.678451676591976e-08
1862,3.252950264709398e-08,2.2138133104476765e-08
1863,1.897955925755923e-08,1.4484400345793347e-08
1864,3.068625886726295e-08,3.452204211384924e-08
1865,2.165148416111151e-08,4.706844247692743e-09
1866,3.259960479340407e-08,3.16264845423575e-08
1867,3.008743121313273e-08,1.5043715606566366e-08
1868,3.556709415875048e-08,1.2349684830326169e-08
1869,3.5161338729494673e-08,2.3929244363785074e-08
1870,2.981705193860762e-08,1.8922360567330543e-08
1871,1.1683295220166201e-08,1.274541272522356e-08
1872,2.8422494580127022e-08,3.084143074261192e-08
1873,2.1549615425442425e-08,1.7958013742713774e-08
1874,2.2106053876314036e-08,2.3300975371398636e-08
1875,1.716458086775674e-08,1.830888685105947e-08
1876,2.0556450763820067e-08,9.069021977836655e-09
1877,1.1132669008873108e-08,2.4739264858908427e-08
1878,2.8383716710322915e-08,9.058632954861423e-09
1879,2.1382637882538802e-08,3.237942536316041e-08
1880,1.8611753915820373e-08,2.5029599726167362e-08
1881,3.5559789779426865e-08,1.673401861523871e-08
1882,2.728707926280549e-08,1.9300616216355593e-08
1883,2.5277355319985872e-08,3.4124429504345244e-08
1884,3.4328824227713994e-08,1.5844072720483382e-08
1885,3.0939052209078e-08,2.3848851782304337e-08
1886,1.355227396970804e-08,1.4842966855610484e-08
1887,1.8933882017790893e-08,1.3710741875172516e-08
1888,1.9655905347804037e-08,2.789870379160675e-08
1889,2.255449160770695e-08,1.6915869593958632e-08
1890,1.9007721618891082e-08,2.6217545467943637e-08
1891,1.0836173736095134e-08,2.4859458491732767e-08
1892,1.3163876211308434e-08,1.1283322720601063e-08
1893,1.6627724974682678e-08,2.4017824173938607e-08
1894,1.5123694296903523e-08,1.3233232287745977e-08
1895,2.5278181325916194e-08,6.018614495673091e-09
1896,2.181900704556483e-08,2.0639602027472392e-08
1897,3.4960281336537946e-09,8.157399200570126e-09
1898,6.7900258748920805e-09,2.546259736391221e-08
1899,9.39688327150634e-09,1.3818945987509323e-08
1900,8.824790675987515e-09,1.557315876254961e-08
1901,9.500856101851696e-09,3.017919070202879e-08
1902,8.347482705062248e-09,1.4239823542538943e-08
1903,9.720396931811592e-09,1.0800440541913758e-08
1904,4.837162670412454e-09,1.1286712897629059e-08
1905,1.651442893546573e-08,1.186974607492175e-08
1906,2.3148830408104004e-08,1.388929860013377e-08
1907,1.542852956504248e-08,1.4399961223432456e-08
1908,1.3751889405000384e-08,1.8663278922304016e-08
1909,1.0451868703853506e-08,1.980354014108343e-08
1910,9.085056262847502e-09,1.977335806202518e-08
1911,9.044636151145369e-09,1.0108711201439746e-08
1912,9.376957876838787e-09,1.1460726589973547e-08
1913,4.772690687104841e-09,1.2727175757731857e-08
