year,pourraient_VERB aller_VERB
1800,5.0306631749208464e-08
1801,4.0480102825313224e-08
1802,2.9091921760482364e-08
1803,9.946730017418304e-08
1804,4.69651695311768e-08
1805,1.051864728651708e-07
1806,1.2391177506287931e-07
1807,2.8469550272802735e-08
1808,4.305540457494317e-08
1809,5.421673421324158e-08
1810,7.956430891908894e-08
1811,1.42903374467096e-07
1812,5.067695596494559e-08
1813,7.476928232108548e-08
1814,6.293354459785405e-08
1815,3.506390555685357e-08
1816,7.184571870766376e-08
1817,3.42512151974006e-08
1818,2.026600220972341e-08
1819,9.108924103884419e-08
1820,1.0086508694939766e-07
1821,3.0570614484304315e-08
1822,7.719724237631453e-08
1823,3.854247765389118e-08
1824,6.736890156844311e-08
1825,7.484626252107773e-08
1826,7.48678701256722e-08
1827,6.544264152807955e-08
1828,5.595103758082587e-08
1829,7.372931065674493e-08
1830,8.453837097022188e-08
1831,6.548306430431694e-08
1832,9.200379480489573e-08
1833,7.29768601104297e-08
1834,4.573920264761e-08
1835,9.075705520444899e-08
1836,7.796069922960669e-08
1837,7.72325918774186e-08
1838,1.218247263068406e-07
1839,8.94908822601792e-08
1840,6.17859825524647e-08
1841,1.0529699778771828e-07
1842,1.0733224087289273e-07
1843,7.265500556741245e-08
1844,7.79375710635577e-08
1845,1.0490828827869336e-07
1846,1.2060272069902567e-07
1847,1.1379702158365035e-07
1848,9.010648227558704e-08
1849,9.301150782903278e-08
1850,1.3102761897698656e-07
1851,1.1737978411474614e-07
1852,1.1328349103223445e-07
1853,6.330247970254277e-08
1854,1.0339372380485656e-07
1855,7.695058457102277e-08
1856,1.0768553693196736e-07
1857,9.763018482544794e-08
1858,1.0129909355782729e-07
1859,9.06406825151862e-08
1860,9.383226995396399e-08
1861,1.0563758934267753e-07
1862,1.0165469177536579e-07
1863,9.589672345100553e-08
1864,6.32904075814622e-08
1865,1.1672973698750866e-07
1866,7.736324647567017e-08
1867,6.69687949539366e-08
1868,9.385760790792119e-08
1869,6.543915986867432e-08
1870,9.747883211730368e-08
1871,1.2108142755096196e-07
1872,8.405801565913862e-08
1873,9.278306833948591e-08
1874,9.917851429008806e-08
1875,9.040012827199462e-08
1876,5.38095328295185e-08
1877,7.978412952525105e-08
1878,7.669642343444139e-08
1879,1.0752412293868474e-07
1880,1.0396910710142038e-07
1881,9.203709794292081e-08
1882,8.718554767028763e-08
1883,9.289428248848708e-08
1884,8.582205879292815e-08
1885,8.894977554518846e-08
1886,7.615087582735214e-08
1887,6.790081386043312e-08
1888,7.164894810784972e-08
1889,1.0274824546741002e-07
1890,7.603088647556433e-08
1891,8.159001652074949e-08
1892,7.396844381446499e-08
1893,7.944357349742859e-08
1894,7.372801036353849e-08
1895,6.19917273070314e-08
1896,1.1558176993275993e-07
1897,6.933789364893528e-08
1898,6.450524381307332e-08
1899,6.025060628189749e-08
1900,1.058974845591365e-07
1901,8.997869826998794e-08
1902,6.13785502423525e-08
1903,7.452303663058046e-08
1904,7.470728746739042e-08
1905,7.379885147429377e-08
1906,8.385021033063822e-08
1907,6.171411826016993e-08
1908,9.282525326170799e-08
1909,1.0011790152475442e-07
1910,8.978172871820789e-08
1911,8.938228290844563e-08
1912,7.657849465658728e-08
1913,7.636305099367746e-08
1914,1.0580855303032877e-07
1915,1.0720493293092659e-07
1916,9.668966782783173e-08
1917,1.3488701711139583e-07
1918,7.466144325007917e-08
1919,7.642513821792818e-08
1920,7.496509368820625e-08
1921,4.695103328344885e-08
1922,8.705963949751094e-08
1923,6.794206797167135e-08
1924,8.121723737986031e-08
1925,1.0228305313830788e-07
1926,6.018914433525424e-08
1927,8.027441822378023e-08
1928,6.398582996780533e-08
1929,9.246537047147285e-08
1930,7.142450186847782e-08
1931,7.413481739604322e-08
1932,9.753987484373283e-08
1933,7.455930273181366e-08
1934,6.949316855298093e-08
1935,8.258115968828861e-08
1936,6.30485175179274e-08
1937,6.043736533456467e-08
1938,9.07565009811151e-08
1939,8.258787431714154e-08
1940,8.114505334333444e-08
1941,8.854507882460894e-08
1942,6.978687139280737e-08
1943,1.1612940653549231e-07
1944,4.819779064746399e-08
1945,7.84261473540937e-08
1946,7.099762910911522e-08
1947,8.225401160188994e-08
1948,6.305695166020087e-08
1949,5.792034940554913e-08
1950,5.636741562398129e-08
1951,7.462980988748313e-08
1952,5.799642011083961e-08
1953,7.864893802889128e-08
1954,7.915754451914836e-08
1955,6.194500912215517e-08
1956,5.05826207586324e-08
1957,5.8311247386200193e-08
1958,7.196851470325782e-08
1959,7.518225686453661e-08
1960,7.682125158225972e-08
1961,8.129346440455265e-08
1962,9.576353932061465e-08
1963,8.341208967976854e-08
1964,7.057403195176448e-08
1965,7.496699083731073e-08
1966,9.361036035215875e-08
1967,7.789930123180966e-08
1968,1.1408196343154486e-07
1969,1.0128120209174085e-07
1970,1.0117194904069038e-07
1971,8.735275969229406e-08
1972,7.13090386739168e-08
1973,8.545465846054867e-08
1974,9.282193502713199e-08
1975,7.653383704564476e-08
1976,6.970503108050252e-08
1977,7.874887586467594e-08
1978,9.148510571321822e-08
1979,8.71944010327752e-08
1980,1.0460676946877356e-07
1981,1.069017869781419e-07
1982,7.324852902002021e-08
1983,9.030902248241546e-08
1984,8.466552259278615e-08
1985,8.842870613534615e-08
1986,1.0370460046260632e-07
1987,8.249602956311719e-08
1988,7.735554419241453e-08
1989,9.27492678215458e-08
1990,8.881301027940935e-08
1991,9.612802642777751e-08
1992,8.264916573352821e-08
1993,1.0912238934679408e-07
1994,1.0180608001064684e-07
1995,8.4590233484505e-08
1996,6.886138947947984e-08
1997,1.0261074123718572e-07
1998,1.0156115592963033e-07
1999,1.1242694597513037e-07
2000,8.526800598929185e-08
2001,1.231120450029266e-07
2002,8.806254925275425e-08
2003,1.0375637771176116e-07
2004,9.866732142427281e-08
2005,9.998323946547316e-08
2006,9.553504298764892e-08
2007,8.94763374503782e-08
2008,9.32379293772101e-08
2009,1.0585387144601555e-07
2010,1.0723010035462721e-07
2011,1.0783600856711928e-07
2012,1.0757438673181241e-07
2013,1.3080996552616853e-07
2014,1.2039875230129837e-07
2015,1.3343783678010368e-07
2016,1.2303759433507366e-07
2017,1.2678681571287598e-07
2018,1.3294553014020494e-07
2019,1.1581484216094395e-07
