year,put_VERB appeler_VERB,put_VERB rappeler_VERB
1800,2.5153315874604232e-08,2.5153315874604232e-08
1801,9.524730337773235e-09,1.6668277424969347e-08
1802,0.0,4.475680270843441e-09
1803,1.755305234496518e-08,5.851017448321727e-09
1804,4.943701892301533e-09,9.887403784603066e-09
1805,0.0,0.0
1806,2.881669125542885e-09,2.881669125542885e-09
1807,8.540865792383556e-09,2.8469551160981155e-09
1808,6.798221985349073e-09,2.2660739062985158e-08
1809,0.0,9.036122072814123e-09
1810,1.6380887757350138e-08,1.4040760554223652e-08
1811,1.7549536934780008e-08,0.0
1812,1.8670457180292033e-08,0.0
1813,5.7514832008109806e-08,2.8757416448144113e-09
1814,6.293354282149721e-09,1.5733386149463513e-08
1815,0.0,0.0
1816,9.270415546325239e-09,0.0
1817,0.0,1.556873407970727e-09
1818,3.5763532135746345e-09,8.344824387052086e-09
1819,8.280840013696888e-09,4.140420006848444e-09
1820,4.746592452420373e-09,4.746592452420373e-09
1821,1.97229765852569e-09,2.465372084259343e-08
1822,5.012807946513931e-09,3.0076847679083585e-09
1823,6.917880934764753e-09,3.9530747564242574e-09
1824,2.0210670470532932e-08,1.6842225392110777e-08
1825,2.641632912414593e-09,3.522177216552791e-09
1826,3.5231937367541377e-09,1.9377566218281572e-08
1827,1.2904182611350734e-08,1.8434546111834038e-09
1828,2.7516904310687096e-09,6.420610709767516e-09
1829,1.0287811491593857e-08,6.001223074036943e-09
1830,1.982998831806526e-08,3.1310506187764986e-08
1831,0.0,9.354723218280014e-09
1832,1.488296597074168e-08,2.705993873419743e-09
1833,1.1583628278799551e-08,1.1583628278799551e-08
1834,1.4001796166951408e-08,1.4935249481595747e-08
1835,9.075705520444899e-09,9.832014313815307e-09
1836,1.4785650037651976e-08,6.72075017860152e-09
1837,2.2265250976261086e-08,4.87052354003481e-09
1838,2.1461350030449466e-08,6.312161904276081e-09
1839,1.3283802502428443e-08,1.6080392128969834e-08
1840,2.8026629905752998e-08,7.64362617644565e-09
