year,eut_VERB appelé_VERB,eut_VERB rappelé_VERB
1800,5.345079756580162e-08,4.7162465932615305e-08
1801,1.142967676059925e-07,2.1430643926123594e-08
1802,2.2378401354217203e-08,2.2378401354217203e-08
1803,2.7304748684287006e-08,1.755305234496518e-08
1804,5.9324420931261557e-08,2.4718509461507665e-09
1805,1.1371510844071508e-08,0.0
1806,5.76333825108577e-09,0.0
1807,1.1387820464392462e-08,9.964342950752325e-08
1808,3.6257183921861724e-08,2.039466551195801e-08
1809,4.743964154840796e-08,2.0331274441787173e-08
1810,3.042164919975221e-08,2.8081521108447305e-08
1811,3.5099073869560016e-08,1.2535384286138651e-08
1812,1.600324850414836e-08,1.0668832928217853e-08
1813,1.7254450312975678e-08,5.463909147351842e-08
1814,1.2586708564299443e-08,6.293354282149721e-09
1815,7.821948599939788e-08,5.664169577812572e-08
1816,2.0858434979231788e-08,1.622322720606917e-08
1817,5.60474440192138e-08,3.113746815941454e-09
1818,4.172412104708201e-08,4.053200441944682e-08
1819,3.001804671498576e-08,4.0369094733705424e-08
1820,4.746592452420373e-08,2.254631326081835e-08
1821,5.423818549843418e-08,1.8736827200882544e-08
1822,3.709477880420309e-08,1.4035862250239006e-08
1823,8.20263039713609e-08,7.906149512848515e-09
1824,5.221090049190025e-08,2.7789671008804362e-08
1825,2.4655239627691117e-08,3.78634048558979e-08
1826,2.906634755106552e-08,2.7304752237000685e-08
1827,5.1616730445402936e-08,1.7512819638909605e-08
1828,1.4675682002973645e-08,1.3758452155343548e-08
1829,3.257806824308318e-08,3.3435387791769244e-08
1830,4.800944353178238e-08,5.4271545479878114e-08
1831,6.392394169552063e-08,5.76874619184764e-08
1832,2.4353944638733083e-08,3.111892965534935e-08
1833,4.2859426230279496e-08,1.50587169400751e-08
1834,1.7735608537350345e-08,3.827157613045529e-08
1835,7.184933537018878e-08,1.4369867074037757e-08
1836,3.1587525484155776e-08,4.771732520225669e-08
1837,6.331680424409569e-08,3.2006298056330706e-08
1838,5.428459104450667e-08,2.840472923537618e-08
1839,3.425822825420255e-08,3.985140750728533e-08
1840,4.0766007458614695e-08,2.6752692505738196e-08
1841,5.264849889385914e-08,1.4767261191650505e-08
1842,3.6224630406422875e-08,4.695785449371215e-08
1843,6.202256486176339e-08,2.126487963494128e-08
1844,5.982531803283564e-08,3.4577936958157807e-08
1845,3.5155437672074186e-08,2.9575208060350633e-08
1846,3.3956109035671034e-08,2.1076203893244383e-08
1847,5.177494699637464e-08,2.480882876909618e-08
1848,3.700802153616678e-08,1.045878850192139e-08
1849,3.77073661184113e-08,1.3407063903514427e-08
1850,2.3761487000228954e-08,1.0183494048021657e-08
1851,7.416854685970975e-08,2.192809134271556e-08
1852,4.166749079104193e-08,8.463708844885787e-09
1853,3.881755716861335e-08,2.6873692604567623e-08
1854,2.7017454939937124e-08,2.286092382064453e-08
1855,6.209116065747367e-08,2.0166361025530932e-08
1856,3.882891874695815e-08,3.1063134287023786e-08
1857,4.735063896532665e-08,1.2203773103180993e-08
1858,5.04048642824273e-08,1.6149130033227266e-08
1859,1.323965115318515e-08,3.564521477983362e-08
1860,4.165237399433863e-08,1.4646988510946812e-08
1861,3.065376574795664e-08,1.6977470096435354e-08
1862,3.3884898442693157e-08,2.0782737308877586e-08
1863,3.995696573610985e-08,1.048870412745373e-08
1864,4.507044337742627e-08,2.0137857603685916e-08
1865,4.5185707620021276e-08,1.694463946932956e-08
1866,3.7465220259491616e-08,1.6056523222118813e-08
1867,4.610171089325377e-08,2.523461972714358e-08
1868,3.853101659956337e-08,2.321740844024589e-08
1869,6.446245492952585e-08,1.4162205630441349e-08
1870,3.612450782952692e-08,1.8922360567330543e-08
1871,6.266494523288202e-08,1.3807530230280918e-08
1872,2.660829245826335e-08,1.4513614310374123e-08
1873,3.831042860724665e-08,2.1549615425442425e-08
1874,5.675878611555163e-08,2.3898437007119355e-08
1875,4.577221801582709e-08,1.3159512590732447e-08
1876,3.3857681103199866e-08,1.6324239737741664e-08
1877,5.566334237983028e-08,2.2265338017746217e-08
1878,2.8383716710322915e-08,1.5701630218245555e-08
1879,4.032154521382836e-08,1.4051448005147904e-08
1880,3.529815373326528e-08,5.134277003548959e-09
1881,3.9046042843438045e-08,6.2752567586699115e-09
1882,2.3959387362992857e-08,2.0631693686823382e-08
1883,2.7173157945981075e-08,3.791603475633565e-09
1884,2.8387297845711146e-08,3.234831424947515e-08
1885,2.127059772760731e-08,1.160214413431504e-08
1886,3.0976625708944994e-08,1.613365974151293e-08
1887,3.1991731930247624e-08,1.697520346510828e-08
1888,2.8532765483646472e-08,1.5851536971922542e-08
1889,2.5687061366852504e-08,1.6915869593958632e-08
1890,1.8352281472289178e-08,1.3764211992395303e-08
1891,1.6572972327821844e-08,1.7210394887001712e-08
1892,1.8805536683430546e-08,8.775916882086676e-09
1893,2.7097032173628577e-08,7.390100087434348e-09
1894,2.520615716150587e-08,1.3233232287745977e-08
1895,2.2870734639468537e-08,1.5046536461227333e-08
1896,2.5357223876198987e-08,1.2973464080801023e-08
1897,1.9228155068162778e-08,1.3984112534615178e-08
1898,3.960848360406999e-08,1.4145887128336199e-08
1899,2.984892333302014e-08,4.9748205555033564e-09
1900,1.5054054003371675e-08,2.387884379118077e-08
1901,2.51493244007861e-08,2.459045056468767e-08
1902,8.347482705062248e-09,1.2275709337927765e-08
1903,1.6200660368781428e-08,1.2420506401156217e-08
1904,2.042357571951925e-08,2.4723275870996986e-08
1905,1.8062657147766004e-08,1.8062657147766004e-08
1906,1.7490227932626112e-08,8.230695236477459e-09
1907,2.7257069490360664e-08,1.6457098794830927e-08
1908,1.3260750719723546e-08,1.2278472460991452e-08
1909,2.640472018811124e-08,2.0353638774395222e-08
1910,1.3894791983659616e-08,2.404867771588215e-08
1911,1.276889793899727e-08,2.3409645777405785e-08
1912,1.0418842677495377e-08,2.0837685354990754e-08
1913,1.5378670781274195e-08,2.6514948459066545e-08
1914,2.6117300322425763e-08,1.339348720819089e-08
1915,1.8849219074468238e-08,8.246533234057551e-09
1916,1.8678685265172135e-08,3.2962386153911893e-09
1917,1.2063066989753679e-08,1.2063066989753679e-08
1918,4.594550517822427e-09,5.743188147278033e-09
1919,2.301962176431971e-08,2.9465114792515124e-08
1920,3.180337415642498e-08,1.2872794385998532e-08
1921,1.5145495524393482e-08,1.741731914250977e-08
1922,2.5084981203349344e-08,1.475587119159627e-08
1923,1.5923921736771263e-08,8.492758496458919e-09
1924,2.0626599095407983e-08,1.1602462102189293e-08
1925,1.4297631523163545e-08,1.2097995494286806e-08
1926,1.114613823460786e-08,1.5604593173179637e-08
1927,1.6723836537835268e-08,2.2298449309232637e-08
1928,1.5996457491951332e-08,2.6279895593006586e-08
1929,1.6710609784809094e-08,2.6736975300423182e-08
1930,1.470504518152893e-08,1.1553964007759987e-08
1931,1.8248570654577634e-08,1.8248570654577634e-08
1932,2.4110979879310435e-08,9.863582839386709e-09
1933,1.9500125958415992e-08,1.7205993074753678e-08
1934,1.1981580172459871e-08,9.585264137967897e-09
1935,1.6755597798123745e-08,1.0771455727365264e-08
1936,2.0612015205756506e-08,8.487299751891442e-09
1937,1.0072894518486919e-08,1.6368453259474336e-08
1938,1.9447821131279852e-08,1.5558256905023882e-08
1939,1.6823456405745674e-08,1.8352860564618823e-08
1940,0.0,2.5357829613881222e-08
1941,8.854508237732261e-09,8.854508237732261e-09
1942,9.102635090130207e-09,6.068423541449874e-09
1943,2.322588166236983e-08,5.806470415592457e-09
1944,2.5705489292704442e-08,1.6065930807940276e-08
1945,3.921307367704685e-08,4.357008087652048e-09
1946,9.744772988540262e-09,9.744772988540262e-09
1947,1.6689218895749036e-08,9.536696765621855e-09
1948,7.610321262063735e-09,1.3046265401328583e-08
1949,6.8719057111366055e-09,2.0615717133409817e-08
1950,9.571825110299415e-09,7.444753258312176e-09
1951,1.4925962688039363e-08,1.0661401539380222e-08
1952,1.2653764258629963e-08,1.7926167217297007e-08
1953,1.6160740301529586e-08,1.2928593307037772e-08
1954,1.172704333640695e-08,1.9545073115523337e-08
1955,1.407841132561316e-08,1.0324168187025862e-08
1956,1.657016923672927e-08,9.593255967388359e-09
1957,7.951533653738352e-09,1.8553580005686854e-08
1958,1.3235589513271862e-08,1.5717262158432277e-08
1959,6.975672928177801e-09,6.975672928177801e-09
1960,1.591791587429725e-08,1.314958364417862e-08
1961,1.250668635321972e-08,1.459113452284555e-08
1962,1.585489073363533e-08,1.77574772664002e-08
1963,8.405868889838075e-09,1.2285501505004959e-08
1964,1.7035111099517053e-08,1.1559539991878864e-08
1965,7.660860390501512e-09,1.094408652591028e-08
1966,7.200797291773142e-09,2.4925835617750636e-08
1967,1.3311906243984595e-08,1.5777073869571723e-08
1968,1.8863946849023705e-08,1.9313088017725022e-08
1969,1.6350327314285096e-08,1.3625273354023193e-08
1970,1.1496812390987543e-08,1.103694025061941e-08
1971,1.798439086542203e-08,1.0276794526475896e-08
1972,1.487742551375959e-08,1.3338381954497436e-08
1973,1.1577728109557484e-08,8.821126051827832e-09
