year,avaient_VERB établi_VERB,avaient_VERB etabli_VERB,avaient_VERB rétabli_VERB
1800,3.898763907272951e-07,3.144164484325529e-09,3.144164484325529e-09
1801,4.5242470037010207e-07,2.3811825844433088e-09,5.714838380299625e-08
1802,5.236545916886826e-07,0.0,2.2378401354217203e-09
1803,4.875848276242323e-07,1.950339223455444e-09,6.436119548425268e-08
1804,6.698716106257052e-07,0.0,6.673997887673977e-08
1805,5.856327902620251e-07,0.0,2.842877711017877e-09
1806,5.244637577561662e-07,0.0,1.729001475325731e-08
1807,9.480360745328653e-07,0.0,6.547996633798903e-08
1808,6.231703650882991e-07,6.798221985349073e-09,3.852325747288887e-08
1809,7.409620366161107e-07,0.0,2.25903047379461e-08
1810,5.803514113722485e-07,9.360507036149102e-09,2.3401266702194334e-08
1811,6.518399686683551e-07,1.2535384286138651e-08,1.0279014617253779e-07
1812,7.121445833035978e-07,0.0,1.0402111882967802e-07
1813,5.924027846049285e-07,2.8757416448144113e-09,3.738464116054274e-08
1814,5.097617190585879e-07,0.0,5.349351184236184e-08
1815,8.685059924573579e-07,2.697223555614414e-09,9.440282155992463e-08
1816,5.77083369535103e-07,2.3176038865813098e-09,5.3304887615013286e-08
1817,9.387946420247317e-07,0.0,5.916118794857539e-08
1818,9.572705721438979e-07,0.0,1.2517236314124602e-07
1819,8.053116857809073e-07,2.070210003424222e-09,9.833497216504838e-08
1820,7.796277827765152e-07,2.3732962262101864e-09,4.390598107306687e-08
1821,8.303373419948912e-07,2.9584463767662328e-09,5.1279737789400315e-08
1822,8.652106657791592e-07,0.0,1.233150754842427e-07
1823,1.0959900009765988e-06,2.9648061783404955e-09,1.2946320282480883e-07
1824,1.1082183846156113e-06,4.210556348027694e-09,8.084268188213173e-08
1825,1.0047010619018693e-06,6.163809906922779e-09,7.924898426381333e-08
1826,1.0111566552950535e-06,1.145037931138404e-08,6.958307352533666e-08
1827,9.973089163395343e-07,1.3825909306319772e-08,1.0599863742299931e-07
1828,9.016372359837987e-07,1.559291185060374e-08,1.3208114069129806e-07
1829,1.1076543842136743e-06,8.573175946935407e-09,9.944884027390799e-08
1830,9.528831128591264e-07,1.0436835840010872e-09,1.2941676175159955e-07
1831,8.668710620440834e-07,3.1182412207897414e-09,5.14509785887185e-08
1832,9.22743936371262e-07,2.705993873419743e-09,7.170883975504694e-08
1833,1.028626229526708e-06,3.4750886612755494e-09,8.91939393454777e-08
1834,1.0716041742853122e-06,2.8003592777992026e-09,8.494423298088805e-08
1835,8.697551265868242e-07,5.294161553592858e-09,1.1344631900556124e-07
1836,9.597231382940663e-07,4.704525213838906e-09,4.973355061110851e-08
1837,1.2190224651931203e-06,2.0873671680021744e-09,7.792837664055696e-08
1838,1.2693757298620767e-06,2.5248647617104325e-09,1.4517972601879592e-07
1839,1.0291450962540694e-06,6.9914751765765e-10,1.2165166651811887e-07
1840,1.240178335137898e-06,1.2739377330817092e-09,1.0255198645836572e-07
1841,1.0227934126305627e-06,3.2102742686390684e-09,7.640452537316378e-08
1842,1.2577996812979109e-06,5.366612043644636e-09,6.909512961783548e-08
