year,pouvaient_VERB ajouter_VERB
1800,3.144164395507687e-08
1801,5.476719877606229e-08
1802,2.4616241489638924e-08
1803,9.751696339321825e-09
1804,9.640218934237055e-08
1805,1.1371510844071508e-08
1806,2.881669125542885e-09
1807,4.27043254092041e-08
1808,5.891792298484688e-08
1809,3.840352036377226e-08
1810,1.8721014072298203e-08
1811,7.521229861140455e-09
1812,1.226915742336132e-07
1813,8.339650747757332e-08
1814,5.349351184236184e-08
1815,3.776112933451259e-08
1816,9.270415546325239e-09
1817,4.670620157298799e-08
1818,4.410835785506606e-08
1819,4.140419918030602e-08
1820,8.662531314485022e-08
1821,3.550135829755163e-08
1822,1.303330066093622e-08
1823,5.5343047478118024e-08
1824,1.1789557774477544e-08
1825,2.1133063299316746e-08
1826,3.52319382557198e-08
1827,5.7147094167930845e-08
1828,4.4027046897099353e-08
1829,7.801590129474789e-08
1830,8.76694201679129e-08
1831,6.236482441579483e-09
1832,2.841293600397421e-08
1833,1.6217079235048004e-08
1834,3.267085801894609e-08
1835,3.6302822081779595e-08
1836,3.763620171071125e-08
1837,2.0873672568200163e-08
1838,4.5447563934430946e-08
1839,4.334714631681891e-08
1840,4.968357103507515e-08
1841,3.274479709602929e-08
1842,3.018719141323345e-08
1843,4.3120451209688326e-08
1844,2.7442807137845193e-08
1845,5.022205229465726e-08
1846,4.5665110803838616e-08
1847,3.937053350000497e-08
1848,2.091757700384278e-08
1849,2.513824526317876e-08
1850,5.159636984330973e-08
1851,4.127640806927957e-08
1852,3.7761164861649377e-08
1853,2.8068079416243563e-08
1854,3.3252252507054436e-08
1855,3.980202833986368e-08
1856,4.141751475117417e-08
1857,3.758761835115365e-08
1858,3.131952652779546e-08
1859,3.513599722282379e-08
1860,5.080674014834585e-08
1861,3.206855225812433e-08
1862,4.9246050792817186e-08
1863,2.5472566278494924e-08
1864,2.4932585773740357e-08
1865,4.5185707620021276e-08
1866,2.77339928800302e-08
1867,2.8631587767335986e-08
1868,4.989272639477349e-08
1869,3.4672986259920435e-08
1870,2.064257564882155e-08
1871,3.823623728749226e-08
1872,2.963196266136947e-08
1873,2.8134220286801792e-08
1874,4.361464789326419e-08
1875,3.6045619822289154e-08
1876,3.869449471949338e-08
1877,2.783167118991514e-08
1878,2.4156355138416075e-08
1879,5.1929266220440695e-08
1880,1.8611753915820373e-08
1881,2.1614773970668466e-08
1882,2.861815673327328e-08
1883,2.274962085380139e-08
1884,2.8387297845711146e-08
1885,1.8692343672910283e-08
1886,2.19417763958063e-08
1887,2.2198344495905076e-08
1888,1.9655905347804037e-08
1889,2.380751951136517e-08
1890,2.2284913470116408e-08
1891,2.2309770031370135e-08
1892,1.7551833764173352e-08
1893,1.6627724974682678e-08
1894,2.0164925729204697e-08
1895,1.9259566386153892e-08
1896,1.4152869098893461e-08
1897,1.1653426668090106e-08
1898,2.9423445013776472e-08
1899,1.0502398950507086e-08
1900,1.142031713641245e-08
1901,2.9061443029831935e-08
1902,1.3748794991386148e-08
1903,2.1060859722865644e-08
1904,1.1824175416563776e-08
1905,1.186974607492175e-08
1906,9.259531807970234e-09
1907,1.1828539925318182e-08
1908,6.875944702500192e-09
1909,1.4852655993990993e-08
1910,1.4963621453034648e-08
1911,1.1704822888702893e-08
1912,1.719108944087111e-08
1913,1.590896836489719e-08
1914,1.5402511266415786e-08
1915,8.246533234057551e-09
1916,2.4172416956957932e-08
1917,2.1932848870420685e-09
1918,1.9526840588923733e-08
1919,1.2890987832747669e-08
1920,1.817335615328375e-08
1921,1.5145495524393482e-08
1922,2.8036154731125862e-08
1923,1.1677542488541803e-08
1924,1.804827398643738e-08
1925,9.898360353588487e-09
1926,1.3375366592072169e-08
1927,1.2264147031260109e-08
1928,9.14083297942625e-09
1929,1.7824650200282122e-08
1930,3.466189113510154e-08
1931,1.0264820993199919e-08
1932,1.8631212128639163e-08
1933,1.261772819560747e-08
1934,1.1981580172459871e-08
1935,8.377798899061872e-09
1936,2.0612015205756506e-08
1937,5.0364472592434595e-09
1938,1.5558256905023882e-08
1939,9.176430282309411e-09
1940,3.0429394115571995e-08
1941,2.3612020783048138e-08
1942,2.730790527039062e-08
1943,1.1612940831184915e-08
1944,6.4263723231761105e-09
1945,1.089252066321933e-08
1946,6.960552134671616e-09
1947,9.536696765621855e-09
1948,7.610321262063735e-09
1949,1.9634016634739737e-09
1950,7.444753258312176e-09
1951,3.1984206394497505e-09
1952,5.272402070488624e-09
1953,1.508335856215126e-08
1954,1.07497895029951e-08
1955,2.815682353940474e-09
1956,6.104799332717903e-09
1957,1.501956425897788e-08
1958,9.926692356998501e-09
1959,8.525822714489095e-09
1960,1.314958364417862e-08
1961,4.16889545107324e-09
1962,8.8787386332001e-09
1963,1.8104948651398445e-08
1964,1.3993127545575135e-08
1965,7.1136563306595235e-09
1966,8.862519607077957e-09
1967,8.874604162656397e-09
1968,1.4372530721118437e-08
1969,6.358460868938209e-09
1970,7.817832603507213e-09
1971,1.284599360218408e-08
1972,1.4364410994005539e-08
1973,1.1026407342740185e-08
1974,8.438357568252286e-09
1975,3.4268881066168433e-09
1976,1.542652228181396e-08
1977,1.057820764316375e-08
1978,8.316828115084718e-09
1979,5.266775904289034e-09
1980,1.3075846183596695e-08
1981,1.138598904049104e-08
1982,8.690503427999374e-09
1983,1.2630632539867293e-08
1984,6.958810416790584e-09
1985,5.414002135495366e-09
1986,5.994485352545098e-09
1987,1.4665960890170027e-08
1988,1.0793796967334401e-08
1989,1.0976243913773942e-08
1990,8.717841559757744e-09
1991,8.7921980806982e-09
1992,1.1570882918476855e-08
1993,5.539207315052863e-09
1994,1.160483886764041e-08
1995,8.133675954979935e-09
1996,9.60856638698715e-09
1997,4.794894259418925e-09
1998,9.059445638115449e-09
1999,9.140402212892695e-09
2000,1.1486881668076876e-08
2001,6.571817756650944e-09
2002,1.1391176002462089e-08
2003,5.416999737661854e-09
2004,8.369103632333008e-09
2005,8.557123898356167e-09
2006,3.706100981659688e-09
2007,1.1983438241713884e-08
2008,9.79211112195344e-09
2009,8.105927484791664e-09
2010,9.919965293647692e-09
2011,6.118355155848576e-09
2012,5.446804340891731e-09
2013,9.204113027294625e-09
2014,1.0394137106572998e-08
2015,1.0196246513771712e-08
2016,1.2220906064897008e-08
2017,1.0314006537726073e-08
2018,6.711813327342497e-09
2019,9.183556137770665e-09
