year,pourraient_VERB assurer_VERB,pourraient_VERB rassurer_VERB
1800,1.5720821977538435e-08,0.0
1801,1.4287095950749062e-08,0.0
1802,6.713520406265161e-09,0.0
1803,5.851017448321727e-09,0.0
1804,2.7190360185613827e-08,2.4718509461507665e-09
1805,3.4114531644036106e-08,0.0
1806,1.729001475325731e-08,0.0
1807,4.27043254092041e-08,0.0
1808,0.0,2.2660739951163578e-09
1809,2.259030518203531e-09,0.0
1810,1.6380887757350138e-08,0.0
1811,1.2535384286138651e-08,0.0
1812,2.9339290108509886e-08,0.0
1813,5.751483289628823e-09,0.0
1814,0.0,0.0
1815,8.091670444798638e-09,0.0
1816,0.0,2.3176038865813098e-09
1817,1.556873407970727e-09,0.0
1818,2.384235475716423e-09,0.0
1819,2.794783426907088e-08,0.0
1820,1.3053129244156025e-08,0.0
1821,4.437669787193954e-08,0.0
1822,4.712039469723095e-08,2.0051231786055723e-09
1823,2.8659792761231984e-08,0.0
1824,1.8526447931321854e-08,0.0
1825,1.4088708866211164e-08,0.0
1826,2.025836387531399e-08,0.0
1827,2.949527377893446e-08,0.0
1828,1.6510142586412258e-08,0.0
1829,2.0575622983187714e-08,0.0
1830,1.1480519646056564e-08,0.0
1831,1.091384405071949e-08,0.0
1832,1.6235963684607668e-08,0.0
1833,9.266902800675325e-09,1.1583628500844156e-09
1834,9.334531370086552e-09,0.0
1835,1.9664028627630614e-08,1.5126175867408165e-09
1836,1.4113575197427508e-08,0.0
1837,2.365682938432201e-08,0.0
1838,2.0830134062066463e-08,1.2624323808552163e-09
1839,2.23727205650448e-08,4.894032734625853e-09
1840,2.229391071750797e-08,0.0
1841,4.8154113585496816e-08,0.0
1842,2.0795621225033756e-08,0.0
1843,3.0125246297529884e-08,2.953455480181333e-09
1844,1.5916826967554698e-08,5.488561272137815e-10
1845,2.622707206967334e-08,0.0
1846,1.6392604607062822e-08,2.9272506640865004e-09
1847,3.3977308078192436e-08,2.6966118227278457e-09
1848,2.172209789819135e-08,0.0
1849,3.1841775438579134e-08,0.0
1850,2.5798184921654865e-08,0.0
1851,3.4826967976187007e-08,0.0
1852,1.1067927019325907e-08,0.0
1853,1.0749477752369785e-08,0.0
1854,1.3508727469968562e-08,0.0
1855,2.865746040470185e-08,0.0
1856,1.8120163147727908e-08,0.0
1857,8.298565390418844e-09,4.881509085841174e-10
1858,2.0064071293290908e-08,1.9574704079872163e-09
1859,1.2221216039165483e-08,0.0
1860,1.1442959468865865e-08,0.0
1861,2.0278644541349422e-08,0.0
1862,1.7620147119146168e-08,4.9697850279528666e-09
1863,1.4484400345793347e-08,5.9935452156878455e-09
1864,1.726102105692462e-08,1.4384183844029508e-09
1865,3.3418594114209554e-08,9.41368871743009e-10
1866,3.065336073859726e-08,5.352174259343201e-09
1867,3.34843974769683e-08,2.91168689159349e-09
1868,1.333765986544222e-08,0.0
1869,2.3440891894210836e-08,0.0
1870,1.0321287824410774e-08,4.013834153937523e-09
1871,1.911811864374613e-08,2.1242354542039266e-09
1872,1.2094679036067646e-08,3.0236697590169115e-09
1873,2.0352414864532875e-08,0.0
1874,1.1949218503559678e-08,2.3898436563030145e-09
1875,2.2886109007913547e-08,0.0
1876,2.0556450763820067e-08,0.0
1877,1.1751150275074451e-08,0.0
1878,1.268208649207736e-08,1.8117265465633636e-09
1879,2.443730195977878e-08,0.0
1880,7.059631101924424e-09,1.2835692508872398e-09
1881,4.183504387356152e-08,1.3945015142624584e-09
1882,4.592215674392719e-08,0.0
1883,1.3270612164717477e-08,3.791603475633565e-09
1884,3.4328824227713994e-08,0.0
1885,2.320428826863008e-08,2.5782542767416317e-09
1886,2.5813855941692054e-08,1.936039106809062e-09
1887,1.2404957061562527e-08,0.0
1888,7.60873763994141e-09,1.268122939990235e-09
1889,2.4434033463194282e-08,0.0
1890,2.2284913470116408e-08,0.0
1891,2.6134301833735663e-08,0.0
1892,3.761107336686109e-08,0.0
1893,2.4017824173938607e-08,0.0
1894,2.835692747282792e-08,0.0
1895,4.935263930860856e-08,0.0
1896,2.889544248318998e-08,0.0
1897,2.7385553380554484e-08,1.7480140668268973e-09
1898,1.640922953072277e-08,1.6975064687230201e-09
1899,4.0351324059884064e-08,0.0
1900,2.28406342728249e-08,0.0
1901,4.750427962108006e-08,0.0
1902,2.8479647085077886e-08,0.0
1903,3.94216073118514e-08,4.320176216765503e-09
1904,3.33226779503093e-08,5.374625189347171e-09
1905,5.418797144329801e-08,0.0
1906,4.166789580040131e-08,0.0
1907,4.217131532868734e-08,0.0
1908,5.009616899087632e-08,0.0
1909,3.5756393401698006e-08,1.6502950117569526e-09
1910,4.3287620599130605e-08,0.0
1911,4.0966881442727754e-08,1.0640748282497725e-09
1912,4.167537070998151e-08,0.0
